icd10,gbd_severity
A01,3
A14.9,2
A29,2
A29.0,2
A29.1,2
A29.2,2
A29.3,2
A29.4,2
A29.5,2
A29.6,2
A29.7,2
A29.8,2
A29.9,2
A30,2
A30.0,2
A30.1,2
A30.2,2
A30.3,2
A30.4,2
A30.5,2
A30.6,2
A30.7,2
A30.8,2
A30.9,2
A31,3
A31.0,3
A31.1,3
A31.2,3
A31.3,3
A31.4,3
A31.5,3
A31.6,3
A31.7,3
A31.8,3
A31.9,3
A40,1
A40.0,1
A40.1,1
A40.2,1
A40.3,1
A40.4,1
A40.5,1
A40.6,1
A40.7,1
A40.8,1
A40.9,1
A41,1
A41.0,1
A41.1,1
A41.2,1
A41.3,1
A41.4,1
A41.5,1
A41.6,1
A41.7,1
A41.8,1
A41.9,1
A42,3
A42.0,3
A42.1,3
A42.2,3
A42.3,3
A42.4,3
A42.5,3
A42.6,3
A42.7,3
A42.8,3
A42.9,3
A43,3
A43.0,3
A43.1,3
A43.2,3
A43.3,3
A43.4,3
A43.5,3
A43.6,3
A43.7,3
A43.8,3
A43.9,3
A44,3
A44.0,3
A44.1,3
A44.2,3
A44.3,3
A44.4,3
A44.5,3
A44.6,3
A44.7,3
A44.8,3
A44.9,3
A45,2
A45.0,2
A45.1,2
A45.2,2
A45.3,2
A45.4,2
A45.5,2
A45.6,2
A45.7,2
A45.8,2
A45.9,2
A47,2
A47.0,2
A47.1,2
A47.2,2
A47.3,2
A47.4,2
A47.5,2
A47.6,2
A47.7,2
A47.8,2
A47.9,2
A48,2
A48.0,1
A48.0,2
A48.1,2
A48.2,2
A48.3,1
A48.3,2
A48.4,2
A48.5,2
A48.6,2
A48.7,2
A48.8,2
A48.9,2
A49,2
A49,1
A49.0,2
A49.0,1
A49.1,2
A49.1,1
A49.2,3
A49.2,2
A49.3,2
A49.4,2
A49.5,2
A49.6,2
A49.7,2
A49.8,2
A49.9,2
A59,1
A59.0,1
A59.1,1
A59.2,1
A59.3,1
A59.4,1
A59.5,1
A59.6,1
A59.7,1
A59.8,1
A59.9,1
A61,2
A61.0,2
A61.1,2
A61.2,2
A61.3,2
A61.4,2
A61.5,2
A61.6,2
A61.7,2
A61.8,2
