icd10,gbd_severity
A419,1
B171,3
B942,3
C229,3
C55,3
C760,3
C787,3
C798,3
C80,3
C911,4
C97,3
D649,1
E141,4
E142,4
E145,4
E147,4
E149,4
E86,1
E872,1
F069,3
G931,1
G934,1
I10,2
I269,1
I420,4
I429,4
I461,1
I469,1
I490,3
I499,3
I500,1
I509,2
I516,3
I517,3
I519,3
I64,4
I679,4
I693,4
I694,4
I698,4
I709,2
J159,4
J180,4
J181,4
J189,4
J690,1
J80,1
J960,1
J961,1
J969,1
J984,3
K631,3
K709,3
K729,1
K922,2
M869,1
N179,1
N19,1
N288,3
R092,1
R53,1
R54,1
R628,1
R688,1
R99,1
U071,1
V877,4
V892,4
X44,1
X59,2
X590,2
Y09,4
Y12,1
