cluster,period,n,detail_d95,detail_cov,warn_extrap2N
1999-2004_C1,1999-2004,2881190,0.9776536312849162,0.9999972233695105,0
1999-2004_C10,1999-2004,7473,0.6983240223463687,0.9947812123645122,0
1999-2004_C12,1999-2004,1021,0.39106145251396646,0.951028403525955,0
1999-2004_C2,1999-2004,2976,0.5642458100558659,0.9875672043010753,0
1999-2004_C3,1999-2004,1535,0.46368715083798884,0.9700325732899023,0
1999-2004_C4,1999-2004,244,0.23743016759776536,0.8032786885245902,0
1999-2004_C5,1999-2004,583,0.3435754189944134,0.9228130360205832,0
1999-2004_C7,1999-2004,4330,0.6229050279329609,0.9905311778290993,0
2005-2010_C1,2005-2010,2914882,0.9720670391061452,0.9999989707988179,0
2005-2010_C10,2005-2010,8093,0.6787709497206704,0.9962930927962437,0
2005-2010_C12,2005-2010,1122,0.44972067039106145,0.9518716577540107,0
2005-2010_C13,2005-2010,211,0.18994413407821228,0.8672985781990521,0
2005-2010_C2,2005-2010,3598,0.6229050279329609,0.9869371873262924,0
2005-2010_C3,2005-2010,1640,0.5,0.9676829268292683,0
2005-2010_C4,2005-2010,323,0.28212290502793297,0.848297213622291,0
2005-2010_C5,2005-2010,604,0.3547486033519553,0.9139072847682119,0
2005-2010_C7,2005-2010,4227,0.6089385474860335,0.9905370238940147,0
2011-2017_C1,2011-2017,3684049,0.9748603351955307,0.9999983713571671,0
2011-2017_C10,2011-2017,10556,0.7178770949720671,0.996684350132626,0
2011-2017_C12,2011-2017,1515,0.48324022346368717,0.9643564356435643,0
2011-2017_C13,2011-2017,294,0.24581005586592178,0.8775510204081632,0
2011-2017_C2,2011-2017,5058,0.6229050279329609,0.9914986160537762,0
2011-2017_C3,2011-2017,2301,0.5111731843575419,0.9813124728378966,0
2011-2017_C4,2011-2017,383,0.2849162011173184,0.8955613577023499,0
2011-2017_C5,2011-2017,779,0.388268156424581,0.9229781771501926,0
2011-2017_C7,2011-2017,5071,0.6536312849162011,0.9905344113587063,0
2018-2022_C1,2018-2022,3142500,0.9664804469273743,0.9999980906921241,0
2018-2022_C10,2018-2022,8422,0.6787709497206704,0.9952505343148895,0
2018-2022_C12,2018-2022,1314,0.4553072625698324,0.9619482496194824,0
2018-2022_C13,2018-2022,219,0.23743016759776536,0.8036529680365296,0
2018-2022_C2,2018-2022,4431,0.6229050279329609,0.9896185962536673,0
2018-2022_C3,2018-2022,1916,0.5139664804469274,0.9770354906054279,0
2018-2022_C4,2018-2022,326,0.26256983240223464,0.8865030674846626,0
2018-2022_C5,2018-2022,571,0.36312849162011174,0.8966725043782837,0
2018-2022_C7,2018-2022,4143,0.6033519553072626,0.9879314506396332,0
