period,stage,secs
1999-2004,load,0.05100000000675209
1999-2004,FIPS,2.9329999999899883
1999-2004,cluster,0.12199999997392297
1999-2004,richness,1.2080000000132713
2005-2010,load,0.05100000000675209
2005-2010,FIPS,2.327000000019325
2005-2010,cluster,0.1300000000046566
2005-2010,richness,1.1779999999853317
2011-2017,load,0.08199999999487773
2011-2017,FIPS,2.959999999991851
2011-2017,cluster,0.10200000001350418
2011-2017,richness,1.4879999999830034
2018-2022,load,0.07500000001164153
2018-2022,FIPS,2.6199999999953434
2018-2022,cluster,0.16700000001583248
2018-2022,richness,1.2149999999965075
