county_ihme,cluster,period
39049,1999-2004_C1,1999-2004
17031,1999-2004_C1,1999-2004
32510,1999-2004_C1,1999-2004
21041,1999-2004_C1,1999-2004
09009,1999-2004_C1,1999-2004
34023,1999-2004_C1,1999-2004
39025,1999-2004_C1,1999-2004
06083,1999-2004_C1,1999-2004
48201,1999-2004_C1,1999-2004
54047,1999-2004_C1,1999-2004
06065,1999-2004_C1,1999-2004
36005,1999-2004_C1,1999-2004
24013,1999-2004_C1,1999-2004
31055,1999-2004_C1,1999-2004
40147,1999-2004_C1,1999-2004
20173,1999-2004_C1,1999-2004
42049,1999-2004_C1,1999-2004
21117,1999-2004_C1,1999-2004
45055,1999-2004_C1,1999-2004
25009,1999-2004_C1,1999-2004
36055,1999-2004_C1,1999-2004
37161,1999-2004_C1,1999-2004
18119,1999-2004_C1,1999-2004
55037,1999-2004_C1,1999-2004
25025,1999-2004_C1,1999-2004
06037,1999-2004_C1,1999-2004
42041,1999-2004_C1,1999-2004
06099,1999-2004_C1,1999-2004
37105,1999-2004_C1,1999-2004
42101,1999-2004_C1,1999-2004
48251,1999-2004_C1,1999-2004
36059,1999-2004_C1,1999-2004
33019,1999-2004_C1,1999-2004
36089,1999-2004_C1,1999-2004
28163,1999-2004_C1,1999-2004
13215,1999-2004_C1,1999-2004
20151,1999-2004_C1,1999-2004
53053,1999-2004_C1,1999-2004
13051,1999-2004_C1,1999-2004
19155,1999-2004_C1,1999-2004
42003,1999-2004_C1,1999-2004
05009,1999-2004_C1,1999-2004
34001,1999-2004_C1,1999-2004
41029,1999-2004_C1,1999-2004
25005,1999-2004_C1,1999-2004
36061,1999-2004_C1,1999-2004
06001,1999-2004_C1,1999-2004
42095,1999-2004_C1,1999-2004
37051,1999-2004_C1,1999-2004
49035,1999-2004_C1,1999-2004
36017,1999-2004_C1,1999-2004
12103,1999-2004_C1,1999-2004
12095,1999-2004_C1,1999-2004
26065,1999-2004_C1,1999-2004
35015,1999-2004_C1,1999-2004
26145,1999-2004_C1,1999-2004
42091,1999-2004_C1,1999-2004
36001,1999-2004_C1,1999-2004
24005,1999-2004_C1,1999-2004
36069,1999-2004_C1,1999-2004
18037,1999-2004_C1,1999-2004
12086,1999-2004_C1,1999-2004
13153,1999-2004_C1,1999-2004
37081,1999-2004_C1,1999-2004
53037,1999-2004_C1,1999-2004
48467,1999-2004_C1,1999-2004
48085,1999-2004_C1,1999-2004
48423,1999-2004_C1,1999-2004
49027,1999-2004_C1,1999-2004
22017,1999-2004_C1,1999-2004
29159,1999-2004_C1,1999-2004
37183,1999-2004_C1,1999-2004
36085,1999-2004_C7,1999-2004
25017,1999-2004_C1,1999-2004
45077,1999-2004_C1,1999-2004
23001,1999-2004_C1,1999-2004
40027,1999-2004_C1,1999-2004
48135,1999-2004_C1,1999-2004
37097,1999-2004_C1,1999-2004
19165,1999-2004_C1,1999-2004
34025,1999-2004_C1,1999-2004
25023,1999-2004_C1,1999-2004
12083,1999-2004_C1,1999-2004
21111,1999-2004_C1,1999-2004
13047,1999-2004_C1,1999-2004
36021,1999-2004_C1,1999-2004
26081,1999-2004_C1,1999-2004
26117,1999-2004_C1,1999-2004
36067,1999-2004_C1,1999-2004
34009,1999-2004_C1,1999-2004
23003,1999-2004_C1,1999-2004
53033,1999-2004_C1,1999-2004
48039,1999-2004_C1,1999-2004
12101,1999-2004_C1,1999-2004
45015,1999-2004_C1,1999-2004
06081,1999-2004_C1,1999-2004
12057,1999-2004_C1,1999-2004
06085,1999-2004_C1,1999-2004
20079,1999-2004_C1,1999-2004
12005,1999-2004_C1,1999-2004
06055,1999-2004_C1,1999-2004
29189,1999-2004_C1,1999-2004
28099,1999-2004_C1,1999-2004
36047,1999-2004_C1,1999-2004
26035,1999-2004_C1,1999-2004
39035,1999-2004_C1,1999-2004
44007,1999-2004_C1,1999-2004
51023,1999-2004_C1,1999-2004
12011,1999-2004_C1,1999-2004
39077,1999-2004_C1,1999-2004
48113,1999-2004_C1,1999-2004
39017,1999-2004_C1,1999-2004
04013,1999-2004_C1,1999-2004
28157,1999-2004_C1,1999-2004
24025,1999-2004_C1,1999-2004
48215,1999-2004_C1,1999-2004
06047,1999-2004_C1,1999-2004
36025,1999-2004_C1,1999-2004
