icd10,n_cert,gbd_severity
I64,329813,4
I500,273856,1
J189,220813,4
U071,191456,1
E149,172534,4
A419,162620,1
C80,130298,3
X42,88327,1
J690,86105,1
I10,86084,2
X44,85473,1
I429,83462,4
I469,69671,1
R99,63828,1
N19,61735,1
V892,53932,4
I694,47595,4
I509,45043,2
K922,39842,2
I269,39311,1
I709,38594,2
I499,37981,3
E142,37780,4
N179,36851,1
I679,36403,4
I698,34382,4
C229,33991,3
I516,30322,3
G931,27681,1
I519,26949,3
C97,22935,3
R54,22583,1
C55,21538,3
C911,21257,4
I420,20361,4
V877,19747,4
R628,19419,1
J969,19151,1
K729,17130,1
X41,16878,1
E145,16344,4
J984,14003,3
C798,13354,3
E86,12843,1
D649,12089,1
K709,10943,3
X59,10722,2
I461,10705,1
E141,10698,4
C787,10401,3
K631,10342,3
R092,10042,1
R092,10042,2
X599,9710,2
X590,9643,2
J961,9291,1
J159,9167,4
G934,8448,1
E872,8278,1
J80,8244,1
I517,8158,3
G809,7678,1
Y09,7659,4
K704,7646,3
C140,7571,3
M869,7539,1
Y12,7364,1
J181,7256,4
J960,7029,1
N288,6719,3
I490,6342,3
Y14,6279,1
R688,6062,1
I678,5942,4
R53,5920,1
E147,5802,4
F191,5722,1
I279,5686,2
C269,5678,3
I518,5568,3
J90,5437,2
I693,5317,4
J180,5219,4
R568,5214,1
Y86,5191,2
J47,4789,3
F069,4733,3
B171,4679,3
A415,4387,1
K659,3940,1
I458,3926,3
C760,3862,3
N289,3831,3
E854,3759,1
C793,3697,3
K650,3598,1
Y850,3583,4
C762,3445,3
A410,3298,1
B948,3276,2
