STATE_NAME,COUNTY_NAME,STATE_CODE,VS_STATE_CODE,FIPS_CODE,ELECTED,Medicolegal Death Investigation Type ,State Medical Examiner and County Official ,Type of Coroner Office,Medical Examiner System,Other Official System
Alabama,Autauga County,1,AL,1001,Yes,Coroner,No,Elected Coroner,Non-Medical Examiner Death Investigation System,Non-Other County Official Death Investigation System
Alabama,Baldwin County,1,AL,1003,Yes,Coroner,No,Elected Coroner,Non-Medical Examiner Death Investigation System,Non-Other County Official Death Investigation System
Alabama,Barbour County,1,AL,1005,Yes,Coroner,No,Elected Coroner,Non-Medical Examiner Death Investigation System,Non-Other County Official Death Investigation System
Alabama,Bibb County,1,AL,1007,Yes,Coroner,No,Elected Coroner,Non-Medical Examiner Death Investigation System,Non-Other County Official Death Investigation System
Alabama,Blount County,1,AL,1009,Yes,Coroner,No,Elected Coroner,Non-Medical Examiner Death Investigation System,Non-Other County Official Death Investigation System
Alabama,Bullock County,1,AL,1011,Yes,Coroner,No,Elected Coroner,Non-Medical Examiner Death Investigation System,Non-Other County Official Death Investigation System
Alabama,Butler County,1,AL,1013,Yes,Coroner,No,Elected Coroner,Non-Medical Examiner Death Investigation System,Non-Other County Official Death Investigation System
Alabama,Calhoun County,1,AL,1015,Yes,Coroner,No,Elected Coroner,Non-Medical Examiner Death Investigation System,Non-Other County Official Death Investigation System
Alabama,Chambers County,1,AL,1017,Yes,Coroner,No,Elected Coroner,Non-Medical Examiner Death Investigation System,Non-Other County Official Death Investigation System
Alabama,Cherokee County,1,AL,1019,Yes,Coroner,No,Elected Coroner,Non-Medical Examiner Death Investigation System,Non-Other County Official Death Investigation System
Alabama,Chilton County,1,AL,1021,Yes,Coroner,No,Elected Coroner,Non-Medical Examiner Death Investigation System,Non-Other County Official Death Investigation System
Alabama,Choctaw County,1,AL,1023,Yes,Coroner,No,Elected Coroner,Non-Medical Examiner Death Investigation System,Non-Other County Official Death Investigation System
Alabama,Clarke County,1,AL,1025,Yes,Coroner,No,Elected Coroner,Non-Medical Examiner Death Investigation System,Non-Other County Official Death Investigation System
Alabama,Clay County,1,AL,1027,Yes,Coroner,No,Elected Coroner,Non-Medical Examiner Death Investigation System,Non-Other County Official Death Investigation System
Alabama,Cleburne County,1,AL,1029,Yes,Coroner,No,Elected Coroner,Non-Medical Examiner Death Investigation System,Non-Other County Official Death Investigation System
Alabama,Coffee County,1,AL,1031,Yes,Coroner,No,Elected Coroner,Non-Medical Examiner Death Investigation System,Non-Other County Official Death Investigation System
Alabama,Colbert County,1,AL,1033,Yes,Coroner,No,Elected Coroner,Non-Medical Examiner Death Investigation System,Non-Other County Official Death Investigation System
Alabama,Conecuh County,1,AL,1035,Yes,Coroner,No,Elected Coroner,Non-Medical Examiner Death Investigation System,Non-Other County Official Death Investigation System
Alabama,Coosa County,1,AL,1037,Yes,Coroner,No,Elected Coroner,Non-Medical Examiner Death Investigation System,Non-Other County Official Death Investigation System
Alabama,Covington County,1,AL,1039,Yes,Coroner,No,Elected Coroner,Non-Medical Examiner Death Investigation System,Non-Other County Official Death Investigation System
Alabama,Crenshaw County,1,AL,1041,Yes,Coroner,No,Elected Coroner,Non-Medical Examiner Death Investigation System,Non-Other County Official Death Investigation System
Alabama,Cullman County,1,AL,1043,Yes,Coroner,No,Elected Coroner,Non-Medical Examiner Death Investigation System,Non-Other County Official Death Investigation System
Alabama,Dale County,1,AL,1045,Yes,Coroner,No,Elected Coroner,Non-Medical Examiner Death Investigation System,Non-Other County Official Death Investigation System
Alabama,Dallas County,1,AL,1047,Yes,Coroner,No,Elected Coroner,Non-Medical Examiner Death Investigation System,Non-Other County Official Death Investigation System
Alabama,DeKalb County,1,AL,1049,Yes,Coroner,No,Elected Coroner,Non-Medical Examiner Death Investigation System,Non-Other County Official Death Investigation System
Alabama,Elmore County,1,AL,1051,Yes,Coroner,No,Elected Coroner,Non-Medical Examiner Death Investigation System,Non-Other County Official Death Investigation System
Alabama,Escambia County,1,AL,1053,No,Medical Examiner,No,Non-Coroner Death Investigation System,County Medical Examiner,Non-Other County Official Death Investigation System
Alabama,Etowah County,1,AL,1055,Yes,Coroner,No,Elected Coroner,Non-Medical Examiner Death Investigation System,Non-Other County Official Death Investigation System
Alabama,Fayette County,1,AL,1057,Yes,Coroner,No,Elected Coroner,Non-Medical Examiner Death Investigation System,Non-Other County Official Death Investigation System
Alabama,Franklin County,1,AL,1059,Yes,Coroner,No,Elected Coroner,Non-Medical Examiner Death Investigation System,Non-Other County Official Death Investigation System
Alabama,Geneva County,1,AL,1061,Yes,Coroner,No,Elected Coroner,Non-Medical Examiner Death Investigation System,Non-Other County Official Death Investigation System
Alabama,Greene County,1,AL,1063,Yes,Coroner,No,Elected Coroner,Non-Medical Examiner Death Investigation System,Non-Other County Official Death Investigation System
Alabama,Hale County,1,AL,1065,Yes,Coroner,No,Elected Coroner,Non-Medical Examiner Death Investigation System,Non-Other County Official Death Investigation System
Alabama,Henry County,1,AL,1067,Yes,Coroner,No,Elected Coroner,Non-Medical Examiner Death Investigation System,Non-Other County Official Death Investigation System
Alabama,Houston County,1,AL,1069,Yes,Coroner,No,Elected Coroner,Non-Medical Examiner Death Investigation System,Non-Other County Official Death Investigation System
Alabama,Jackson County,1,AL,1071,Yes,Coroner,No,Elected Coroner,Non-Medical Examiner Death Investigation System,Non-Other County Official Death Investigation System
Alabama,Jefferson County,1,AL,1073,No,Coroner,No,Appointed Coroner,Non-Medical Examiner Death Investigation System,Non-Other County Official Death Investigation System
Alabama,Lamar County,1,AL,1075,Yes,Coroner,No,Elected Coroner,Non-Medical Examiner Death Investigation System,Non-Other County Official Death Investigation System
Alabama,Lauderdale County,1,AL,1077,Yes,Coroner,No,Elected Coroner,Non-Medical Examiner Death Investigation System,Non-Other County Official Death Investigation System
Alabama,Lawrence County,1,AL,1079,Yes,Coroner,No,Elected Coroner,Non-Medical Examiner Death Investigation System,Non-Other County Official Death Investigation System
Alabama,Lee County,1,AL,1081,Yes,Coroner,No,Elected Coroner,Non-Medical Examiner Death Investigation System,Non-Other County Official Death Investigation System
Alabama,Limestone County,1,AL,1083,Yes,Coroner,No,Elected Coroner,Non-Medical Examiner Death Investigation System,Non-Other County Official Death Investigation System
Alabama,Lowndes County,1,AL,1085,Yes,Coroner,No,Elected Coroner,Non-Medical Examiner Death Investigation System,Non-Other County Official Death Investigation System
Alabama,Macon County,1,AL,1087,Yes,Coroner,No,Elected Coroner,Non-Medical Examiner Death Investigation System,Non-Other County Official Death Investigation System
Alabama,Madison County,1,AL,1089,Yes,Coroner,No,Elected Coroner,Non-Medical Examiner Death Investigation System,Non-Other County Official Death Investigation System
Alabama,Marengo County,1,AL,1091,Yes,Coroner,No,Elected Coroner,Non-Medical Examiner Death Investigation System,Non-Other County Official Death Investigation System
Alabama,Marion County,1,AL,1093,Yes,Coroner,No,Elected Coroner,Non-Medical Examiner Death Investigation System,Non-Other County Official Death Investigation System
Alabama,Marshall County,1,AL,1095,Yes,Coroner,No,Elected Coroner,Non-Medical Examiner Death Investigation System,Non-Other County Official Death Investigation System
Alabama,Mobile County,1,AL,1097,No,Medical Examiner,No,Non-Coroner Death Investigation System,County Medical Examiner,Non-Other County Official Death Investigation System
Alabama,Monroe County,1,AL,1099,Yes,Coroner,No,Elected Coroner,Non-Medical Examiner Death Investigation System,Non-Other County Official Death Investigation System
Alabama,Montgomery County,1,AL,1101,No,Coroner,No,Appointed Coroner,Non-Medical Examiner Death Investigation System,Non-Other County Official Death Investigation System
Alabama,Morgan County,1,AL,1103,Yes,Coroner,No,Elected Coroner,Non-Medical Examiner Death Investigation System,Non-Other County Official Death Investigation System
Alabama,Perry County,1,AL,1105,Yes,Coroner,No,Elected Coroner,Non-Medical Examiner Death Investigation System,Non-Other County Official Death Investigation System
Alabama,Pickens County,1,AL,1107,Yes,Coroner,No,Elected Coroner,Non-Medical Examiner Death Investigation System,Non-Other County Official Death Investigation System
Alabama,Pike County,1,AL,1109,Yes,Coroner,No,Elected Coroner,Non-Medical Examiner Death Investigation System,Non-Other County Official Death Investigation System
Alabama,Randolph County,1,AL,1111,Yes,Coroner,No,Elected Coroner,Non-Medical Examiner Death Investigation System,Non-Other County Official Death Investigation System
Alabama,Russell County,1,AL,1113,Yes,Coroner,No,Elected Coroner,Non-Medical Examiner Death Investigation System,Non-Other County Official Death Investigation System
Alabama,St. Clair County,1,AL,1115,Yes,Coroner,No,Elected Coroner,Non-Medical Examiner Death Investigation System,Non-Other County Official Death Investigation System
Alabama,Shelby County,1,AL,1117,Yes,Coroner,No,Elected Coroner,Non-Medical Examiner Death Investigation System,Non-Other County Official Death Investigation System
Alabama,Sumter County,1,AL,1119,Yes,Coroner,No,Elected Coroner,Non-Medical Examiner Death Investigation System,Non-Other County Official Death Investigation System
Alabama,Talladega County,1,AL,1121,Yes,Coroner,No,Elected Coroner,Non-Medical Examiner Death Investigation System,Non-Other County Official Death Investigation System
Alabama,Tallapoosa County,1,AL,1123,Yes,Coroner,No,Elected Coroner,Non-Medical Examiner Death Investigation System,Non-Other County Official Death Investigation System
Alabama,Tuscaloosa County,1,AL,1125,No,Medical Examiner,No,Non-Coroner Death Investigation System,County Medical Examiner,Non-Other County Official Death Investigation System
Alabama,Walker County,1,AL,1127,Yes,Coroner,No,Elected Coroner,Non-Medical Examiner Death Investigation System,Non-Other County Official Death Investigation System
Alabama,Washington County,1,AL,1129,Yes,Coroner,No,Elected Coroner,Non-Medical Examiner Death Investigation System,Non-Other County Official Death Investigation System
Alabama,Wilcox County,1,AL,1131,Yes,Coroner,No,Elected Coroner,Non-Medical Examiner Death Investigation System,Non-Other County Official Death Investigation System
Alabama,Winston County,1,AL,1133,Yes,Coroner,No,Elected Coroner,Non-Medical Examiner Death Investigation System,Non-Other County Official Death Investigation System
Alaska,Aleutians East Borough,2,AK,2013,No,Medical Examiner,No,Non-Coroner Death Investigation System,State Medical Examiner,Non-Other County Official Death Investigation System
Alaska,Aleutians West Census Area,2,AK,2016,No,Medical Examiner,No,Non-Coroner Death Investigation System,State Medical Examiner,Non-Other County Official Death Investigation System
Alaska,Anchorage Municipality,2,AK,2020,No,Medical Examiner,No,Non-Coroner Death Investigation System,State Medical Examiner,Non-Other County Official Death Investigation System
Alaska,Bethel Census Area,2,AK,2050,No,Medical Examiner,No,Non-Coroner Death Investigation System,State Medical Examiner,Non-Other County Official Death Investigation System
Alaska,Bristol Bay Borough,2,AK,2060,No,Medical Examiner,No,Non-Coroner Death Investigation System,State Medical Examiner,Non-Other County Official Death Investigation System
Alaska,Denali Borough,2,AK,2068,No,Medical Examiner,No,Non-Coroner Death Investigation System,State Medical Examiner,Non-Other County Official Death Investigation System
Alaska,Dillingham Census Area,2,AK,2070,No,Medical Examiner,No,Non-Coroner Death Investigation System,State Medical Examiner,Non-Other County Official Death Investigation System
Alaska,Fairbanks North Star Borough,2,AK,2090,No,Medical Examiner,No,Non-Coroner Death Investigation System,State Medical Examiner,Non-Other County Official Death Investigation System
Alaska,Haines Borough,2,AK,2100,No,Medical Examiner,No,Non-Coroner Death Investigation System,State Medical Examiner,Non-Other County Official Death Investigation System
Alaska,Hoonah-Angoon Census Area,2,AK,2105,No,Medical Examiner,No,Non-Coroner Death Investigation System,State Medical Examiner,Non-Other County Official Death Investigation System
Alaska,Juneau City and Borough,2,AK,2110,No,Medical Examiner,No,Non-Coroner Death Investigation System,State Medical Examiner,Non-Other County Official Death Investigation System
Alaska,Kenai Peninsula Borough,2,AK,2122,No,Medical Examiner,No,Non-Coroner Death Investigation System,State Medical Examiner,Non-Other County Official Death Investigation System
Alaska,Ketchikan Gateway Borough,2,AK,2130,No,Medical Examiner,No,Non-Coroner Death Investigation System,State Medical Examiner,Non-Other County Official Death Investigation System
Alaska,Kodiak Island Borough,2,AK,2150,No,Medical Examiner,No,Non-Coroner Death Investigation System,State Medical Examiner,Non-Other County Official Death Investigation System
Alaska,Lake and Peninsula Borough,2,AK,2164,No,Medical Examiner,No,Non-Coroner Death Investigation System,State Medical Examiner,Non-Other County Official Death Investigation System
Alaska,Matanuska-Susitna Borough,2,AK,2170,No,Medical Examiner,No,Non-Coroner Death Investigation System,State Medical Examiner,Non-Other County Official Death Investigation System
Alaska,Nome Census Area,2,AK,2180,No,Medical Examiner,No,Non-Coroner Death Investigation System,State Medical Examiner,Non-Other County Official Death Investigation System
Alaska,North Slope Borough,2,AK,2185,No,Medical Examiner,No,Non-Coroner Death Investigation System,State Medical Examiner,Non-Other County Official Death Investigation System
Alaska,Northwest Arctic Borough,2,AK,2188,No,Medical Examiner,No,Non-Coroner Death Investigation System,State Medical Examiner,Non-Other County Official Death Investigation System
Alaska,Petersburg Census Area,2,AK,2195,No,Medical Examiner,No,Non-Coroner Death Investigation System,State Medical Examiner,Non-Other County Official Death Investigation System
Alaska,Prince of Wales-Hyder Census Area,2,AK,2198,No,Medical Examiner,No,Non-Coroner Death Investigation System,State Medical Examiner,Non-Other County Official Death Investigation System
Alaska,Sitka City and Borough,2,AK,2220,No,Medical Examiner,No,Non-Coroner Death Investigation System,State Medical Examiner,Non-Other County Official Death Investigation System
Alaska,Skagway Municipality,2,AK,2230,No,Medical Examiner,No,Non-Coroner Death Investigation System,State Medical Examiner,Non-Other County Official Death Investigation System
Alaska,Southeast Fairbanks Census Area,2,AK,2240,No,Medical Examiner,No,Non-Coroner Death Investigation System,State Medical Examiner,Non-Other County Official Death Investigation System
Alaska,Valdez-Cordova Census Area,2,AK,2261,No,Medical Examiner,No,Non-Coroner Death Investigation System,State Medical Examiner,Non-Other County Official Death Investigation System
Alaska,Wade Hampton Census Area,2,AK,2270,No,Medical Examiner,No,Non-Coroner Death Investigation System,State Medical Examiner,Non-Other County Official Death Investigation System
Alaska,Wrangell City and Borough,2,AK,2275,No,Medical Examiner,No,Non-Coroner Death Investigation System,State Medical Examiner,Non-Other County Official Death Investigation System
Alaska,Yakutat City and Borough,2,AK,2282,No,Medical Examiner,No,Non-Coroner Death Investigation System,State Medical Examiner,Non-Other County Official Death Investigation System
Alaska,Yukon-Koyukuk Census Area,2,AK,2290,No,Medical Examiner,No,Non-Coroner Death Investigation System,State Medical Examiner,Non-Other County Official Death Investigation System
Arizona,Apache County,3,AZ,4001,No,Medical Examiner,No,Non-Coroner Death Investigation System,County Medical Examiner,Non-Other County Official Death Investigation System
Arizona,Cochise County,3,AZ,4003,No,Medical Examiner,No,Non-Coroner Death Investigation System,County Medical Examiner,Non-Other County Official Death Investigation System
