"State","FIPS","CS Area Code","County Set Name","CountySet Description","FIPS State Code","FIPS County Code","Total CS Population Count","County Set Description","Total CS population counts","County SetName","CS Area Name","CS Area Description","Countsy Set Description","Total CS Population Counts"
"Alabama",,,,,,,,,,,,,,
"Alabama",,,,"Alabama",,,"4447100",,,,,,,
"Alabama",,,,,,,,,,,,,,
"Alabama",,"01CS001","Autauga+Montgomery",,,,"267181",,,,,,,
"Alabama","01001",,,"Autauga","01","001",,,,,,,,
"Alabama","01101",,,"Montgomery","01","101",,,,,,,,
"Alabama",,,,,,,,,,,,,,
"Alabama","01003","01CS002","Baldwin","Baldwin","01","003","140415",,,,,,,
"Alabama",,,,,,,,,,,,,,
"Alabama",,"01CS003","Barbour+Bullock+Henry+Pike",,,,"86667",,,,,,,
"Alabama","01005",,,"Barbour","01","005",,,,,,,,
"Alabama","01011",,,"Bullock","01","011",,,,,,,,
"Alabama","01067",,,"Henry","01","067",,,,,,,,
"Alabama","01109",,,"Pike","01","109",,,,,,,,
"Alabama",,,,,,,,,,,,,,
"Alabama","01009","01CS004","Blount","Blount","01","009","51024",,,,,,,
"Alabama",,,,,,,,,,,,,,
"Alabama",,"01CS005","Butler and surrounding cos",,,,"101066",,,,,,,
"Alabama","01013",,,"Butler","01","013",,,,,,,,
"Alabama","01035",,,"Conecuh","01","035",,,,,,,,
"Alabama","01041",,,"Crenshaw","01","041",,,,,,,,
"Alabama","01053",,,"Escambia","01","053",,,,,,,,
"Alabama","01085",,,"Lowndes","01","085",,,,,,,,
"Alabama",,,,,,,,,,,,,,
"Alabama","01015","01CS006","Calhoun","Calhoun","01","015","112249",,,,,,,
"Alabama",,,,,,,,,,,,,,
"Alabama",,"01CS007","Chambers+Randolph",,,,"58963",,,,,,,
"Alabama","01017",,,"Chambers","01","017",,,,,,,,
"Alabama","01111",,,"Randolph","01","111",,,,,,,,
"Alabama",,,,,,,,,,,,,,
"Alabama",,"01CS008","Cherokee+DeKalb",,,,"88440",,,,,,,
"Alabama","01019",,,"Cherokee","01","019",,,,,,,,
"Alabama","01049",,,"DeKalb","01","049",,,,,,,,
"Alabama",,,,,,,,,,,,,,
"Alabama",,"01CS009","Chilton+Coosa+Tallapoosa",,,,"93270",,,,,,,
"Alabama","01021",,,"Chilton","01","021",,,,,,,,
"Alabama","01037",,,"Coosa","01","037",,,,,,,,
"Alabama","01123",,,"Tallapoosa","01","123",,,,,,,,
"Alabama",,,,,,,,,,,,,,
"Alabama",,"01CS010","Choctaw+Marengo+Sumter",,,,"53259",,,,,,,
"Alabama","01023",,,"Choctaw","01","023",,,,,,,,
"Alabama","01091",,,"Marengo","01","091",,,,,,,,
"Alabama","01119",,,"Sumter","01","119",,,,,,,,
"Alabama",,,,,,,,,,,,,,
"Alabama",,"01CS011","Clarke+Monroe+Washington",,,,"70288",,,,,,,
"Alabama","01025",,,"Clarke","01","025",,,,,,,,
"Alabama","01099",,,"Monroe","01","099",,,,,,,,
"Alabama","01129",,,"Washington","01","129",,,,,,,,
"Alabama",,,,,,,,,,,,,,
"Alabama",,"01CS012","Clay+Cleburne+Talladega",,,,"108698",,,,,,,
"Alabama","01027",,,"Clay","01","027",,,,,,,,
"Alabama","01029",,,"Cleburne","01","029",,,,,,,,
"Alabama","01121",,,"Talladega","01","121",,,,,,,,
"Alabama",,,,,,,,,,,,,,
"Alabama",,"01CS013","Coffee+Covington+Geneva",,,,"107010",,,,,,,
"Alabama","01031",,,"Coffee","01","031",,,,,,,,
"Alabama","01039",,,"Covington","01","039",,,,,,,,
"Alabama","01061",,,"Geneva","01","061",,,,,,,,
"Alabama",,,,,,,,,,,,,,
"Alabama","01033","01CS014","Colbert","Colbert","01","033","54984",,,,,,,
"Alabama",,,,,,,,,,,,,,
"Alabama","01043","01CS015","Cullman","Cullman","01","043","77483",,,,,,,
"Alabama",,,,,,,,,,,,,,
"Alabama",,"01CS016","Dale+Houston",,,,"137916",,,,,,,
"Alabama","01045",,,"Dale","01","045",,,,,,,,
"Alabama","01069",,,"Houston","01","069",,,,,,,,
"Alabama",,,,,,,,,,,,,,
"Alabama",,"01CS017","Dallas+Wilcox",,,,"59548",,,,,,,
"Alabama","01047",,,"Dallas","01","047",,,,,,,,
"Alabama","01131",,,"Wilcox","01","131",,,,,,,,
"Alabama",,,,,,,,,,,,,,
"Alabama","01051","01CS018","Elmore","Elmore","01","051","65874",,,,,,,
"Alabama",,,,,,,,,,,,,,
"Alabama",,,,,,,,,,,,,,
"Alabama","01055","01CS019","Etowah","Etowah","01","055","103459",,,,,,,
"Alabama",,,,,,,,,,,,,,
"Alabama",,"01CS020","Fayette+Franklin+Lamar+Marion",,,,"96836",,,,,,,
"Alabama","01057",,,"Fayette","01","057",,,,,,,,
"Alabama","01059",,,"Franklin","01","059",,,,,,,,
"Alabama","01075",,,"Lamar","01","075",,,,,,,,
"Alabama","01093",,,"Marion","01","093",,,,,,,,
"Alabama",,,,,,,,,,,,,,
"Alabama",,"01CS021","Hale and surrounding cos",,,,"80795",,,,,,,
"Alabama","01007",,,"Bibb","01","007",,,,,,,,
"Alabama","01063",,,"Greene","01","063",,,,,,,,
"Alabama","01065",,,"Hale","01","065",,,,,,,,
"Alabama","01105",,,"Perry","01","105",,,,,,,,
"Alabama","01107",,,"Pickens","01","107",,,,,,,,
"Alabama",,,,,,,,,,,,,,
"Alabama","01071","01CS022","Jackson","Jackson","01","071","53926",,,,,,,
"Alabama",,,,,,,,,,,,,,
"Alabama","01073","01CS023","Jefferson","Jefferson","01","073","662047",,,,,,,
"Alabama",,,,,,,,,,,,,,
"Alabama","01077","01CS024","Lauderdale","Lauderdale","01","077","87966",,,,,,,
"Alabama",,,,,,,,,,,,,,
"Alabama",,"01CS025","Lawrence+Morgan",,,,"145867",,,,,,,
"Alabama","01079",,,"Lawrence","01","079",,,,,,,,
"Alabama","01103",,,"Morgan","01","103",,,,,,,,
"Alabama",,,,,,,,,,,,,,
"Alabama","01081","01CS026","Lee","Lee","01","081","115092",,,,,,,
"Alabama",,,,,,,,,,,,,,
"Alabama","01083","01CS027","Limestone","Limestone","01","083","65676",,,,,,,
"Alabama",,,,,,,,,,,,,,
"Alabama",,"01CS028","Macon+Russell",,,,"73861",,,,,,,
"Alabama","01087",,,"Macon","01","087",,,,,,,,
"Alabama","01113",,,"Russell","01","113",,,,,,,,
"Alabama",,,,,,,,,,,,,,
"Alabama","01089","01CS029","Madison","Madison","01","089","276700",,,,,,,
"Alabama",,,,,,,,,,,,,,
"Alabama","01095","01CS030","Marshall","Marshall","01","095","82231",,,,,,,
"Alabama",,,,,,,,,,,,,,
"Alabama","01097","01CS031","Mobile","Mobile","01","097","399843",,,,,,,
"Alabama",,,,,,,,,,,,,,
"Alabama","01117","01CS032","Shelby","Shelby","01","117","143293",,,,,,,
"Alabama",,,,,,,,,,,,,,
"Alabama","01115","01CS033","St. Clair","St. Clair","01","115","64742",,,,,,,
"Alabama",,,,,,,,,,,,,,
"Alabama","01125","01CS034","Tuscaloosa","Tuscaloosa","01","125","164875",,,,,,,
"Alabama",,,,,,,,,,,,,,
"Alabama",,"01CS035","Walker+Winston",,,,"95556",,,,,,,
