ICD10,ICD10 Name,USCOD,USCOD name,
A00 ,Cholera ,A_5,Other Communicable,
A00.0 ,"Cholera due to Vibrio cholerae 01, biovar cholerae ",A_5,Other Communicable,
A00.1 ,"Cholera due to Vibrio cholerae 01, biovar eltor ",A_5,Other Communicable,
A00.9 ,"Cholera, unspecified ",A_5,Other Communicable,
A01 ,Typhoid and paratyphoid fevers ,A_5,Other Communicable,
A01.0 ,Typhoid fever ,A_5,Other Communicable,
A01.1 ,Paratyphoid fever A ,A_5,Other Communicable,
A01.2 ,Paratyphoid fever B ,A_5,Other Communicable,
A01.3 ,Paratyphoid fever C ,A_5,Other Communicable,
A01.4 ,"Paratyphoid fever, unspecified ",A_5,Other Communicable,
A02 ,Other salmonella infections ,A_5,Other Communicable,
A02.0 ,Salmonella enteritis ,A_5,Other Communicable,
A02.1 ,Salmonella septicaemia ,A_5,Other Communicable,
A02.2 ,Localized salmonella infections ,A_5,Other Communicable,
A02.8 ,Other specified salmonella infections ,A_5,Other Communicable,
A02.9 ,"Salmonella infection, unspecified ",A_5,Other Communicable,
A03 ,Shigellosis ,A_5,Other Communicable,
A03.0 ,Shigellosis due to Shigella dysenteriae ,A_5,Other Communicable,
A03.1 ,Shigellosis due to Shigella flexneri ,A_5,Other Communicable,
A03.2 ,Shigellosis due to Shigella boydii ,A_5,Other Communicable,
A03.3 ,Shigellosis due to Shigella sonnei ,A_5,Other Communicable,
A03.8 ,Other shigellosis ,A_5,Other Communicable,
A03.9 ,"Shigellosis, unspecified ",A_5,Other Communicable,
A04 ,Other bacterial intestinal infections ,A_5,Other Communicable,
A04.0 ,Enteropathogenic Escherichia coli infection ,A_5,Other Communicable,
A04.1 ,Enterotoxigenic Escherichia coli infection ,A_5,Other Communicable,
A04.2 ,Enteroinvasive Escherichia coli infection ,A_5,Other Communicable,
A04.3 ,Enterohaemorrhagic Escherichia coli infection ,A_5,Other Communicable,
A04.4 ,Other intestinal Escherichia coli infections ,A_5,Other Communicable,
A04.5 ,Campylobacter enteritis ,A_5,Other Communicable,
A04.6 ,Enteritis due to Yersinia enterocolitica ,A_5,Other Communicable,
A04.7 ,Enterocolitis due to Clostridium difficile ,A_5,Other Communicable,
A04.8 ,Other specified bacterial intestinal infections ,A_5,Other Communicable,
A04.9 ,"Bacterial intestinal infection, unspecified ",A_5,Other Communicable,
A05 ,"Other bacterial foodborne intoxications, not elsewhere classified ",A_5,Other Communicable,
A05.0 ,Foodborne staphylococcal intoxication ,A_5,Other Communicable,
A05.1 ,Botulism ,A_5,Other Communicable,
A05.2 ,Foodborne Clostridium perfringens [Clostridium welchii] intoxication ,A_5,Other Communicable,
A05.3 ,Foodborne Vibrio parahaemolyticus intoxication ,A_5,Other Communicable,
A05.4 ,Foodborne Bacillus cereus intoxication ,A_5,Other Communicable,
A05.8 ,Other specified bacterial foodborne intoxications ,A_5,Other Communicable,
A05.9 ,"Bacterial foodborne intoxication, unspecified ",A_5,Other Communicable,
A06 ,Amoebiasis ,A_5,Other Communicable,
A06.0 ,Acute amoebic dysentery ,A_5,Other Communicable,
A06.1 ,Chronic intestinal amoebiasis ,A_5,Other Communicable,
A06.2 ,Amoebic nondysenteric colitis ,A_5,Other Communicable,
A06.3 ,Amoeboma of intestine ,A_5,Other Communicable,
A06.4 ,Amoebic liver abscess ,A_5,Other Communicable,
A06.5+ ,Amoebic lung abscess ( J99.8* ),A_5,Other Communicable,
A06.6+ ,Amoebic brain abscess ( G07* ),A_5,Other Communicable,
A06.7 ,Cutaneous amoebiasis ,A_5,Other Communicable,
A06.8 ,Amoebic infection of other sites ,A_5,Other Communicable,
A06.9 ,"Amoebiasis, unspecified ",A_5,Other Communicable,
A07 ,Other protozoal intestinal diseases ,A_5,Other Communicable,
A07.0 ,Balantidiasis ,A_5,Other Communicable,
A07.1 ,Giardiasis [lambliasis] ,A_5,Other Communicable,
A07.2 ,Cryptosporidiosis ,A_5,Other Communicable,
A07.3 ,Isosporiasis ,A_5,Other Communicable,
A07.8 ,Other specified protozoal intestinal diseases ,A_5,Other Communicable,
A07.9 ,"Protozoal intestinal disease, unspecified ",A_5,Other Communicable,
A08 ,Viral and other specified intestinal infections ,A_5,Other Communicable,
A08.0 ,Rotaviral enteritis ,A_5,Other Communicable,
A08.1 ,Acute gastroenteropathy due to Norwalk agent ,A_5,Other Communicable,
A08.2 ,Adenoviral enteritis ,A_5,Other Communicable,
A08.3 ,Other viral enteritis ,A_5,Other Communicable,
A08.4 ,"Viral intestinal infection, unspecified ",A_5,Other Communicable,
A08.5 ,Other specified intestinal infections ,A_5,Other Communicable,
A08.9,"There is not this code in ICD10 site, but we have this in mortality data",A_5,Other Communicable,
A09 ,Diarrhoea and gastroenteritis of presumed infectious origin ,A_5,Other Communicable,
A09.0,"There is not this code in ICD10 site, but we have this in mortality data",A_5,Other Communicable,
A09.9,"There is not this code in ICD10 site, but we have this in mortality data",A_5,Other Communicable,
A15 ,"Respiratory tuberculosis, bacteriologically and histologically confirmed ",A_1,HIV & Tuberculosis,
A15.0 ,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture ",A_1,HIV & Tuberculosis,
A15.1 ,"Tuberculosis of lung, confirmed by culture only ",A_1,HIV & Tuberculosis,
A15.2 ,"Tuberculosis of lung, confirmed histologically ",A_1,HIV & Tuberculosis,
A15.3 ,"Tuberculosis of lung, confirmed by unspecified means ",A_1,HIV & Tuberculosis,
A15.4 ,"Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically ",A_1,HIV & Tuberculosis,
A15.5 ,"Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically ",A_1,HIV & Tuberculosis,
A15.6 ,"Tuberculous pleurisy, confirmed bacteriologically and histologically ",A_1,HIV & Tuberculosis,
A15.7 ,"Primary respiratory tuberculosis, confirmed bacteriologically and histologically ",A_1,HIV & Tuberculosis,
A15.8 ,"Other respiratory tuberculosis, confirmed bacteriologically and histologically ",A_1,HIV & Tuberculosis,
A15.9 ,"Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically ",A_1,HIV & Tuberculosis,
A16 ,"Respiratory tuberculosis, not confirmed bacteriologically or histologically ",A_1,HIV & Tuberculosis,
A16.0 ,"Tuberculosis of lung, bacteriologically and histologically negative ",A_1,HIV & Tuberculosis,
A16.1 ,"Tuberculosis of lung, bacteriological and histological examination not done ",A_1,HIV & Tuberculosis,
A16.2 ,"Tuberculosis of lung, without mention of bacteriological or histological confirmation ",A_1,HIV & Tuberculosis,
A16.3 ,"Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation ",A_1,HIV & Tuberculosis,
A16.4 ,"Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation ",A_1,HIV & Tuberculosis,
A16.5 ,"Tuberculous pleurisy, without mention of bacteriological or histological confirmation ",A_1,HIV & Tuberculosis,
A16.7 ,Primary respiratory tuberculosis without mention of bacteriological or histological confirmation ,A_1,HIV & Tuberculosis,
A16.8 ,"Other respiratory tuberculosis, without mention of bacteriological or histological confirmation ",A_1,HIV & Tuberculosis,
A16.9 ,"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation ",A_1,HIV & Tuberculosis,
A17+ ,Tuberculosis of nervous system ,A_1,HIV & Tuberculosis,
A17.0+ ,Tuberculous meningitis ( G01* ),A_1,HIV & Tuberculosis,
A17.1+ ,Meningeal tuberculoma ( G07* ),A_1,HIV & Tuberculosis,
A17.8+ ,Other tuberculosis of nervous system ,A_1,HIV & Tuberculosis,
A17.9+ ,"Tuberculosis of nervous system, unspecified ( G99.8* )",A_1,HIV & Tuberculosis,
A18 ,Tuberculosis of other organs ,A_1,HIV & Tuberculosis,
A18.0+ ,Tuberculosis of bones and joints ,A_1,HIV & Tuberculosis,
