code,description
A009,"cholera, unspecified"
A0100,"typhoid fever, unspecified"
A014,"paratyphoid fever, unspecified"
A0220,"localized salmonella infection, unspecified"
A029,"salmonella infection, unspecified"
A039,"shigellosis, unspecified"
A049,"bacterial intestinal infection, unspecified"
A059,"bacterial foodborne intoxication, unspecified"
A069,"amebiasis, unspecified"
A079,"protozoal intestinal disease, unspecified"
A084,"viral intestinal infection, unspecified"
A09,"infectious gastroenteritis and colitis, unspecified"
A159,respiratory tuberculosis unspecified
A179,"tuberculosis of nervous system, unspecified"
A1810,"tuberculosis of genitourinary system, unspecified"
A1850,"tuberculosis of eye, unspecified"
A192,"acute miliary tuberculosis, unspecified"
A199,"miliary tuberculosis, unspecified"
A209,"plague, unspecified"
A219,"tularemia, unspecified"
A229,"anthrax, unspecified"
A239,"brucellosis, unspecified"
A249,"melioidosis, unspecified"
A259,"rat-bite fever, unspecified"
A269,"erysipeloid, unspecified"
A279,"leptospirosis, unspecified"
A289,"zoonotic bacterial disease, unspecified"
A309,"leprosy, unspecified"
A319,"mycobacterial infection, unspecified"
A329,"listeriosis, unspecified"
A369,"diphtheria, unspecified"
A394,"meningococcemia, unspecified"
A3950,"meningococcal carditis, unspecified"
A399,"meningococcal infection, unspecified"
A409,"streptococcal sepsis, unspecified"
A4150,"gram-negative sepsis, unspecified"
A419,"sepsis, unspecified organism"
A429,"actinomycosis, unspecified"
A439,"nocardiosis, unspecified"
A449,"bartonellosis, unspecified"
A4901,"methicillin susceptible staphylococcus aureus infection, unspecified site"
A4902,"methicillin resistant staphylococcus aureus infection, unspecified site"
A491,"streptococcal infection, unspecified site"
A492,"hemophilus influenzae infection, unspecified site"
A493,"mycoplasma infection, unspecified site"
A498,other bacterial infections of unspecified site
A499,"bacterial infection, unspecified"
A502,"early congenital syphilis, unspecified"
A5030,"late congenital syphilitic oculopathy, unspecified"
A5040,"late congenital neurosyphilis, unspecified"
A5057,syphilitic saddle nose
A507,"late congenital syphilis, unspecified"
A509,"congenital syphilis, unspecified"
A519,"early syphilis, unspecified"
A5200,"cardiovascular syphilis, unspecified"
A5210,"symptomatic neurosyphilis, unspecified"
A523,"neurosyphilis, unspecified"
A529,"late syphilis, unspecified"
A530,"latent syphilis, unspecified as early or late"
A539,"syphilis, unspecified"
A5400,"gonococcal infection of lower genitourinary tract, unspecified"
A5401,"gonococcal cystitis and urethritis, unspecified"
A5402,"gonococcal vulvovaginitis, unspecified"
A5403,"gonococcal cervicitis, unspecified"
A5430,"gonococcal infection of eye, unspecified"
A5440,"gonococcal infection of musculoskeletal system, unspecified"
A549,"gonococcal infection, unspecified"
A5600,"chlamydial infection of lower genitourinary tract, unspecified"
A562,"chlamydial infection of genitourinary tract, unspecified"
A5900,"urogenital trichomoniasis, unspecified"
A599,"trichomoniasis, unspecified"
A6000,"herpesviral infection of urogenital system, unspecified"
A609,"anogenital herpesviral infection, unspecified"
A64,unspecified sexually transmitted disease
A669,"yaws, unspecified"
A679,"pinta, unspecified"
A689,"relapsing fever, unspecified"
A690,necrotizing ulcerative stomatitis
A6920,"lyme disease, unspecified"
A699,"spirochetal infection, unspecified"
A719,"trachoma, unspecified"
A749,"chlamydial infection, unspecified"
A759,"typhus fever, unspecified"
A7740,"ehrlichiosis, unspecified"
A779,"spotted fever, unspecified"
A799,"rickettsiosis, unspecified"
A8030,"acute paralytic poliomyelitis, unspecified"
A809,"acute poliomyelitis, unspecified"
A8100,"creutzfeldt-jakob disease, unspecified"
A819,"atypical virus infection of central nervous system, unspecified"
A829,"rabies, unspecified"
A839,"mosquito-borne viral encephalitis, unspecified"
A849,"tick-borne viral encephalitis, unspecified"
A852,"arthropod-borne viral encephalitis, unspecified"
A86,unspecified viral encephalitis
A879,"viral meningitis, unspecified"
A89,unspecified viral infection of central nervous system
A9230,"west nile virus infection, unspecified"
A929,"mosquito-borne viral fever, unspecified"
A94,unspecified arthropod-borne viral fever
A959,"yellow fever, unspecified"
A969,"arenaviral hemorrhagic fever, unspecified"
A99,unspecified viral hemorrhagic fever
B0050,"herpesviral ocular disease, unspecified"
B009,"herpesviral infection, unspecified"
B0230,"zoster ocular disease, unspecified"
B079,"viral wart, unspecified"
B0804,"paravaccinia, unspecified"
B0820,"exanthema subitum [sixth disease], unspecified"
B0860,"parapoxvirus infection, unspecified"
B0870,"yatapoxvirus infection, unspecified"
B09,unspecified viral infection characterized by skin and mucous membrane lesions
B179,"acute viral hepatitis, unspecified"
B189,"chronic viral hepatitis, unspecified"
B259,"cytomegaloviral disease, unspecified"
B309,"viral conjunctivitis, unspecified"
B3320,"viral carditis, unspecified"
B340,"adenovirus infection, unspecified"
B341,"enterovirus infection, unspecified"
B342,"coronavirus infection, unspecified"
