icd10,gbd_severity,description
A01,3,Typhoid and paratyphoid fevers
A14.9,2,NA
A29,2,NA
A29.0,2,NA
A29.1,2,NA
A29.2,2,NA
A29.3,2,NA
A29.4,2,NA
A29.5,2,NA
A29.6,2,NA
A29.7,2,NA
A29.8,2,NA
A29.9,2,NA
A30,2,Leprosy [Hansen's disease]
A30.0,2,Indeterminate leprosy
A30.1,2,Tuberculoid leprosy
A30.2,2,Borderline tuberculoid leprosy
A30.3,2,Borderline leprosy
A30.4,2,Borderline lepromatous leprosy
A30.5,2,Lepromatous leprosy
A30.6,2,Leprosy [Hansen's disease]
A30.7,2,Leprosy [Hansen's disease]
A30.8,2,Other forms of leprosy
A30.9,2,"Leprosy, unspecified"
A31,3,Infection due to other mycobacteria
A31.0,3,Pulmonary mycobacterial infection
A31.1,3,Cutaneous mycobacterial infection
A31.2,3,Disseminated mycobacterium avium-intracellulare complex (DMAC)
A31.3,3,Infection due to other mycobacteria
A31.4,3,Infection due to other mycobacteria
A31.5,3,Infection due to other mycobacteria
A31.6,3,Infection due to other mycobacteria
A31.7,3,Infection due to other mycobacteria
A31.8,3,Other mycobacterial infections
A31.9,3,"Mycobacterial infection, unspecified"
A40,1,Streptococcal sepsis
A40.0,1,"Sepsis due to streptococcus, group A"
A40.1,1,"Sepsis due to streptococcus, group B"
A40.2,1,Streptococcal sepsis
A40.3,1,Sepsis due to Streptococcus pneumoniae
A40.4,1,Streptococcal sepsis
A40.5,1,Streptococcal sepsis
A40.6,1,Streptococcal sepsis
A40.7,1,Streptococcal sepsis
A40.8,1,Other streptococcal sepsis
A40.9,1,"Streptococcal sepsis, unspecified"
A41,1,Other sepsis
A41.0,1,Sepsis due to Staphylococcus aureus
A41.1,1,Sepsis due to other specified staphylococcus
A41.2,1,Sepsis due to unspecified staphylococcus
A41.3,1,Sepsis due to Hemophilus influenzae
A41.4,1,Sepsis due to anaerobes
A41.5,1,Sepsis due to other Gram-negative organisms
A41.6,1,Other sepsis
A41.7,1,Other sepsis
A41.8,1,Other specified sepsis
A41.9,1,"Sepsis, unspecified organism"
A42,3,Actinomycosis
A42.0,3,Pulmonary actinomycosis
A42.1,3,Abdominal actinomycosis
A42.2,3,Cervicofacial actinomycosis
A42.3,3,Actinomycosis
A42.4,3,Actinomycosis
A42.5,3,Actinomycosis
A42.6,3,Actinomycosis
A42.7,3,Actinomycotic sepsis
A42.8,3,Other forms of actinomycosis
A42.9,3,"Actinomycosis, unspecified"
A43,3,Nocardiosis
A43.0,3,Pulmonary nocardiosis
A43.1,3,Cutaneous nocardiosis
A43.2,3,Nocardiosis
A43.3,3,Nocardiosis
A43.4,3,Nocardiosis
A43.5,3,Nocardiosis
A43.6,3,Nocardiosis
A43.7,3,Nocardiosis
A43.8,3,Other forms of nocardiosis
A43.9,3,"Nocardiosis, unspecified"
A44,3,Bartonellosis
A44.0,3,Systemic bartonellosis
A44.1,3,Cutaneous and mucocutaneous bartonellosis
A44.2,3,Bartonellosis
A44.3,3,Bartonellosis
A44.4,3,Bartonellosis
A44.5,3,Bartonellosis
A44.6,3,Bartonellosis
A44.7,3,Bartonellosis
A44.8,3,Other forms of bartonellosis
A44.9,3,"Bartonellosis, unspecified"
A45,2,NA
A45.0,2,NA
A45.1,2,NA
A45.2,2,NA
A45.3,2,NA
A45.4,2,NA
A45.5,2,NA
A45.6,2,NA
A45.7,2,NA
A45.8,2,NA
A45.9,2,NA
A47,2,NA
A47.0,2,NA
A47.1,2,NA
A47.2,2,NA
A47.3,2,NA
A47.4,2,NA
A47.5,2,NA
A47.6,2,NA
A47.7,2,NA
A47.8,2,NA
A47.9,2,NA
A48,2,"Other bacterial diseases, not elsewhere classified"
A48.0,1,Gas gangrene
A48.0,2,Gas gangrene
A48.1,2,Legionnaires' disease
A48.2,2,Nonpneumonic Legionnaires' disease [Pontiac fever]
A48.3,1,Toxic shock syndrome
A48.3,2,Toxic shock syndrome
A48.4,2,Brazilian purpuric fever
A48.5,2,Other specified botulism
A48.6,2,"Other bacterial diseases, not elsewhere classified"
A48.7,2,"Other bacterial diseases, not elsewhere classified"
A48.8,2,Other specified bacterial diseases
