icd10_root,gbd_cause_lvl3,gbd_cause_lvl2
A00,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
A01,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
A02,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
A03,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
A04,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
A05,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
A06,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
A07,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
A08,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
A09,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
A10,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
A11,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
A12,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
A13,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
A14,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
A15,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
A16,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
A17,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
A18,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
A19,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
A20,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
A21,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
A22,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
A23,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
A24,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
A25,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
A26,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
A27,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
A28,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
A32,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
A33,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
A34,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
A35,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
A36,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
A37,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
A38,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
A39,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
A48,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
A50,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
A51,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
A52,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
A53,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
A54,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
A55,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
A56,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
A57,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
A58,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
A60,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
A63,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
A65,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
A68,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
A69,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
A70,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
A74,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
A75,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
A77,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
A78,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
A79,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
A80,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
A81,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
A82,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
A83,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
A84,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
A85,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
A86,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
A87,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
A88,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
A89,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
A90,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
A91,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
A92,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
A93,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
A94,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
A95,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
A96,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
A98,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
B00,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
B01,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
B02,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
B03,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
B04,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
B05,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
B06,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
B10,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
B15,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
B16,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
B17,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
B19,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
B20,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
B21,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
B22,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
B23,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
B24,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
B25,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
B26,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
B27,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
B29,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
B33,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
B34,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
B47,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
B48,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
B50,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
B51,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
B52,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
B53,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
B55,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
B56,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
B57,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
B60,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
B63,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
B65,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
B66,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
B67,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
B69,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
B70,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
B71,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
B72,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
B74,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
B75,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
B77,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
B83,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
B90,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
B91,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
B94,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
B95,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
B97,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
C58,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
D50,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
D51,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
D52,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
D53,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
D70,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
D89,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
E00,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
E01,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
E02,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
E40,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
E41,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
E42,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
E43,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
E44,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
E45,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
E46,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
E51,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
E52,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
E53,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
E54,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
E55,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
E56,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
E57,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
E58,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
E59,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
E60,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
E61,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
E63,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
E64,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
F02,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
F07,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
G00,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
G03,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
G04,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
G05,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
G14,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
G21,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
H70,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
I00,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
I02,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
I98,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
J00,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
J01,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
J02,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
J03,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
J04,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
