cluster,period,n_counties,prop_garbage,pct_overd_miss,RI
C1,1999_2005,70,0.2573466470465819,0.3175438596491228,0.3580008323638606
C1,2006_2012,70,0.24725713759908213,0.15555555555555556,0.3452621493133873
C1,2013_2019,70,0.2357704217849675,0.020408163265306114,0.24987173113531488
C1,2020_2022,30,0.3177122673301878,0.0625,0.25296194514906434
C10,2006_2012,21,0.24882455688264593,0.21394569978466535,0.24194654484100303
C100,2013_2019,14,0.2818391615628409,0.02239475012355489,0.18936463940129955
C1001,2020_2022,9,0.3399713621791121,0,0.16472247935211454
C104,1999_2005,7,0.2668737008751735,0.10966810966810966,0.27165832058136663
C104,2013_2019,7,0.27242923660928003,0.04444219428907148,0.22511297441048583
C105,2006_2012,14,0.30731152824382957,0.051273546200286124,0.19282713281626956
C1063,2020_2022,3,0.3646069945921309,0,0.16988676929577587
C1074,1999_2005,7,0.3739651153276291,0.04,0.17784862534889487
C109,1999_2005,14,0.30599054923815777,0.09696767922574374,0.21781182729769522
C1104,2006_2012,7,0.35087070886961597,0.03571428571428572,0.18017055168833496
C1117,2013_2019,7,0.3154642947249157,0.039351851851851846,0.1590266276818883
C1138,2006_2012,14,0.23125118065553402,0,0.24226834384183266
C115,2020_2022,3,0.35263096659090043,0.03350106685775524,0.2095155206875963
C1174,2006_2012,7,0.29630734074380305,0.12738095238095237,0.1936971348648916
C1186,2020_2022,12,0.37687042183800223,0.027777777777777776,0.17033731736631005
C1189,2020_2022,6,0.34355246297010195,0.05,0.2478971281677195
C1201,1999_2005,7,0.297779338857242,0.010204081632653062,0.2028934502854392
C1204,1999_2005,7,0.2102083873852004,NA,0.2444315019988526
C1220,1999_2005,14,0.21602193295113017,0.6,0.2092613594404788
C1225,2006_2012,21,0.24044194739204705,0,0.33189926508187184
C1289,2020_2022,3,0.28539353075862367,0.021123358604819502,0.23913929621039956
C1292,1999_2005,21,0.22341807502950575,0.8,0.317870199179347
C1318,1999_2005,21,0.2768069627889167,0.1305640634181724,0.24196388918480485
C1332,1999_2005,14,0.30017410577823384,0.05000000000000001,0.2109553884722045
C1386,2006_2012,14,0.2975412325777607,0,0.20414648322806894
C14,1999_2005,21,0.2768069627889167,0.1305640634181724,0.24196388918480485
C1405,2006_2012,21,0.31184912702500317,0.14035087719298245,0.18448192876053018
C1420,2013_2019,21,0.31339496454971,0.08,0.19812558710103056
C1448,1999_2005,21,0.3261680248126748,0.05555555555555554,0.225490560136808
C1458,2006_2012,7,0.24882455688264593,0.21394569978466535,0.24194654484100303
C1479,2013_2019,14,0.3073003051612906,0.04761904761904761,0.1962445226397311
C1565,2006_2012,7,0.24882455688264593,0.21394569978466535,0.24194654484100303
C1566,1999_2005,7,0.2768069627889167,0.1305640634181724,0.24196388918480485
C1582,1999_2005,7,0.3161684330340429,1,0.2208909851709969
C1587,2006_2012,7,0.2646962650816855,0.5404761904761904,0.19863641389802017
C1602,2006_2012,14,0.31497749275338544,0,0.2048977485602088
C1618,2013_2019,14,0.2997558785887148,0,0.1735357585273753
C1632,1999_2005,14,0.30491727930251145,0,0.2528305841260938
C1648,2013_2019,7,0.22901954885066458,0.12085445389815021,0.2295250064371622
C1728,2006_2012,14,0.24882455688264593,0.21394569978466535,0.24194654484100303
C1808,1999_2005,7,0.35160461979878843,0.16666666666666669,0.18419515842948206
C1817,2013_2019,21,0.22901954885066458,0.12085445389815021,0.2295250064371622
C1867,2013_2019,7,0.24924202596334522,0.2738095238095238,0.22888896706801717
C1896,2013_2019,14,0.2669100945190293,0.3055555555555555,0.2483072256444468
C1908,2013_2019,21,0.21627522458141735,0.0909090909090909,0.28479535524776955
C239,2020_2022,9,0.33900877080121594,0.01777838365249046,0.17503640400143314
C24,2020_2022,3,0.35263096659090043,0.03350106685775524,0.2095155206875963
C26,2006_2012,7,0.2527963077166576,0.03813308200850993,0.24920021430506423
C26,2013_2019,7,0.27242923660928003,0.04444219428907148,0.22511297441048583
C268,1999_2005,14,0.2729239309093313,0.09093716433941998,0.25106857477808503
C271,2013_2019,21,0.28287980435902865,0.019897416808047252,0.19789191529710265
C28,1999_2005,7,0.2704261056517279,0.14233171035901093,0.25482573131888053
C281,2006_2012,14,0.26193977813400393,0.017927170868347338,0.22051675536579834
C284,2020_2022,6,0.33126386662897717,0.021435786435786433,0.18824199653496274
