period,cluster
1999_2005,C76
1999_2005,C456
1999_2005,C307
1999_2005,C824
1999_2005,C26
1999_2005,C439
1999_2005,C1484
1999_2005,C1508
1999_2005,C1436
1999_2005,C1223
1999_2005,C810
1999_2005,C637
1999_2005,C1116
1999_2005,C1153
1999_2005,C1259
1999_2005,C1346
1999_2005,C918
1999_2005,C728
1999_2005,C1658
1999_2005,C1382
1999_2005,C1588
1999_2005,C1547
1999_2005,C1402
1999_2005,C213
1999_2005,C1296
1999_2005,C1517
1999_2005,C1381
1999_2005,C967
1999_2005,C593
1999_2005,C1095
1999_2005,C1689
1999_2005,C592
1999_2005,C230
1999_2005,C79
1999_2005,C46
1999_2005,C752
1999_2005,C237
1999_2005,C1329
1999_2005,C115
1999_2005,C497
1999_2005,C549
1999_2005,C949
1999_2005,C452
1999_2005,C793
1999_2005,C399
1999_2005,C251
1999_2005,C386
1999_2005,C668
1999_2005,C105
1999_2005,C60
1999_2005,C488
1999_2005,C1026
1999_2005,C186
1999_2005,C111
1999_2005,C1606
1999_2005,C1542
1999_2005,C1636
1999_2005,C1061
1999_2005,C1145
1999_2005,C1514
1999_2005,C919
1999_2005,C1181
1999_2005,C164
1999_2005,C1578
1999_2005,C504
1999_2005,C269
1999_2005,C1615
1999_2005,C1309
1999_2005,C1505
1999_2005,C406
1999_2005,C1751
1999_2005,C1160
1999_2005,C1697
1999_2005,C1246
1999_2005,C1403
1999_2005,C478
1999_2005,C499
1999_2005,C1299
1999_2005,C1207
1999_2005,C917
1999_2005,C474
1999_2005,C1172
1999_2005,C341
1999_2005,C481
1999_2005,C529
1999_2005,C1444
1999_2005,C1224
1999_2005,C1139
1999_2005,C1331
1999_2005,C1512
1999_2005,C124
1999_2005,C1043
1999_2005,C1418
1999_2005,C1445
1999_2005,C1435
1999_2005,C937
1999_2005,C1772
1999_2005,C892
1999_2005,C387
1999_2005,C149
1999_2005,C1745
1999_2005,C1351
1999_2005,C447
1999_2005,C518
1999_2005,C133
1999_2005,C1409
1999_2005,C678
1999_2005,C501
1999_2005,C1463
1999_2005,C1531
1999_2005,C1234
1999_2005,C1340
1999_2005,C1672
1999_2005,C1501
1999_2005,C1504
1999_2005,C1367
1999_2005,C1447
1999_2005,C934
1999_2005,C1273
1999_2005,C1281
1999_2005,C1324
1999_2005,C464
1999_2005,C569
1999_2005,C1156
1999_2005,C1241
1999_2005,C205
1999_2005,C1363
1999_2005,C1495
1999_2005,C1337
1999_2005,C375
1999_2005,C1355
1999_2005,C889
1999_2005,C331
1999_2005,C1189
