period,cluster,issue,z_sum
1999_2005,C10,geom_without_data,NA
1999_2005,C100,geom_without_data,NA
1999_2005,C1000,geom_without_data,NA
1999_2005,C1001,geom_without_data,NA
1999_2005,C1002,geom_without_data,NA
1999_2005,C1003,geom_without_data,NA
1999_2005,C1004,geom_without_data,NA
1999_2005,C1005,geom_without_data,NA
1999_2005,C1006,geom_without_data,NA
1999_2005,C1007,geom_without_data,NA
1999_2005,C1008,geom_without_data,NA
1999_2005,C1009,geom_without_data,NA
1999_2005,C101,geom_without_data,NA
1999_2005,C1010,geom_without_data,NA
1999_2005,C1011,geom_without_data,NA
1999_2005,C1012,geom_without_data,NA
1999_2005,C1013,geom_without_data,NA
1999_2005,C1014,geom_without_data,NA
1999_2005,C1015,geom_without_data,NA
1999_2005,C1016,geom_without_data,NA
1999_2005,C1017,geom_without_data,NA
1999_2005,C1018,geom_without_data,NA
1999_2005,C1019,geom_without_data,NA
1999_2005,C102,geom_without_data,NA
1999_2005,C1020,geom_without_data,NA
1999_2005,C1021,geom_without_data,NA
1999_2005,C1022,geom_without_data,NA
1999_2005,C1023,geom_without_data,NA
1999_2005,C1024,geom_without_data,NA
1999_2005,C1025,geom_without_data,NA
1999_2005,C1026,geom_without_data,NA
1999_2005,C1027,geom_without_data,NA
1999_2005,C1028,geom_without_data,NA
1999_2005,C1029,geom_without_data,NA
1999_2005,C103,geom_without_data,NA
1999_2005,C1030,geom_without_data,NA
1999_2005,C1031,geom_without_data,NA
1999_2005,C1032,geom_without_data,NA
1999_2005,C1033,geom_without_data,NA
1999_2005,C1034,geom_without_data,NA
1999_2005,C1035,geom_without_data,NA
1999_2005,C1036,geom_without_data,NA
1999_2005,C1037,geom_without_data,NA
1999_2005,C1038,geom_without_data,NA
1999_2005,C1039,geom_without_data,NA
1999_2005,C1040,geom_without_data,NA
1999_2005,C1041,geom_without_data,NA
1999_2005,C1042,geom_without_data,NA
1999_2005,C1043,geom_without_data,NA
1999_2005,C1044,geom_without_data,NA
1999_2005,C1045,geom_without_data,NA
1999_2005,C1046,geom_without_data,NA
1999_2005,C1047,geom_without_data,NA
1999_2005,C1048,geom_without_data,NA
1999_2005,C1049,geom_without_data,NA
1999_2005,C105,geom_without_data,NA
1999_2005,C1050,geom_without_data,NA
1999_2005,C1051,geom_without_data,NA
1999_2005,C1052,geom_without_data,NA
1999_2005,C1053,geom_without_data,NA
1999_2005,C1054,geom_without_data,NA
1999_2005,C1055,geom_without_data,NA
1999_2005,C1056,geom_without_data,NA
1999_2005,C1057,geom_without_data,NA
1999_2005,C1058,geom_without_data,NA
1999_2005,C1059,geom_without_data,NA
1999_2005,C106,geom_without_data,NA
1999_2005,C1060,geom_without_data,NA
1999_2005,C1061,geom_without_data,NA
1999_2005,C1062,geom_without_data,NA
1999_2005,C1063,geom_without_data,NA
1999_2005,C1064,geom_without_data,NA
1999_2005,C1065,geom_without_data,NA
1999_2005,C1066,geom_without_data,NA
1999_2005,C1067,geom_without_data,NA
1999_2005,C1068,geom_without_data,NA
1999_2005,C1069,geom_without_data,NA
1999_2005,C107,geom_without_data,NA
1999_2005,C1070,geom_without_data,NA
1999_2005,C1071,geom_without_data,NA
1999_2005,C1072,geom_without_data,NA
1999_2005,C1073,geom_without_data,NA
1999_2005,C1075,geom_without_data,NA
1999_2005,C1077,geom_without_data,NA
1999_2005,C1078,geom_without_data,NA
1999_2005,C1079,geom_without_data,NA
1999_2005,C108,geom_without_data,NA
1999_2005,C1080,geom_without_data,NA
1999_2005,C1081,geom_without_data,NA
1999_2005,C1082,geom_without_data,NA
1999_2005,C1083,geom_without_data,NA
1999_2005,C1084,geom_without_data,NA
1999_2005,C1085,geom_without_data,NA
1999_2005,C1086,geom_without_data,NA
1999_2005,C1087,geom_without_data,NA
1999_2005,C1088,geom_without_data,NA
1999_2005,C1089,geom_without_data,NA
1999_2005,C1090,geom_without_data,NA
1999_2005,C1091,geom_without_data,NA
1999_2005,C1093,geom_without_data,NA
1999_2005,C1094,geom_without_data,NA
1999_2005,C1095,geom_without_data,NA
1999_2005,C1096,geom_without_data,NA
1999_2005,C1097,geom_without_data,NA
1999_2005,C1098,geom_without_data,NA
1999_2005,C1099,geom_without_data,NA
1999_2005,C11,geom_without_data,NA
1999_2005,C110,geom_without_data,NA
1999_2005,C1100,geom_without_data,NA
1999_2005,C1101,geom_without_data,NA
1999_2005,C1102,geom_without_data,NA
