variable,level,autopsy_flag,deaths,prop,description
sex_lbl,Female,No,1218853,0.9056878707897896,NA
sex_lbl,Female,Unknown,56947,0.04231536303218366,NA
sex_lbl,Female,Yes,69976,0.051996766178026656,NA
sex_lbl,Male,No,1193693,0.8501554033650313,NA
sex_lbl,Male,Unknown,53976,0.038442034972166986,NA
sex_lbl,Male,Yes,156419,0.11140256166280176,NA
age_grp12,01,No,14857,0.6393957651919435,NA
age_grp12,01,Unknown,982,0.0422620072301601,NA
age_grp12,01,Yes,7397,0.3183422275778964,NA
age_grp12,02,No,1743,0.4284660766961652,NA
age_grp12,02,Unknown,64,0.015732546705998034,NA
age_grp12,02,Yes,2261,0.5558013765978368,NA
age_grp12,03,No,3058,0.5516868121955619,NA
age_grp12,03,Unknown,116,0.020927295688255458,NA
age_grp12,03,Yes,2369,0.42738589211618255,NA
age_grp12,04,No,11837,0.3612145254806225,NA
age_grp12,04,Unknown,405,0.01235886481537992,NA
age_grp12,04,Yes,20528,0.62642660970399755,NA
age_grp12,05,No,22610,0.39019760117352664,NA
age_grp12,05,Unknown,898,0.01549745448269911,NA
age_grp12,05,Yes,34437,0.5943049443437742,NA
age_grp12,06,No,42138,0.5388077641101706,NA
age_grp12,06,Unknown,1979,0.025304963813518145,NA
age_grp12,06,Yes,34089,0.4358872720763113,NA
age_grp12,07,No,124877,0.7168517008989563,NA
age_grp12,07,Unknown,5919,0.03397779589212523,NA
age_grp12,07,Yes,43406,0.24917050320891837,NA
age_grp12,08,No,310007,0.8432627547412058,NA
age_grp12,08,Unknown,14755,0.04013568063368405,NA
age_grp12,08,Yes,42866,0.11660156462511016,NA
age_grp12,09,No,468081,0.9119479578238608,NA
age_grp12,09,Unknown,22897,0.044609527817392594,NA
age_grp12,09,Yes,22298,0.04344251435874656,NA
age_grp12,10,No,598647,0.9387404678907283,NA
age_grp12,10,Unknown,28345,0.044447894272188274,NA
age_grp12,10,Yes,10721,0.016811637837083452,NA
age_grp12,11,No,814573,0.9528406611852532,NA
age_grp12,11,Unknown,34550,0.04041460353332421,NA
