ucod,all_secondary
V010,V010
V011,"S099, T07, T149, S069"
V020,"T07, I269, S099, S199, S299, S325"
V021,"T149, S099, T07, T099, S199, S399, T139, F179, I469, S223, S273, S368, T144, T147"
V029,"K746, T07, V029"
V030,"S099, T07, T149, S299, T099, T71, T147, S399, I469, S065, S199, S328, T139, F179, I119, J969, S069, S368, T041, G931, I10, I110, I269, I48, R522, R688, S029, S066, S097, S131, S197, S223, S269, S729, S799, T148, X45, E119, E149, E668, F03, F051, F329, G935, H542, H905, I250, I38, I802, J449, K565, K746, M728, R092, R579, S021, S062, S068, S129, S250, S270, S280, S297, S310, S325, S327, S360, S381, S423, S628, S999, T049, T119, T145, T179, T404, T436, T509, T510, T519, T797, W80, X44"
V031,"T07, T149, S099, T099, S199, S299, S069, S029, S399, S062, Y838, S131, T510, S065, T139, S250, I469, T142, I119, I250, S068, S066, S097, S129, S368, S273, T519, S223, S361, J189, J989, T436, X45, I10, S271, T71, T794, A419, S021, S141, J969, T144, S328, F03, F109, G931, G935, R092, T065, T141, T147, E149, F159, F179, R688, S269, S360, T08, T093, T119, Y836, F329, S297, T148, F101, I251, K746, R568, R780, T140, T145, F102, F191, R263, S229, S367, S729, T405, U071, X44, F119, F209, I429, I48, J449, K703, R99, S079, S18, S197, S268, S280, S370, S822, T029, T12, T404, T407, X41, X42, D649, E142, E668, E785, F151, F199, G20, G409, G934, I269, I490, I500, I64, J690, J80, J960, N390, R13, R628, S019, S022, S220, S222, S224, S270, S298, S320, S522, S528, S799, S929, T041, T091, T179, T402, T509, T751, W80, Y839, Y848, B182, B24, B99, C229, C419, C80, D739, E119, E669, E872, E878, F111, F129, F149, F319, F439, G309, G819, G912, G919, G978, H409, H919, I340, I350, I459, I460, I499, I514, I516, I519, I678, I679, I709, I749, I802, I99, J182, J439, J942, J950, K639, K700, K709, K829, K922, L899, L989, M199, M432, M628, M726, M858, M869, N179, N189, N19, N289, N319, O340, O759, R233, R298, R410, R418, R53, R54, R55, R570, R578, S020, S061, S063, S064, S118, S119, S218, S225, S231, S272, S278, S350, S351, S362, S365, S369, S381, S421, S430, S520, S720, S824, S832, T009, T019, T021, T025, T043, T092, T136, T143, T401, T411, T426, T450, T791, T798, T818, V041, X40, X599, X65, X85, Y14, Y15, Y831, Y833, Y834, Y835, Y846"
V039,"T07, E119, E785, I251, R780, S069, S079, S099, S199, S299, T041, T149, T519, X45"
V040,"T07, T149, S099, S299, T147, T099, T71, S199, T041, S079, S280, S361, S381, S399, E149, E668, F102, F179, F209, I10, I251, I48, I500, K918, R579, R688, R99, S068, S097, S179, S223, S250, S270, S368, S429, S628, T139, Y839"
V041,"T07, T149, S099, T099, S069, S299, S029, S199, S399, S065, S097, T139, T147, I250, S062, S068, T148, T510, T71, X45, F209, F319, J189, J969, R410, R99, S021, S066, S129, S197, S273, S381, T041, T136, T142, T145, B99, E149, F03, F109, F179, F191, F431, G409, I119, I139, I251, I469, I739, J690, J80, K703, L899, N40, R688, S091, S223, S224, S225, S250, S268, S270, S271, S272, S278, S280, S297, S361, S367, S824, T043, T065, T093, T141, T407, T408, T411, U071, X40, X42"
V049,"T07, T149, S099, T099"
V050,"T07, T149, T099, S099, S199, F119, F159, R780, R788, S097, S310, S381, S759, T043, T136, T139"
V051,"T07, T149, S099, T099, T139, A419, B24, F129, F159, F489, I10, I639, I745, J80, R02, S062, S065, S097, S199, T065, T144, T148, T71"
V059,"T07, T149, S099, T099, T436, X41, X45, S299, S399, T510, S097, S199, T139, T519, T404, X44, S069, F109, F151, F199, I10, R780, S297, T065, T424, X42, F03, F069, F159, F191, F329, J960, R788, S029, S197, S328, S368, T142, A419, E669, E831, F101, F111, F119, F209, F259, F432, I250, I251, I469, I500, I517, I519, I749, I820, I959, J449, J961, J969, K639, K703, K729, N289, N859, R782, R784, S021, S062, S064, S065, S071, S089, S223, S273, S298, S361, S367, S397, T091, T093, T119, T12, T136, T140, T141, T145, T148, T407, T449, T509, T699, T71, T794, T814, X31, Y839"
V061,V061
V090,"T07, S099, T149, T099, T147, T71, S299, S399, S069, I10, S029, T139, E149, I251, I469, I500, S280, I119, I250, I48, I64, S065, S066, S079, S097, S129, S199, S224, S279, S297, S368, T041, A490, A498, E119, E147, E785, F03, G122, G20, G931, G935, I120, I139, I219, I517, I519, I678, I802, J449, J969, K760, K769, R251, R268, R568, R780, S008, S009, S021, S062, S068, S071, S197, S208, S223, S225, S229, S250, S271, S272, S325, S328, S369, S381, S709, S720, S729, S824, S930, T090, T12, T140, T142, T148"
V091,"T07, S099, T149, S069, S299, T099, T139, S399, T147, F101, F179, J189, S029, S18, T093, T796"
