ucod,all_secondary
A009,A491
A020,"A419, E86, I10, K631, R688, A047, C189, E871, I251, I269, I469, I500, J960, J969, K769, N179, N19, R579"
A021,"A419, A029, J960, I48, N288, R688, E872, F179, I10, I251, J189, J440, K529, K566, N185, R54, A047, A099, A162, A499, C189, C64, C900, C911, C921, D471, D696, D759, D761, E119, E149, E43, E46, G122, G934, I214, I269, I459, I469, I500, I509, I518, I639, I64, I959, J09, J80, J841, J969, K590, K703, K729, K746, K819, M726, N159, N179, N390, Q249, R001, R090, R11, R13, R18, R91, T629, X599"
A022,"A029, J189, A419, D849, E149, F179, G039, G060, G419, I120, I251, I469, J690, K922, R99, T68, X31"
A029,"I48, I716, J969, N179, A419, C80, D65, E785, E889, I10, I251, I64, J449, J80, K729, K754, K831, R092, R579"
A039,"A498, I48, I500, J81, J960, K746, N179, R13, R688"
A040,"A419, N009"
A044,"A419, J960, A415, A491, A498, B179, C509, D593, D62, E039, E119, E46, E871, G934, I119, I219, I250, I251, I429, I447, I458, I469, I500, I739, J151, J459, J939, K559, K566, K729, K746, K922, N179, N183, N189, N288, R001, R688, T436, T509, U071, X41"
A045,"A419, K631, N179, A047, A499, D649, E86, E872, I500, I509, I739, J189, J449, J690, J960, J969, K659, N189, R090, R579"
A047,"A419, I469, N179, J960, I48, J189, I500, I10, N288, J969, I251, N390, F03, R688, J449, F179, N185, K922, K593, N189, E149, I509, J690, E46, D649, A090, R628, E872, E119, I64, N19, I120, E43, E889, K746, I739, U071, E86, R579, K559, R092, E785, J961, E142, A499, G934, E112, R090, G20, G309, I269, K631, K566, R000, E039, L899, R53, I219, I959, R13, R99, I214, T179, W80, A498, I429, A490, J440, R570, A099, C61, G931, R568, R571, A415, I272, J80, R54, D619, E875, I499, C349, D696, N183, R068, R578, E668, J159, M069, X590, C189, I458, I639, J90, K567, K729, F019, G473, I250, I802, D65, E669, I350, C509, F329, I694, K659, K703, E878, K650, N170, Y841, D62, E870, E871, M869, N009, I119, I490, J151, C679, D689, E145, I255, J81, A491, D70, J152, K859, N184, W19, B182, C64, C900, I679, J849, K219, K519, K579, L984, R34, S720, K550, N40, X599, D728, E876, F101, K509, K720, L039, M819, W18, C80, C911, D469, E141, F059, I472, K529, K760, L031, L089, N289, R198, S729, I519, J441, L893, N12, B49, E115, E880, F102, I714, J841, J984, K819, M628, R001, R064, R630, R64, T149, A414, E789, E877, F419, G35, G822, I110, I131, I38, J439, K578, N200, Y830, Y836, B377, C259, E111, G311, G318, I313, I461, M109, M199, M321, R02, R263, R58, R601, R634, Y831, E274, E835, F069, F109, G809, I518, I619, J150, K769, K861, N133, N139, N309, R418, R509, S328, Y832, C20, D899, E102, E162, F919, G700, G710, I259, I442, I471, I620, I629, J459, J939, K269, K562, K701, K709, K830, M009, M866, N300, N321, R060, R18, R636, Y835, A412, B948, C159, C56, C780, C795, C833, C859, C920, C959, D471, D695, F319, G419, G729, G825, I330, I340, I495, I829, J155, J181, J869, J988, K279, K318, K625, K668, K767, K768, K805, K810, K921, L891, L930, M139, M353, M480, N319, Q909, R33, R522, T814, W78, Y833, Y846, Y848, Y86, A410, A418, C169, C220, C329, C539, C541, C786, C787, C798, C851, D489, D500, D849, E059, E109, E116, E147, E45, E780, E834, F051, F171, F199, F259, F322, G049, G122, G409, G629, G819, G938, H919, I359, I420, I517, I634, I709, I99, J156, K264, K274, K358, K589, K638, K869, L892, M350, M726, R048, R11, R629, R798, S065, S220, S223, T141, T860, Y409, Y434, Y838, Y839, Y842, B91, C140, C229, C341, C439, C459, C793, C819, C829, C831, C921, D529, D693, D869, E035, E117, E213, E440, E538, E639, E854, E883, F103, F209, F411, F431, F432, G459, G474, G610, G92, G935, G936, I081, I129, I208, I248, I249, I258, I279, I319, I351, I428, I501, I516, I632, I672, I710, I771, I778, I828, I830, I850, I951, J069, J100, J180, J448, J47, J958, K102, K265, K298, K319, K430, K460, K521, K590, K611, K628, K629, K632, K661, K759, K766, K852, K900, K904, L022, L88, L97, L988, M259, M348, M462, M797, N059, N132, N329, N360, P073, Q273, Q613, R104, R680, R739, R91, S310, T519, T68, T828, X31, X45, Y442, Y834, Y849, A162, A199, A310, A403, A409, A481, A488, A86, B029, B159, B169, B179, B251, B258, B259, B338, B342, B348, B349, B379, B389, B451, C029, C099, C109, C170, C179, C19, C221, C310, C321, C442, C444, C449, C457, C55, C570, C579, C629, C73, C760, C761, C763, C782, C794, C845, C880, C910, C927, D131, D352, D509, D571, D589, D595, D686, D694, D735, D738, D752, D761, D803, D860, D868, E050, E079, E105, E114, E126, E146, E230, E236, E271, E279, E559, E662, E752, E781, E782, E831, E833, E874, F104, F119, F159, F191, F341, F439, F54, F842, F900, G062, G09, G10, G231, G239, G243, G250, G301, G312, G319, G379, G402, G470, G600, G834, G839, G908, G919, G952, G978, H353, H409, H540, H669, H709, H931, I052, I059, I061, I071, I080, I091, I139, I241, I260, I312, I339, I400, I441, I443, I459, I498, I513, I515, I615, I630, I671, I678, I692, I693, I698, I701, I729, I730, I744, I749, I770, I779, I801, I803, I81, I831, I839, I859, I868, I871, I872, I889, I890, I958, J041, J101, J110, J111, J129, J154, J157, J182, J348, J383, J390, J410, J42, J60, J679, J82, J840, J852, J860, J930, J931, J948, J981, J985, J986, K112, K130, K20, K220, K221, K222, K226, K228, K229, K256, K259, K275, K311, K403, K439, K500, K520, K528, K551, K560, K598, K599, K604, K704, K740, K761, K802, K803, K820, K831, K868, K913, K918, K920, L023, L032, L033, L120, L309, L929, L982, M213, M219, M300, M329, M349, M351, M359, M45, M464, M489, M545, M609, M622, M659, M729, M793, M844, M899, N019, N052, N10, N111, N135, N141, N171, N182, N201, N258, N26, N459, N508, N63, N739, Q070, Q210, Q211, Q600, Q782, Q878, R14, R161, R17, R190, R221, R230, R298, R31, R32, R402, R410, R470, R529, R55, R80, R945, S019, S029, S069, S099, S129, S271, S318, S324, S360, S370, S423, S709, S710, S730, S822, S824, S828, T10, T139, T142, T313, T391, T460, T66, T784, T813, T817, T818, T819, T827, T845, T856, T861, T862, T874, T905, T913, T931, T983, V299, V892, W01, W06, W34, W79, X09, X40, X44, Y427, Y883"
A048,"A419, J960, R688, I469, J189, J969, N179, N288, D649, E872, F03, E112, E46, I10, I251, I48, I500, I64, J690, J961, K746, N185, R13, W80, A090, A402, A498, C189, C509, D500, D684, E86, F179, F191, G309, G934, G959, G969, I081, I509, I709, I714, I739, I772, I959, I99, J152, J154, J159, J441, J449, J80, J90, K279, K559, K659, K729, K921, K922, L089, N390, R064, R092, R104, R53, R579, T179, T876, U071, Y835, Y841"
A049,"A419, I48, I469, G931, I10, I120, I251, I500, J449, K746, K922, N179, N185, A402, A409, A412, A415, A498, A499, D500, E668, E871, E872, F03, F102, F151, G35, G809, I269, I330, I509, I739, I770, J960, K559, K564, K701, K720, K721, K760, K767, N009, N189, R000, R568, R688"
A051,"B182, F119, J159"
A053,"A419, I469, D649, D65, D696, E835, E871, F101, I64, K703, L039, R688"
A059,"G049, K922"
A064,"A064, K579, K750"
A066,"E119, E278, E872, G919, J969, N133, N390, R601, R609"
A071,"A419, K566"
A072,"E86, I251, J449, K559, R53"
A073,"I469, J189, J960"
A080,"A419, C439, K631, K859, N288"
A081,"F03, A419, I10, I500, J449, D649, I120, I219, I251, I48, I509, J189, N179, E119, E149, E86, G473, I469, I694, J969, K219, R688, A047, A071, A090, A099, A415, B348, C679, C911, D849, D899, E039, E112, E141, E43, E440, E46, E668, E870, E872, E878, E889, F329, G048, G20, G309, G934, I250, I255, I259, I313, I499, I714, J690, J90, J960, K223, K259, K567, K593, K650, K746, L988, M199, M819, N009, N288, N390, R000, R060, R090, R11, R53, R58, R628, R634, R64, S720, T869, X590, Y579, Y830"
A083,"E142, F03, I120, I48, J960, M109, R000, R628, T179, W80"
