cluster,deaths,S,I,period
C1,160062,0.8815243500904143,0.827055920511904,1999_2004
C10,45188,0.8807057290866984,0.8249136904360619,1999_2004
C100,12057,0.8805498396729053,0.8208866477492741,1999_2004
C1000,1209,0.8828191650572182,0.822465845842502,1999_2004
C1001,1153,0.891528491231818,0.8388098653887185,1999_2004
C1002,1204,0.8851447555766493,0.8240858725761697,1999_2004
C1003,1196,0.8841302110714646,0.8478654735087121,1999_2004
C1004,1163,0.8822366918064808,0.8189538043478486,1999_2004
C1005,1161,0.8749652242230812,0.8310956902848543,1999_2004
C1006,1197,0.887004478615084,0.8328947368421095,1999_2004
C1007,1201,0.8843574013051849,0.821352845201245,1999_2004
C1008,1131,0.8701625518601646,0.8053959070295752,1999_2004
C1009,1475,0.88960091927607,0.8447952136969795,1999_2004
C101,12194,0.88030027055092,0.8206625248889324,1999_2004
C1010,1209,0.8878640414700608,0.8394472344500211,1999_2004
C1011,1148,0.878103412691668,0.8108099719896601,1999_2004
C1012,1508,0.8839830365372302,0.834821197982104,1999_2004
C1013,1176,0.8853371280484982,0.8366978743624363,1999_2004
C1014,1152,0.8647913049768515,0.7810475081369839,1999_2004
C1015,1152,0.8905873239776235,0.8404783950617314,1999_2004
C1016,1147,0.8803162641787949,0.8241879666362397,1999_2004
C1017,1165,0.8806793273038735,0.8228748227788593,1999_2004
C1018,1193,0.8750584050998805,0.799865625262456,1999_2004
C1019,1084,0.8796857341267139,0.8035257418252372,1999_2004
C102,12172,0.8832448023720473,0.8308803733255393,1999_2004
C1020,1167,0.8786780714140434,0.8122737053928597,1999_2004
C1021,1205,0.8874296241455898,0.8364519852882263,1999_2004
C1022,1428,0.880055943946206,0.8351261924888476,1999_2004
C1023,1164,0.8809561767102421,0.8166739674361168,1999_2004
C1024,1111,0.8853110333535603,0.8140571428571461,1999_2004
C1025,1172,0.8825685214737504,0.8232870708546247,1999_2004
C1026,1170,0.874347286142158,0.8132659845068755,1999_2004
C1027,1808,0.8807714239564572,0.8080604077963106,1999_2004
C1028,1169,0.8856714043500438,0.8459615957454553,1999_2004
C1029,1097,0.8850822953792103,0.8252165014060727,1999_2004
C103,11649,0.8792693628313993,0.8200555164810744,1999_2004
C1030,1140,0.8836365035395506,0.8331964917396366,1999_2004
C1031,1300,0.8774591715976332,0.8279800183411827,1999_2004
C1032,1135,0.8791756098507638,0.8269582342740821,1999_2004
C1033,1109,0.8901332730564989,0.8404208363761927,1999_2004
C1034,1123,0.8866769378866077,0.8350825074471904,1999_2004
C1035,1122,0.8796600798802748,0.8195681317628637,1999_2004
C1036,1118,0.8821064320710699,0.8163739669421503,1999_2004
C1037,1169,0.8718147232359184,0.8025638802173588,1999_2004
C1038,1446,0.8795236154871837,0.8246691871455498,1999_2004
C1039,1412,0.8874178430129445,0.849630942125452,1999_2004
C104,11950,0.8824035153446194,0.8289298726257963,1999_2004
C1040,1338,0.8797013144576942,0.8175865937135111,1999_2004
C1041,1099,0.8741936792567649,0.8241724919403413,1999_2004
C1042,1105,0.8769615691734404,0.8126129907024756,1999_2004
C1043,1394,0.8898178090566459,0.8376731391411579,1999_2004
C1044,1155,0.8809235209235211,0.8165959842371919,1999_2004
C1045,1142,0.8832830840293093,0.8316367021763648,1999_2004
C1046,1115,0.8811582778660338,0.8358240752430003,1999_2004
C1047,1128,0.8738132513455058,0.806094987014403,1999_2004
C1048,1099,0.8794445442585326,0.8152970829467973,1999_2004
C1049,1123,0.8867514742742415,0.8304765552682533,1999_2004
C105,11827,0.880502041176203,0.8303551703257509,1999_2004
C1050,1160,0.8791453626634961,0.8375346735680486,1999_2004
C1051,1104,0.8726190007351398,0.8043808109504151,1999_2004
C1052,1102,0.8789957872339026,0.8218571701450824,1999_2004
C1053,1119,0.8718463520266162,0.7946943304288359,1999_2004
C1054,1064,0.8754133925038159,0.8276478232618463,1999_2004
C1055,1109,0.870250048581936,0.8023170005951233,1999_2004
C1056,1126,0.888599516041001,0.8365141537405353,1999_2004
C1057,1108,0.8836000729841389,0.8042261196987587,1999_2004
C1058,1144,0.8781175118587706,0.8134967697637424,1999_2004
C1059,1123,0.8785588151568949,0.8130832371024596,1999_2004
C106,11666,0.8816841749042856,0.8256877922990962,1999_2004
C1060,1089,0.88029135161617,0.8287587528074916,1999_2004
C1061,1133,0.8844681227306613,0.8263636641128116,1999_2004
C1062,1218,0.8874746886467628,0.8309764542936343,1999_2004
C1063,1114,0.8854371811029206,0.8102716574342327,1999_2004
C1064,1110,0.8773232692151611,0.824458907462557,1999_2004
C1065,1339,0.880056622684435,0.8216913494809409,1999_2004
C1066,1372,0.89242896242212,0.8451235727628659,1999_2004
C1067,1106,0.8784993247419141,0.8176719344810608,1999_2004
C1068,1155,0.8751485167069584,0.8035501521602144,1999_2004
C1069,1139,0.8831044899450484,0.8271428682272655,1999_2004
C107,11426,0.881484947976414,0.8283866674221746,1999_2004
C1070,1078,0.8872955827633804,0.8325432525951525,1999_2004
C1071,1417,0.8725322963570197,0.8017817371937466,1999_2004
C1072,1098,0.8757369749934474,0.8138521030205285,1999_2004
C1073,1289,0.8769482901510123,0.8126081314879035,1999_2004
C1074,1230,0.8850631238019696,0.8205636680487873,1999_2004
C1075,1117,0.8813109677171155,0.8272088871255663,1999_2004
C1076,1081,0.8799112754918229,0.8285358039370891,1999_2004
C1077,1295,0.8813941354481896,0.8250717636351168,1999_2004
C1078,1075,0.8798165494862089,0.8273857693545751,1999_2004
C1079,1060,0.8879387682449269,0.8366106859410233,1999_2004
C108,11824,0.8804605429703307,0.8224686324245571,1999_2004
C1080,1055,0.8758779003167043,0.8158152725744869,1999_2004
C1081,1155,0.8870028672626077,0.8448789641583778,1999_2004
C1082,1068,0.882797486288207,0.8176791201824146,1999_2004
C1083,1077,0.8821798575602474,0.830336602745636,1999_2004
C1084,1178,0.8878332531037325,0.8200080623488154,1999_2004
C1085,1080,0.8819290123456791,0.8345137576139345,1999_2004
C1086,1117,0.8827488260295635,0.8272676933447862,1999_2004
C1087,1062,0.8851968889314481,0.8269191356649664,1999_2004
C1088,1092,0.8762444820137127,0.797694838035166,1999_2004
C1089,1087,0.8696978339817651,0.8041840726191529,1999_2004
C109,11516,0.8815713124745058,0.8288904364367099,1999_2004
C1090,1159,0.8793811570326686,0.8213105106763302,1999_2004
C1091,1096,0.8805144120624434,0.8079287647432528,1999_2004
C1092,1074,0.8843478321178769,0.8347712262747514,1999_2004
C1093,1041,0.8734175463074467,0.8064396192742695,1999_2004
C1094,1086,0.8823940389826658,0.8388326454002568,1999_2004
C1095,1064,0.865809966645938,0.7942226159045682,1999_2004
C1096,1057,0.87655303338826,0.8039517826167161,1999_2004
C1097,1087,0.8846152869616584,0.832136105860113,1999_2004
C1098,997,0.8856821215904482,0.8368595074851215,1999_2004
C1099,1327,0.8814415572689188,0.8360581314878637,1999_2004
C11,42862,0.8815365559022594,0.8228832415311518,1999_2004
C110,11269,0.880958909944354,0.8258642715536979,1999_2004
C1100,1392,0.8889219183511692,0.8484969008264742,1999_2004
C1101,1078,0.8779606293520952,0.8180054124137259,1999_2004
C1102,1046,0.8801735830570067,0.8292477137465787,1999_2004
C1103,1027,0.8766801709254226,0.8123368367931457,1999_2004
C1104,1101,0.8841009040579904,0.8380719370120232,1999_2004
C1105,1065,0.8842689942471732,0.8288441388054503,1999_2004
C1106,1093,0.8721775182501303,0.8116441635545046,1999_2004
C1107,1037,0.879863563111825,0.8359401705453565,1999_2004
C1108,1035,0.8752092230857197,0.805020153559829,1999_2004
C1109,1056,0.8772060089531679,0.832709630268774,1999_2004
C111,11056,0.8813351670014093,0.824898875916773,1999_2004
C1110,1103,0.8877576937208256,0.8191469811888238,1999_2004
C1111,1038,0.8818667141865377,0.8246406494028599,1999_2004
C1112,1074,0.8784109942469546,0.8155421849648351,1999_2004
C1113,1079,0.8782940989022033,0.8142708187946006,1999_2004
C1114,1112,0.8740020573469282,0.8013306122448998,1999_2004
C1115,1081,0.879515917440339,0.8161780514443441,1999_2004
C1116,1071,0.8790200175930939,0.8085275116952653,1999_2004
C1117,1450,0.8853336504161712,0.8314638358982356,1999_2004
C1118,1078,0.8819844348601307,0.8325782624586631,1999_2004
C1119,1066,0.8922978362414596,0.8459500653215606,1999_2004
C112,11046,0.8820404517785467,0.8252905844071167,1999_2004
C1120,1037,0.8893895955713808,0.8345174194621258,1999_2004
C1121,1081,0.8888983972595355,0.837358786288489,1999_2004
C1122,1071,0.8886569878496061,0.8379047099119944,1999_2004
C1123,1045,0.8771539113115541,0.8060693027210656,1999_2004
C1124,1079,0.8763907129194042,0.8098780901662573,1999_2004
C1125,1045,0.8770824843753575,0.8130382634887123,1999_2004
C1126,1006,0.8736784066969949,0.8138996574955858,1999_2004
C1127,1002,0.8751897402799192,0.8092718568909175,1999_2004
C1128,1012,0.8910485244262527,0.8377374436178969,1999_2004
C1129,1171,0.888093340266226,0.8447483989678863,1999_2004
C113,10892,0.8813466581179162,0.8266233528238986,1999_2004
C1130,1043,0.8893679177900609,0.8263857604309209,1999_2004
C1131,1036,0.8732614302112371,0.8049431142177604,1999_2004
C1132,1082,0.8807729234217458,0.8206595253098029,1999_2004
C1133,1014,0.8851697536267404,0.8472542385485213,1999_2004
C1134,1013,0.8796172950069628,0.8221872846731176,1999_2004
C1135,1113,0.8879234142927375,0.8297552508533305,1999_2004
C1136,1059,0.8885821516369873,0.8288666715053259,1999_2004
C1137,1029,0.8772233035932685,0.820021987971284,1999_2004
C1138,1035,0.8867735536418586,0.852154971494125,1999_2004
C1139,1181,0.887281763685678,0.8358542222222309,1999_2004
C114,10876,0.8806844950216834,0.8226296776077309,1999_2004
C1140,1092,0.8845415878382911,0.828254568367989,1999_2004
C1141,1592,0.8788627496780386,0.8174084552707684,1999_2004
