cluster,deaths_no_garbage,S,f1,f2,H_raw,detail_phillips_raw,detail_phillips_refsize,D1_mref,D1_eff_used,m_ref,m_max,eff_m_used,used_extrapolation,fallback_reason,period,unit,unit_id
C1,71127,598,109,58,3.907300730942517,57.515569441112525,56.00678849458836,NA,44.91636515128445,2000,142254,2000,FALSE,ok,1999_2006,cluster,C1
C10,19026,445,108,55,3.9060493258572877,57.49714872537174,56.17497345835048,NA,45.432504039202485,2000,38052,2000,FALSE,ok,1999_2006,cluster,C10
C100,5084,318,111,47,3.8647073982763915,56.88859446493862,56.040868674815634,NA,45.02047714018483,2000,10168,2000,FALSE,ok,1999_2006,cluster,C100
C101,5071,319,107,50,3.9372435981399296,57.95632923313995,57.10751864938524,NA,48.4038781995704,2000,10142,2000,FALSE,ok,1999_2006,cluster,C101
C102,5044,305,117,41,3.854202939847504,56.73396856081421,55.92794461932751,NA,44.676425839523226,2000,10088,2000,FALSE,ok,1999_2006,cluster,C102
C103,5017,319,108,54,3.93655020349203,57.94612244570084,57.10266673997369,NA,48.38792628977091,2000,10034,2000,FALSE,ok,1999_2006,cluster,C103
C104,5761,326,105,53,3.8756209166786433,57.04924174262082,56.13943051287047,NA,45.32293514311487,2000,11522,2000,FALSE,ok,1999_2006,cluster,C104
C105,5447,314,106,54,3.856043754017618,56.76106539377384,55.90153709266131,NA,44.59634879008141,2000,10894,2000,FALSE,ok,1999_2006,cluster,C105
C106,4930,296,104,43,3.8576164823861405,56.7842159966889,56.006812697686264,NA,44.91643900414693,2000,9860,2000,FALSE,ok,1999_2006,cluster,C106
C107,6346,333,127,41,3.8812187305790995,57.131641710342905,56.18994056316239,NA,45.47872262995355,2000,12692,2000,FALSE,ok,1999_2006,cluster,C107
C108,5717,297,104,29,3.8443111253724127,56.58836079178962,55.77024418808054,NA,44.20034749693802,2000,11434,2000,FALSE,ok,1999_2006,cluster,C108
C109,4823,298,102,45,3.8893655098423947,57.25156251519133,56.48058771467536,NA,46.38562466048938,2000,9646,2000,FALSE,ok,1999_2006,cluster,C109
C11,17938,448,115,54,3.907425588954478,57.51740735432979,56.18852873334104,NA,45.47436087566383,2000,35876,2000,FALSE,ok,1999_2006,cluster,C11
C110,4735,291,97,45,3.850354249182415,56.67731573308271,55.92984213449863,NA,44.68218531701622,2000,9470,2000,FALSE,ok,1999_2006,cluster,C110
C111,4723,290,102,45,3.840721719998809,56.53552465036264,55.79130951451722,NA,44.26364638498372,2000,9446,2000,FALSE,ok,1999_2006,cluster,C111
C112,4627,297,109,51,3.8257120735497048,56.31458226018686,55.55664528902621,NA,43.563597509452634,2000,9254,2000,FALSE,ok,1999_2006,cluster,C112
C113,4606,297,103,41,3.891607253007843,57.284561033498456,56.53344099029392,NA,46.55247482832252,2000,9212,2000,FALSE,ok,1999_2006,cluster,C113
C114,5591,309,94,50,3.8830906448019626,57.15919633689628,56.30635702791583,NA,45.83982685231291,2000,11182,2000,FALSE,ok,1999_2006,cluster,C114
C115,5619,298,95,45,3.8478494550729456,56.64044509796675,55.82199120515864,NA,44.35600354685114,2000,11238,2000,FALSE,ok,1999_2006,cluster,C115
C116,5137,292,100,43,3.824804641893227,56.30122484235672,55.52377520912494,NA,43.46642775441189,2000,10274,2000,FALSE,ok,1999_2006,cluster,C116
C117,4488,287,106,43,3.8502524284290165,56.67581692891689,55.96113260472777,NA,44.77726759611338,2000,8976,2000,FALSE,ok,1999_2006,cluster,C117
C118,4431,299,114,41,3.8593448046031056,56.80965694514195,56.067875637479986,NA,45.10315242791729,2000,8862,2000,FALSE,ok,1999_2006,cluster,C118
C119,4430,278,84,50,3.8539143547321495,56.72972058033234,56.04071362098741,NA,45.02000291816706,2000,8860,2000,FALSE,ok,1999_2006,cluster,C119
C12,17639,438,97,71,3.902068299433094,57.4385479117885,56.12173450116143,NA,45.268481891704674,2000,35278,2000,FALSE,ok,1999_2006,cluster,C12
C120,4428,301,124,39,3.852367343250696,56.70694853067077,55.95957687196006,NA,44.77253541832656,2000,8856,2000,FALSE,ok,1999_2006,cluster,C120
C121,4423,278,91,45,3.817598553076979,56.19515102560965,55.5080156059193,NA,43.41991648627845,2000,8846,2000,FALSE,ok,1999_2006,cluster,C121
C122,5935,325,108,48,3.879844433850015,57.11141202637504,56.19779416153501,NA,45.50299343717664,2000,11870,2000,FALSE,ok,1999_2006,cluster,C122
C123,5790,309,103,33,3.8769555086080447,57.06888697089393,56.21167987786145,NA,45.545937638191845,2000,11580,2000,FALSE,ok,1999_2006,cluster,C123
C124,4357,301,112,45,3.94515377510094,58.07276724588096,57.33503919869124,NA,49.15784611981443,2000,8714,2000,FALSE,ok,1999_2006,cluster,C124
C125,5907,317,109,45,3.8784217848712763,57.0904705960216,56.20604399775977,NA,45.5285027297811,2000,11814,2000,FALSE,ok,1999_2006,cluster,C125
C126,4248,284,94,57,3.877386818995327,57.075235871129316,56.388329092959516,NA,46.09580922360755,2000,8496,2000,FALSE,ok,1999_2006,cluster,C126
C127,4754,286,97,40,3.8304495732164963,56.38431837978083,55.64944670604215,NA,43.83910884283758,2000,9508,2000,FALSE,ok,1999_2006,cluster,C127
