period,cluster,cluster_deaths,n_counties
1999_2005,01CS001,2400,2
1999_2005,01CS002,1479,1
1999_2005,01CS003,1009,4
1999_2005,01CS004,492,1
1999_2005,01CS005,1244,5
1999_2005,01CS006,1257,1
1999_2005,01CS007,718,2
1999_2005,01CS008,930,2
1999_2005,01CS009,1063,3
1999_2005,01CS010,619,3
1999_2005,01CS011,689,3
1999_2005,01CS012,1236,3
1999_2005,01CS013,1240,3
1999_2005,01CS014,606,1
1999_2005,01CS015,872,1
1999_2005,01CS016,1301,2
1999_2005,01CS017,665,2
1999_2005,01CS018,579,1
1999_2005,01CS019,1295,1
1999_2005,01CS020,1161,4
1999_2005,01CS021,968,5
1999_2005,01CS022,538,1
1999_2005,01CS023,7076,1
1999_2005,01CS024,900,1
1999_2005,01CS025,1358,2
1999_2005,01CS026,792,1
1999_2005,01CS027,569,1
1999_2005,01CS028,832,2
1999_2005,01CS029,2185,1
1999_2005,01CS030,929,1
1999_2005,01CS031,3855,1
1999_2005,01CS032,880,1
1999_2005,01CS033,611,1
1999_2005,01CS034,1442,1
1999_2005,01CS035,1210,2
1999_2005,02CS001,1116,1
1999_2005,02CS002,351,1
1999_2005,02CS003,308,1
1999_2005,02CS004,202,6
1999_2005,02CS005,350,3
1999_2005,02CS006,469,6
1999_2005,04CS001,497,1
1999_2005,04CS002,1614,4
1999_2005,04CS003,579,1
1999_2005,04CS004,617,1
1999_2005,04CS005,3204,2
1999_2005,04CS006,22968,1
1999_2005,04CS007,2070,1
1999_2005,04CS008,681,1
1999_2005,04CS009,7417,1
1999_2005,04CS010,1599,1
1999_2005,05CS001,846,4
1999_2005,05CS002,623,3
1999_2005,05CS003,841,2
1999_2005,05CS004,1247,1
1999_2005,05CS005,734,3
1999_2005,05CS006,558,4
1999_2005,05CS007,668,4
1999_2005,05CS008,596,2
1999_2005,05CS009,656,2
1999_2005,05CS010,1389,4
1999_2005,05CS011,584,3
1999_2005,05CS012,836,1
1999_2005,05CS013,462,1
1999_2005,05CS014,530,1
1999_2005,05CS015,1041,4
1999_2005,05CS016,591,1
1999_2005,05CS017,670,3
1999_2005,05CS018,1271,1
1999_2005,05CS019,661,4
1999_2005,05CS020,729,3
1999_2005,05CS021,900,1
1999_2005,05CS022,498,1
1999_2005,05CS023,586,1
1999_2005,05CS024,789,5
1999_2005,05CS025,501,1
1999_2005,05CS026,3250,1
1999_2005,05CS027,673,1
1999_2005,05CS028,1093,1
1999_2005,05CS029,1002,5
1999_2005,05CS030,836,5
1999_2005,05CS031,1181,1
1999_2005,05CS032,699,1
1999_2005,06CS001,9403,1
1999_2005,06CS002,1069,5
1999_2005,06CS003,2041,1
1999_2005,06CS004,927,2
1999_2005,06CS005,6635,1
1999_2005,06CS006,1647,3
1999_2005,06CS007,1173,1
1999_2005,06CS008,5484,1
1999_2005,06CS009,853,2
1999_2005,06CS010,835,1
1999_2005,06CS011,4948,1
1999_2005,06CS012,747,1
1999_2005,06CS013,460,3
1999_2005,06CS014,58876,1
1999_2005,06CS015,961,1
1999_2005,06CS016,1796,1
1999_2005,06CS017,716,2
1999_2005,06CS018,830,1
1999_2005,06CS019,1425,1
1999_2005,06CS020,621,2
1999_2005,06CS021,2304,1
1999_2005,06CS022,1238,1
1999_2005,06CS023,928,1
1999_2005,06CS024,16781,1
1999_2005,06CS025,2071,1
1999_2005,06CS026,12540,1
1999_2005,06CS027,9311,1
1999_2005,06CS028,269,1
1999_2005,06CS029,11400,1
1999_2005,06CS030,19402,1
1999_2005,06CS031,6106,1
1999_2005,06CS032,4360,1
1999_2005,06CS033,2054,1
1999_2005,06CS034,4664,1
1999_2005,06CS035,2875,1
1999_2005,06CS036,8585,1
1999_2005,06CS037,1562,1
1999_2005,06CS038,1743,1
1999_2005,06CS039,2440,1
1999_2005,06CS040,3749,1
1999_2005,06CS041,3521,1
1999_2005,06CS042,697,1
1999_2005,06CS043,2625,1
1999_2005,06CS044,4631,1
1999_2005,06CS045,1061,1
1999_2005,06CS046,518,1
1999_2005,08CS001,15201,1
1999_2005,08CS004,272,3
1999_2005,08CS005,556,3
1999_2005,08CS006,649,2
1999_2005,08CS008,511,1
1999_2005,08CS009,411,6
1999_2005,08CS010,3123,1
1999_2005,08CS011,321,2
1999_2005,08CS012,286,9
1999_2005,08CS014,498,2
1999_2005,08CS015,1496,1
1999_2005,08CS016,506,4
1999_2005,08CS017,1115,1
1999_2005,08CS018,255,5
1999_2005,08CS019,263,5
1999_2005,08CS020,1382,1
1999_2005,08CS021,475,5
1999_2005,08CS022,545,6
1999_2005,09CS001,6750,1
1999_2005,09CS002,7623,1
1999_2005,09CS003,1620,1
1999_2005,09CS004,1366,1
1999_2005,09CS005,7676,1
1999_2005,09CS006,2165,1
1999_2005,09CS007,881,1
1999_2005,09CS008,1001,1
1999_2005,10CS001,1055,1
