icd10_code,usefulness_rank,note
A00.0,2,Moderately informative
A00.1,2,Moderately informative
A00.2,2,Moderately informative
A00.3,2,Moderately informative
A00.4,2,Moderately informative
A00.5,2,Moderately informative
A00.6,2,Moderately informative
A00.7,2,Moderately informative
A00.8,2,Moderately informative
A00.9,2,Moderately informative
A01.0,2,Moderately informative
A01.1,2,Moderately informative
A01.2,2,Moderately informative
A01.3,2,Moderately informative
A01.4,2,Moderately informative
A01.5,2,Moderately informative
A01.6,2,Moderately informative
A01.7,2,Moderately informative
A01.8,2,Moderately informative
A01.9,2,Moderately informative
A02.0,2,Moderately informative
A02.1,2,Moderately informative
A02.2,2,Moderately informative
A02.3,2,Moderately informative
A02.4,2,Moderately informative
A02.5,2,Moderately informative
A02.6,2,Moderately informative
A02.7,2,Moderately informative
A02.8,2,Moderately informative
A02.9,2,Moderately informative
A03.0,2,Moderately informative
A03.1,2,Moderately informative
A03.2,2,Moderately informative
A03.3,2,Moderately informative
A03.4,2,Moderately informative
A03.5,2,Moderately informative
A03.6,2,Moderately informative
A03.7,2,Moderately informative
A03.8,2,Moderately informative
A03.9,2,Moderately informative
A04.0,2,Moderately informative
A04.1,2,Moderately informative
A04.2,2,Moderately informative
A04.3,2,Moderately informative
A04.4,2,Moderately informative
A04.5,2,Moderately informative
A04.6,2,Moderately informative
A04.7,2,Moderately informative
A04.8,2,Moderately informative
A04.9,2,Moderately informative
A05.0,2,Moderately informative
A05.1,2,Moderately informative
A05.2,2,Moderately informative
A05.3,2,Moderately informative
A05.4,2,Moderately informative
A05.5,2,Moderately informative
A05.6,2,Moderately informative
A05.7,2,Moderately informative
A05.8,2,Moderately informative
A05.9,2,Moderately informative
A06.0,2,Moderately informative
A06.1,2,Moderately informative
A06.2,2,Moderately informative
A06.3,2,Moderately informative
A06.4,2,Moderately informative
A06.5,2,Moderately informative
A06.6,2,Moderately informative
A06.7,2,Moderately informative
A06.8,2,Moderately informative
A06.9,2,Moderately informative
A07.0,2,Moderately informative
A07.1,2,Moderately informative
A07.2,2,Moderately informative
A07.3,2,Moderately informative
A07.4,2,Moderately informative
A07.5,2,Moderately informative
A07.6,2,Moderately informative
A07.7,2,Moderately informative
A07.8,2,Moderately informative
A07.9,2,Moderately informative
A08.0,2,Moderately informative
A08.1,2,Moderately informative
A08.2,2,Moderately informative
A08.3,2,Moderately informative
A08.4,2,Moderately informative
A08.5,2,Moderately informative
A08.6,2,Moderately informative
A08.7,2,Moderately informative
A08.8,2,Moderately informative
A08.9,2,Moderately informative
A09.0,2,Moderately informative
A09.1,2,Moderately informative
A09.2,2,Moderately informative
A09.3,2,Moderately informative
A09.4,2,Moderately informative
A09.5,2,Moderately informative
A09.6,2,Moderately informative
A09.7,2,Moderately informative
A09.8,2,Moderately informative
A09.9,2,Moderately informative
A10.0,2,Moderately informative
A10.1,2,Moderately informative
A10.2,2,Moderately informative
A10.3,2,Moderately informative
A10.4,2,Moderately informative
A10.5,2,Moderately informative
A10.6,2,Moderately informative
A10.7,2,Moderately informative
A10.8,2,Moderately informative
A10.9,2,Moderately informative
A11.0,2,Moderately informative
A11.1,2,Moderately informative
A11.2,2,Moderately informative
A11.3,2,Moderately informative
A11.4,2,Moderately informative
A11.5,2,Moderately informative
A11.6,2,Moderately informative
A11.7,2,Moderately informative
A11.8,2,Moderately informative
A11.9,2,Moderately informative
A12.0,2,Moderately informative
A12.1,2,Moderately informative
A12.2,2,Moderately informative
A12.3,2,Moderately informative
A12.4,2,Moderately informative
A12.5,2,Moderately informative
A12.6,2,Moderately informative
A12.7,2,Moderately informative
A12.8,2,Moderately informative
A12.9,2,Moderately informative
A13.0,2,Moderately informative
A13.1,2,Moderately informative
A13.2,2,Moderately informative
A13.3,2,Moderately informative
A13.4,2,Moderately informative
A13.5,2,Moderately informative
A13.6,2,Moderately informative
A13.7,2,Moderately informative
A13.8,2,Moderately informative
A13.9,2,Moderately informative
A14.0,2,Moderately informative
A14.1,2,Moderately informative
A14.2,2,Moderately informative
A14.3,2,Moderately informative
A14.4,2,Moderately informative
A14.5,2,Moderately informative
A14.6,2,Moderately informative
A14.7,2,Moderately informative
A14.8,2,Moderately informative
A14.9,2,Moderately informative
A15.0,3,Specific and useful contributing cause
A15.1,2,Moderately informative
A15.2,2,Moderately informative
A15.3,2,Moderately informative
A15.4,2,Moderately informative
A15.5,2,Moderately informative
A15.6,2,Moderately informative
A15.7,2,Moderately informative
A15.8,2,Moderately informative
A15.9,2,Moderately informative
A16.0,2,Moderately informative
A16.1,2,Moderately informative
A16.2,2,Moderately informative
A16.3,2,Moderately informative
A16.4,2,Moderately informative
A16.5,2,Moderately informative
A16.6,2,Moderately informative
A16.7,2,Moderately informative
A16.8,2,Moderately informative
A16.9,2,Moderately informative
A17.0,2,Moderately informative
A17.1,2,Moderately informative
A17.2,2,Moderately informative
A17.3,2,Moderately informative
A17.4,2,Moderately informative
A17.5,2,Moderately informative
A17.6,2,Moderately informative
A17.7,2,Moderately informative
A17.8,2,Moderately informative
A17.9,2,Moderately informative
A18.0,2,Moderately informative
A18.1,2,Moderately informative
A18.2,2,Moderately informative
A18.3,2,Moderately informative
A18.4,2,Moderately informative
A18.5,2,Moderately informative
A18.6,2,Moderately informative
A18.7,2,Moderately informative
A18.8,2,Moderately informative
A18.9,2,Moderately informative
A19.0,2,Moderately informative
A19.1,2,Moderately informative
A19.2,2,Moderately informative
A19.3,2,Moderately informative
A19.4,2,Moderately informative
A19.5,2,Moderately informative
A19.6,2,Moderately informative
A19.7,2,Moderately informative
A19.8,2,Moderately informative
A19.9,2,Moderately informative
A20.0,2,Moderately informative
A20.1,2,Moderately informative
A20.2,2,Moderately informative
A20.3,2,Moderately informative
A20.4,2,Moderately informative
A20.5,2,Moderately informative
A20.6,2,Moderately informative
A20.7,2,Moderately informative
A20.8,2,Moderately informative
A20.9,2,Moderately informative
A21.0,2,Moderately informative
A21.1,2,Moderately informative
A21.2,2,Moderately informative
A21.3,2,Moderately informative
A21.4,2,Moderately informative
A21.5,2,Moderately informative
A21.6,2,Moderately informative
A21.7,2,Moderately informative
A21.8,2,Moderately informative
A21.9,2,Moderately informative
A22.0,2,Moderately informative
A22.1,2,Moderately informative
A22.2,2,Moderately informative
A22.3,2,Moderately informative
A22.4,2,Moderately informative
A22.5,2,Moderately informative
A22.6,2,Moderately informative
A22.7,2,Moderately informative
A22.8,2,Moderately informative
A22.9,2,Moderately informative
A23.0,2,Moderately informative
A23.1,2,Moderately informative
A23.2,2,Moderately informative
A23.3,2,Moderately informative
A23.4,2,Moderately informative
A23.5,2,Moderately informative
A23.6,2,Moderately informative
A23.7,2,Moderately informative
A23.8,2,Moderately informative
A23.9,2,Moderately informative
A24.0,2,Moderately informative
A24.1,2,Moderately informative
A24.2,2,Moderately informative
A24.3,2,Moderately informative
A24.4,2,Moderately informative
A24.5,2,Moderately informative
A24.6,2,Moderately informative
A24.7,2,Moderately informative
A24.8,2,Moderately informative
A24.9,2,Moderately informative
A25.0,2,Moderately informative
A25.1,2,Moderately informative
A25.2,2,Moderately informative
A25.3,2,Moderately informative
A25.4,2,Moderately informative
A25.5,2,Moderately informative
A25.6,2,Moderately informative
A25.7,2,Moderately informative
A25.8,2,Moderately informative
A25.9,2,Moderately informative
A26.0,2,Moderately informative
A26.1,2,Moderately informative
A26.2,2,Moderately informative
A26.3,2,Moderately informative
A26.4,2,Moderately informative
A26.5,2,Moderately informative
A26.6,2,Moderately informative
A26.7,2,Moderately informative
A26.8,2,Moderately informative
A26.9,2,Moderately informative
A27.0,2,Moderately informative
A27.1,2,Moderately informative
A27.2,2,Moderately informative
A27.3,2,Moderately informative
A27.4,2,Moderately informative
A27.5,2,Moderately informative
A27.6,2,Moderately informative
A27.7,2,Moderately informative
A27.8,2,Moderately informative
A27.9,2,Moderately informative
A28.0,2,Moderately informative
A28.1,2,Moderately informative
A28.2,2,Moderately informative
A28.3,2,Moderately informative
A28.4,2,Moderately informative
A28.5,2,Moderately informative
A28.6,2,Moderately informative
A28.7,2,Moderately informative
A28.8,2,Moderately informative
