period,cluster,fips,cluster_deaths
1999_2006,C567,37133,4543
1999_2006,C58,09001,37152
1999_2006,C660,37135,3869
1999_2006,C913,37037,2709
1999_2006,C441,37191,5933
1999_2006,C1418,37091,1586
1999_2006,C1219,37143,758
1999_2006,C1564,37053,918
1999_2006,C1438,37007,1537
1999_2006,C765,36053,3330
1999_2006,C1312,37075,573
1999_2006,C350,51143,7298
1999_2006,C133,24003,20330
1999_2006,C236,42041,11162
1999_2006,C1505,48503,1450
1999_2006,C10,36081,100104
1999_2006,C705,45031,3599
1999_2006,C2,17031,246699
1999_2006,C200,06053,13543
1999_2006,C1131,06005,2164
1999_2006,C316,06047,8199
1999_2006,C242,41029,10997
1999_2006,C373,06055,6945
1999_2006,C91,25025,27380
1999_2006,C1411,40091,1603
1999_2006,C750,56025,3398
1999_2006,C1243,41015,1899
1999_2006,C1245,35039,1892
1999_2006,C1335,35017,1706
1999_2006,C298,09005,8782
1999_2006,C1596,20193,381
1999_2006,C1871,30041,834
1999_2006,C1455,08045,1526
1999_2006,C1821,56011,296
1999_2006,C1455,08103,282
1999_2006,C1455,08037,426
1999_2006,C149,08119,560
1999_2006,C435,17115,6030
1999_2006,C1596,08121,301
1999_2006,C1285,27077,236
1999_2006,C740,05089,954
1999_2006,C1596,20181,426
1999_2006,C1767,56001,1076
1999_2006,C1541,20203,151
1999_2006,C67,40011,848
1999_2006,C654,35027,943
1999_2006,C1102,35009,2217
1999_2006,C1890,48165,572
1999_2006,C422,48135,6212
1999_2006,C1501,48299,1454
1999_2006,C1053,36031,2348
1999_2006,C620,36043,4136
1999_2006,C599,36105,4244
1999_2006,C1226,36097,1026
1999_2006,C455,36123,1460
1999_2006,C1783,41031,970
1999_2006,C689,26103,3691
1999_2006,C518,42001,4993
1999_2006,C508,42111,5074
1999_2006,C224,42107,11852
1999_2006,C195,17089,13806
1999_2006,C633,01121,4032
1999_2006,C775,01115,3284
1999_2006,C306,12005,8439
1999_2006,C1552,13253,529
1999_2006,C1041,47051,2371
1999_2006,C1082,13233,2268
1999_2006,C1534,22041,1408
1999_2006,C849,48221,3008
1999_2006,C688,45047,3716
1999_2006,C693,28081,3674
1999_2006,C487,18057,5275
1999_2006,C931,47079,2647
1999_2006,C881,29023,2816
1999_2006,C1273,47071,1833
1999_2006,C1907,38009,505
1999_2006,C134,47093,20319
1999_2006,C1270,02185,212
1999_2006,C390,15001,6569
1999_2006,C144,17197,18408
1999_2006,C268,17143,9817
1999_2006,C512,55063,5045
1999_2006,C1558,19167,1379
1999_2006,C665,26159,3844
1999_2006,C1825,19121,784
1999_2006,C137,31155,956
1999_2006,C1383,21021,1655
1999_2006,C152,19153,16903
1999_2006,C1832,31159,963
1999_2006,C1121,17011,2174
1999_2006,C1718,16059,479
1999_2006,C424,18035,6203
1999_2006,C209,39085,12941
1999_2006,C450,17113,5832
1999_2006,C890,55021,2780
1999_2006,C1425,27129,1132
1999_2006,C1565,17133,1374
1999_2006,C193,48273,1293
1999_2006,C340,23019,7557
1999_2006,C543,39043,4787
1999_2006,C1652,17139,991
1999_2006,C1532,16007,332
1999_2006,C221,27071,884
1999_2006,C1257,30081,1868
1999_2006,C869,05011,890
1999_2006,C1559,05057,1379
1999_2006,C1463,05127,751
1999_2006,C148,05053,815
1999_2006,C1410,05111,1604
1999_2006,C1816,05041,998
1999_2006,C1261,22123,636
1999_2006,C1247,40081,1884
1999_2006,C1594,28043,1327
1999_2006,C1310,40133,1756
1999_2006,C1069,26061,2308
1999_2006,C1174,26069,2057
1999_2006,C296,12029,1023
1999_2006,C1658,12123,1219
1999_2006,C1061,55085,2333
1999_2006,C1413,48089,1418
1999_2006,C712,13019,869
1999_2006,C1412,21179,1601
1999_2006,C898,17121,2760
1999_2006,C1451,13257,1531
1999_2006,C1021,24041,2399
1999_2006,C1451,13119,1231
1999_2006,C1500,13179,1457
1999_2006,C1136,13157,2147
1999_2006,C953,47017,2568
1999_2006,C1533,21075,591
1999_2006,C964,21083,2538
1999_2006,C617,21195,4145
1999_2006,C1698,21231,1158
1999_2006,C1193,48321,2008
1999_2006,C1826,49001,282
1999_2006,C1918,49043,506
1999_2006,C1826,49017,202
1999_2006,C1414,16037,203
1999_2006,C1760,46005,1084
