fips,cluster,period
37069,C1032,1999_2004
06065,C18,1999_2004
06013,C59,1999_2004
45025,C1017,1999_2004
10003,C110,1999_2004
37119,C100,1999_2004
26093,C478,1999_2004
26163,C5,1999_2004
06111,C98,1999_2004
06067,C34,1999_2004
06037,C1,1999_2004
54029,C1037,1999_2004
33017,C542,1999_2004
36013,C306,1999_2004
42075,C361,1999_2004
39049,C39,1999_2004
48245,C185,1999_2004
41051,C75,1999_2004
17031,C2,1999_2004
06001,C33,1999_2004
48201,C4,1999_2004
06059,C10,1999_2004
36061,C20,1999_2004
39131,C1358,1999_2004
39035,C15,1999_2004
47055,C1319,1999_2004
48029,C29,1999_2004
36103,C24,1999_2004
21235,C1137,1999_2004
12057,C38,1999_2004
04025,C239,1999_2004
06073,C6,1999_2004
35025,C962,1999_2004
36069,C498,1999_2004
44007,C70,1999_2004
34025,C85,1999_2004
21135,C451,1999_2004
48053,C1090,1999_2004
41043,C430,1999_2004
01073,C52,1999_2004
21217,C1519,1999_2004
17037,C773,1999_2004
48113,C16,1999_2004
42101,C9,1999_2004
47079,C1029,1999_2004
17119,C166,1999_2004
26139,C317,1999_2004
45051,C245,1999_2004
06071,C23,1999_2004
48355,C193,1999_2004
44003,C284,1999_2004
33013,C390,1999_2004
22051,C111,1999_2004
47157,C43,1999_2004
34023,C77,1999_2004
26059,C941,1999_2004
12086,C8,1999_2004
45063,C286,1999_2004
25027,C60,1999_2004
12033,C156,1999_2004
06083,C153,1999_2004
20173,C126,1999_2004
05009,C1123,1999_2004
39153,C80,1999_2004
12103,C19,1999_2004
39085,C237,1999_2004
53033,C21,1999_2004
42003,C14,1999_2004
34033,C644,1999_2004
42045,C73,1999_2004
51550,C329,1999_2004
29095,C67,1999_2004
54021,C2435,1999_2004
24005,C49,1999_2004
18019,C470,1999_2004
18159,C318,1999_2004
06097,C124,1999_2004
04013,C3,1999_2004
36087,C216,1999_2004
06075,C63,1999_2004
25011,C730,1999_2004
12127,C69,1999_2004
25025,C78,1999_2004
54011,C386,1999_2004
04019,C48,1999_2004
27099,C1084,1999_2004
39029,C384,1999_2004
25017,C22,1999_2004
34029,C57,1999_2004
37129,C322,1999_2004
39067,C1649,1999_2004
26125,C36,1999_2004
22019,C269,1999_2004
06061,C228,1999_2004
19033,C886,1999_2004
28049,C218,1999_2004
12107,C545,1999_2004
42081,C387,1999_2004
17023,C1765,1999_2004
33015,C253,1999_2004
25009,C61,1999_2004
17181,C1613,1999_2004
50019,C1622,1999_2004
18183,C1466,1999_2004
51035,C1261,1999_2004
12009,C84,1999_2004
13313,C649,1999_2004
06099,C130,1999_2004
12071,C88,1999_2004
41067,C169,1999_2004
42025,C630,1999_2004
34017,C101,1999_2004
12111,C205,1999_2004
31051,C2045,1999_2004
26043,C1399,1999_2004
48089,C1585,1999_2004
53077,C272,1999_2004
36005,C28,1999_2004
37105,C948,1999_2004
45019,C164,1999_2004
36039,C863,1999_2004
36055,C66,1999_2004
37183,C139,1999_2004
42109,C1322,1999_2004
32031,C163,1999_2004
06093,C875,1999_2004
21111,C54,1999_2004
42017,C91,1999_2004
18097,C47,1999_2004
36081,C12,1999_2004
17197,C151,1999_2004
06077,C103,1999_2004
34007,C95,1999_2004
26005,C573,1999_2004
24043,C363,1999_2004
34011,C299,1999_2004
48439,C31,1999_2004
21059,C512,1999_2004
39037,C795,1999_2004
17115,C381,1999_2004
30029,C712,1999_2004
12021,C204,1999_2004
33019,C1076,1999_2004
12053,C220,1999_2004
30111,C403,1999_2004
12099,C17,1999_2004
12005,C314,1999_2004
18069,C1174,1999_2004
01095,C480,1999_2004
47101,C2090,1999_2004
18089,C97,1999_2004
48073,C782,1999_2004
05111,C1327,1999_2004
25005,C90,1999_2004
32003,C25,1999_2004
22071,C93,1999_2004
12031,C58,1999_2004
26143,C1186,1999_2004
06023,C375,1999_2004
26025,C325,1999_2004
39151,C125,1999_2004
31109,C264,1999_2004
17091,C416,1999_2004
47093,C129,1999_2004
21125,C944,1999_2004
48303,C240,1999_2004
37057,C332,1999_2004
06017,C400,1999_2004
18011,C1119,1999_2004
13157,C1118,1999_2004
12115,C94,1999_2004
39171,C1187,1999_2004
29167,C1362,1999_2004
55139,C376,1999_2004
12085,C277,1999_2004
16087,C1627,1999_2004
06107,C174,1999_2004
45029,C1099,1999_2004
06055,C365,1999_2004
51059,C104,1999_2004
05083,C1538,1999_2004
28141,C1516,1999_2004
12121,C997,1999_2004
18111,C2188,1999_2004
13297,C911,1999_2004
06113,C443,1999_2004
34009,C337,1999_2004
05115,C877,1999_2004
40109,C62,1999_2004
01101,C227,1999_2004
55009,C290,1999_2004
53057,C477,1999_2004
36031,C998,1999_2004
48021,C963,1999_2004
51081,C1806,1999_2004
19113,C324,1999_2004
12023,C710,1999_2004
24510,C41,1999_2004
06029,C92,1999_2004
13211,C2117,1999_2004
24009,C826,1999_2004
45049,C1895,1999_2004
55079,C35,1999_2004
48455,C1954,1999_2004
50005,C1447,1999_2004
12073,C292,1999_2004
47053,C651,1999_2004
13127,C683,1999_2004
55087,C412,1999_2004
39013,C496,1999_2004
40061,C2115,1999_2004
48231,C620,1999_2004
37027,C612,1999_2004
21041,C2464,1999_2004
27053,C45,1999_2004
05085,C901,1999_2004
12131,C1054,1999_2004
26127,C1688,1999_2004
29083,C1314,1999_2004
47063,C726,1999_2004
42007,C221,1999_2004
55025,C171,1999_2004
08001,C13,1999_2004
35001,C108,1999_2004
20167,C2441,1999_2004
26099,C51,1999_2004
13059,C701,1999_2004
51710,C235,1999_2004
06047,C320,1999_2004
15003,C65,1999_2004
45015,C476,1999_2004
18003,C170,1999_2004
19013,C394,1999_2004
37195,C590,1999_2004
24031,C27,1999_2004
18109,C868,1999_2004
37023,C538,1999_2004
01031,C992,1999_2004
06085,C37,1999_2004
37025,C393,1999_2004
37001,C348,1999_2004
34013,C55,1999_2004
13097,C762,1999_2004
51153,C331,1999_2004
19059,C1980,1999_2004
26053,C1543,1999_2004
48001,C757,1999_2004
51079,C2297,1999_2004
36085,C131,1999_2004
29037,C625,1999_2004
16069,C1026,1999_2004
06079,C233,1999_2004
12055,C350,1999_2004
55117,C425,1999_2004
21211,C1438,1999_2004
36001,C155,1999_2004
36059,C26,1999_2004
36119,C50,1999_2004
04021,C294,1999_2004
24017,C581,1999_2004
30021,C2412,1999_2004
26121,C289,1999_2004
47037,C89,1999_2004
20107,C1444,1999_2004
42129,C106,1999_2004
18103,C1309,1999_2004
22001,C738,1999_2004
06089,C259,1999_2004
31141,C1614,1999_2004
39095,C109,1999_2004
09009,C44,1999_2004
13177,C539,1999_2004
29045,C1065,1999_2004
29109,C1151,1999_2004
21019,C742,1999_2004
42069,C160,1999_2004
01091,C1451,1999_2004
01015,C367,1999_2004
53067,C293,1999_2004
23005,C201,1999_2004
01055,C366,1999_2004
19127,C927,1999_2004
18177,C586,1999_2004
39031,C1101,1999_2004
09001,C56,1999_2004
