fips,cluster,period
02013,C1,1999_2004
02060,C1,1999_2004
02130,C1,1999_2004
06037,C1,1999_2004
25007,C1,1999_2004
25019,C1,1999_2004
53055,C1,1999_2004
06059,C10,1999_2004
37119,C100,1999_2004
51069,C1000,1999_2004
47017,C1001,1999_2004
42115,C1002,1999_2004
13047,C1003,1999_2004
17105,C1004,1999_2004
26063,C1005,1999_2004
51083,C1006,1999_2004
20037,C1007,1999_2004
26151,C1008,1999_2004
47045,C1009,1999_2004
47095,C1009,1999_2004
34017,C101,1999_2004
26123,C1010,1999_2004
47099,C1011,1999_2004
18017,C1012,1999_2004
18131,C1012,1999_2004
26041,C1013,1999_2004
12039,C1014,1999_2004
17011,C1015,1999_2004
39123,C1016,1999_2004
45025,C1017,1999_2004
55097,C1018,1999_2004
28045,C1019,1999_2004
25013,C102,1999_2004
47177,C1020,1999_2004
18173,C1021,1999_2004
21009,C1022,1999_2004
21169,C1022,1999_2004
27049,C1023,1999_2004
12075,C1024,1999_2004
40115,C1025,1999_2004
16069,C1026,1999_2004
19107,C1027,1999_2004
19135,C1027,1999_2004
19179,C1027,1999_2004
17021,C1028,1999_2004
47079,C1029,1999_2004
06077,C103,1999_2004
51067,C1030,1999_2004
55078,C1031,1999_2004
55115,C1031,1999_2004
37069,C1032,1999_2004
51001,C1033,1999_2004
37017,C1034,1999_2004
21083,C1035,1999_2004
35035,C1036,1999_2004
54029,C1037,1999_2004
38027,C1038,1999_2004
38035,C1038,1999_2004
38063,C1038,1999_2004
13005,C1039,1999_2004
13299,C1039,1999_2004
51059,C104,1999_2004
51610,C104,1999_2004
17071,C1040,1999_2004
19057,C1040,1999_2004
39071,C1041,1999_2004
47089,C1042,1999_2004
28063,C1043,1999_2004
28085,C1043,1999_2004
40135,C1044,1999_2004
42117,C1045,1999_2004
27169,C1046,1999_2004
33007,C1047,1999_2004
28011,C1048,1999_2004
32023,C1049,1999_2004
42079,C105,1999_2004
42113,C105,1999_2004
29201,C1050,1999_2004
20035,C1051,1999_2004
36023,C1052,1999_2004
37169,C1053,1999_2004
12131,C1054,1999_2004
40123,C1055,1999_2004
47051,C1056,1999_2004
18029,C1057,1999_2004
36107,C1058,1999_2004
40089,C1059,1999_2004
42129,C106,1999_2004
47029,C1060,1999_2004
01045,C1061,1999_2004
13129,C1062,1999_2004
26073,C1063,1999_2004
13009,C1064,1999_2004
19111,C1065,1999_2004
29045,C1065,1999_2004
16007,C1066,1999_2004
49005,C1066,1999_2004
39149,C1067,1999_2004
48217,C1068,1999_2004
55095,C1069,1999_2004
42071,C107,1999_2004
37077,C1070,1999_2004
27139,C1071,1999_2004
27143,C1071,1999_2004
55081,C1072,1999_2004
29125,C1073,1999_2004
29161,C1073,1999_2004
51061,C1074,1999_2004
51157,C1074,1999_2004
01021,C1075,1999_2004
33019,C1076,1999_2004
28015,C1077,1999_2004
28083,C1077,1999_2004
39059,C1078,1999_2004
47043,C1079,1999_2004
35001,C108,1999_2004
35057,C108,1999_2004
47123,C1080,1999_2004
51155,C1081,1999_2004
40145,C1082,1999_2004
40021,C1083,1999_2004
27099,C1084,1999_2004
40097,C1085,1999_2004
48459,C1086,1999_2004
29043,C1087,1999_2004
