period,cluster,fips,cluster_deaths
1999_2005,37CS043,45025,441
1999_2005,06CS030,06073,19402
1999_2005,36CS028,36069,886
1999_2005,39CS041,26059,448
1999_2005,22CS009,22019,1691
1999_2005,36CS003,36005,9941
1999_2005,23CS003,33019,410
1999_2005,18CS035,18089,4717
1999_2005,34CS007,34013,6697
1999_2005,42CS048,42129,4326
1999_2005,48CS082,48439,9621
1999_2005,26CS044,26145,2014
1999_2005,34CS003,34005,3562
1999_2005,39CS028,39071,412
1999_2005,06CS034,06081,4664
1999_2005,21CS021,47145,586
1999_2005,32CS001,06003,11
1999_2005,55CS012,55025,2598
1999_2005,36CS025,36061,11221
1999_2005,08CS001,08035,511
1999_2005,06CS008,06019,5484
1999_2005,36CS004,36007,2111
1999_2005,42CS029,42071,4267
1999_2005,08CS001,08071,174
1999_2005,51CS015,51085,677
1999_2005,34CS008,34015,2220
1999_2005,48CS080,48423,1632
1999_2005,16CS001,30065,62
1999_2005,36CS028,36117,729
1999_2005,48CS048,48457,242
1999_2005,05CS026,05051,1271
1999_2005,39CS041,26091,849
1999_2005,28CS003,01021,411
1999_2005,29CS039,29189,9329
1999_2005,29CS038,17179,1259
1999_2005,18CS035,26021,1598
1999_2005,34CS018,34035,2035
1999_2005,50CS001,36113,610
1999_2005,12CS007,12017,2089
1999_2005,27CS017,55031,437
1999_2005,51CS052,51650,1053
1999_2005,18CS035,17183,926
1999_2005,01CS029,01083,569
1999_2005,08CS001,49011,1069
1999_2005,48CS085,48209,524
1999_2005,02CS001,02180,47
1999_2005,48CS067,48451,968
1999_2005,23CS003,33007,408
1999_2005,13CS041,01061,328
1999_2005,12CS047,12111,2344
1999_2005,29CS038,17053,212
1999_2005,19CS017,19085,193
1999_2005,40CS027,29145,532
1999_2005,32CS005,06115,518
1999_2005,42CS002,42005,858
1999_2005,39CS028,39163,116
1999_2005,37CS005,37013,537
1999_2005,05CS010,05091,391
1999_2005,08CS001,48381,690
1999_2005,28CS003,28121,770
1999_2005,18CS035,18073,255
1999_2005,29CS038,05049,143
1999_2005,08CS001,46093,200
1999_2005,19CS017,46013,371
1999_2005,20CS014,20045,554
1999_2005,36CS028,42127,559
1999_2005,08CS001,05007,1247
1999_2005,37CS043,37071,1972
1999_2005,39CS028,21097,204
1999_2005,26CS028,26035,341
1999_2005,22CS027,28147,150
1999_2005,11CS001,51510,810
1999_2005,08CS001,48097,382
1999_2005,05CS026,05015,239
1999_2005,21CS021,21235,387
1999_2005,19CS017,46011,180
1999_2005,36CS028,36023,404
1999_2005,47CS040,47097,303
1999_2005,40CS027,40083,323
1999_2005,08CS001,04007,617
1999_2005,37CS043,37125,861
1999_2005,27CS017,27139,411
1999_2005,28CS003,28119,110
1999_2005,13CS038,13129,447
1999_2005,45CS008,37017,413
1999_2005,08CS001,48497,460
1999_2005,48CS029,48225,293
1999_2005,29CS038,05005,672
1999_2005,37CS043,45063,1589
1999_2005,36CS050,36079,571
1999_2005,02CS001,02122,292
1999_2005,02CS001,02122,292
1999_2005,55CS012,55061,190
1999_2005,50CS001,50011,352
1999_2005,37CS043,45061,190
1999_2005,48CS067,48319,51
1999_2005,42CS009,34019,796
1999_2005,55CS012,55039,912
1999_2005,55CS012,55073,876
1999_2005,21CS021,21013,395
1999_2005,28CS003,28073,271
1999_2005,01CS029,47003,362
1999_2005,40CS027,40097,409
1999_2005,39CS028,18031,230
1999_2005,24CS014,51107,683
1999_2005,55CS012,55065,140
1999_2005,08CS001,31145,138
1999_2005,29CS038,29007,250
1999_2005,42CS024,54067,313
1999_2005,42CS039,42093,225
1999_2005,23CS003,23029,433
1999_2005,26CS028,26055,622
1999_2005,39CS028,21167,243
1999_2005,51CS015,51175,326
1999_2005,40CS027,29011,134
1999_2005,20CS023,20149,163
1999_2005,28CS003,28089,831
1999_2005,08CS001,40085,121
1999_2005,53CS019,53075,213
1999_2005,22CS012,22095,346
