period,term,estimate,rank
1999_2005,detail_mcod_root3_cstd,0.6447104339631584,1
1999_2005,detail_ucod_icd4_cstd,0.614530479099252,2
1999_2005,detail_ucod_root3_cstd,-0.28160930044151467,3
2006_2012,detail_mcod_root3_cstd,0.6746101496853636,1
2006_2012,detail_ucod_icd4_cstd,0.6091166823905163,2
2006_2012,detail_ucod_root3_cstd,-0.4207165073060542,3
2013_2019,detail_mcod_root3_cstd,0.7097486525442348,1
2013_2019,detail_ucod_icd4_cstd,0.6814116312583169,2
2013_2019,detail_ucod_root3_cstd,-0.5675696192182598,3
2020_2022,detail_mcod_root3_cstd,0.7255736792471214,1
2020_2022,detail_ucod_icd4_cstd,0.4908857784507602,2
2020_2022,detail_ucod_root3_cstd,-0.2315561118787853,3
