fips,cluster
01001,01CS001
01101,01CS001
01003,01CS002
01005,01CS003
01011,01CS003
01067,01CS003
01109,01CS003
01009,01CS004
01013,01CS005
01035,01CS005
01041,01CS005
01053,01CS005
01085,01CS005
01015,01CS006
01017,01CS007
01111,01CS007
01019,01CS008
01049,01CS008
01021,01CS009
01037,01CS009
01123,01CS009
01023,01CS010
01091,01CS010
01119,01CS010
01025,01CS011
01099,01CS011
01129,01CS011
01027,01CS012
01029,01CS012
01121,01CS012
01031,01CS013
01039,01CS013
01061,01CS013
01033,01CS014
01043,01CS015
01045,01CS016
01069,01CS016
01047,01CS017
01131,01CS017
01051,01CS018
01055,01CS019
01057,01CS020
01059,01CS020
01075,01CS020
01093,01CS020
01007,01CS021
01063,01CS021
01065,01CS021
01105,01CS021
01107,01CS021
01071,01CS022
01073,01CS023
01077,01CS024
01079,01CS025
01103,01CS025
01081,01CS026
01083,01CS027
01087,01CS028
01113,01CS028
01089,01CS029
01095,01CS030
01097,01CS031
01117,01CS032
01115,01CS033
01125,01CS034
01127,01CS035
01133,01CS035
02020,02CS001
02090,02CS002
02170,02CS003
02068,02CS004
02100,02CS004
02180,02CS004
02185,02CS004
02188,02CS004
02240,02CS004
02164,02CS004
02122,02CS004
02110,02CS005
02130,02CS005
02220,02CS005
02013,02CS006
02016,02CS006
02050,02CS006
02060,02CS006
02070,02CS006
02122,02CS006
02150,02CS006
02164,02CS006
04001,04CS001
04003,04CS002
04009,04CS002
04011,04CS002
04023,04CS002
04005,04CS003
04007,04CS004
04012,04CS005
04025,04CS005
04013,04CS006
04015,04CS007
04017,04CS008
04019,04CS009
04021,04CS010
04027,04CS006
05001,05CS001
05095,05CS001
05107,05CS001
05117,05CS001
05003,05CS002
05017,05CS002
05041,05CS002
05005,05CS003
05089,05CS003
05007,05CS004
05009,05CS005
05015,05CS005
05087,05CS005
05011,05CS006
05025,05CS006
05043,05CS006
05079,05CS006
05013,05CS007
05039,05CS007
05053,05CS007
05103,05CS007
05019,05CS008
05059,05CS008
05021,05CS009
05055,05CS009
05027,05CS010
05073,05CS010
05091,05CS010
05139,05CS010
05029,05CS011
05105,05CS011
05149,05CS011
05031,05CS012
05033,05CS013
05035,05CS014
05037,05CS015
05077,05CS015
05111,05CS015
05123,05CS015
05045,05CS016
05047,05CS017
05071,05CS017
05083,05CS017
05051,05CS018
05057,05CS019
05061,05CS019
05099,05CS019
05109,05CS019
05063,05CS020
05067,05CS020
05147,05CS020
05069,05CS021
05085,05CS022
05093,05CS023
05081,05CS024
05097,05CS024
05113,05CS024
05127,05CS024
05133,05CS024
05115,05CS025
05119,05CS026
05125,05CS027
05131,05CS028
05049,05CS029
05065,05CS029
05075,05CS029
05121,05CS029
05135,05CS029
05023,05CS030
05101,05CS030
05129,05CS030
05137,05CS030
05141,05CS030
05143,05CS031
05145,05CS032
06001,06CS001
06003,06CS002
06005,06CS002
06009,06CS002
06027,06CS002
06051,06CS002
06007,06CS003
06011,06CS004
06033,06CS004
06013,06CS005
06015,06CS006
06023,06CS006
06105,06CS006
06017,06CS007
06019,06CS008
06021,06CS009
06103,06CS009
06025,06CS010
06029,06CS011
06031,06CS012
06035,06CS013
06063,06CS013
06091,06CS013
06037,06CS014
06039,06CS015
06041,06CS016
06043,06CS017
06109,06CS017
06045,06CS018
06047,06CS019
06049,06CS020
06093,06CS020
06053,06CS021
06055,06CS022
06057,06CS023
06059,06CS024
06061,06CS025
06065,06CS026
06067,06CS027
06069,06CS036
06071,06CS029
06073,06CS030
06075,06CS031
06077,06CS032
06079,06CS033
06081,06CS034
06083,06CS035
06085,06CS036
06087,06CS037
06089,06CS038
06095,06CS039
06097,06CS040
06099,06CS041
06101,06CS042
06107,06CS043
06111,06CS044
06113,06CS045
06115,06CS046
08001,08CS001
08005,08CS001
08013,08CS001
08015,08CS001
08037,08CS001
08065,08CS001
08027,08CS005
08043,08CS005
08109,08CS005
08029,08CS006
08085,08CS006
08031,08CS001
08035,08CS008
08017,08CS009
08039,08CS009
08063,08CS009
08073,08CS009
08121,08CS009
08125,08CS009
08041,08CS010
08045,08CS001
08097,08CS001
08007,08CS001
08033,08CS001
08051,08CS001
08053,08CS001
08079,08CS001
08091,08CS001
08105,08CS001
08111,08CS001
08113,08CS001
08059,08CS001
08067,08CS014
08083,08CS014
08069,08CS015
08075,08CS016
08087,08CS016
08095,08CS016
08115,08CS016
08077,08CS017
08049,08CS001
08057,08CS001
08081,08CS001
08103,08CS001
08107,08CS001
08019,08CS001
08047,08CS001
08093,08CS001
08117,08CS001
08119,08CS001
08101,08CS020
08003,08CS021
08021,08CS021
08023,08CS021
08055,08CS021
08071,08CS021
08009,08CS022
08011,08CS022
08025,08CS022
08061,08CS022
08089,08CS022
08099,08CS022
08123,08CS001
09001,09CS001
09003,09CS002
09005,09CS003
09007,09CS004
09009,09CS005
09011,09CS006
09013,09CS007
09015,09CS008
10001,10CS001
10003,10CS002
10005,10CS003
11001,11CS001
12001,12CS001
12003,12CS002
12007,12CS002
12125,12CS002
12005,12CS003
12009,12CS004
12011,12CS005
12015,12CS006
12017,12CS007
12019,12CS008
12021,12CS009
12023,12CS010
12027,12CS011
12049,12CS011
12029,12CS012
12041,12CS012
12075,12CS012
12031,12CS013
12033,12CS014
12035,12CS015
12127,12CS015
12039,12CS016
12073,12CS016
12043,12CS017
12051,12CS017
12093,12CS017
12047,12CS018
12067,12CS018
12121,12CS018
12053,12CS019
12055,12CS020
12057,12CS021
12059,12CS022
12131,12CS022
12061,12CS023
12063,12CS024
12133,12CS024
12065,12CS025
12079,12CS025
12123,12CS025
12069,12CS026
12071,12CS027
12013,12CS028
12037,12CS028
12045,12CS028
12077,12CS028
12129,12CS028
12081,12CS029
12083,12CS030
12085,12CS031
12086,12CS032
12087,12CS033
12089,12CS034
12091,12CS035
12095,12CS036
12097,12CS037
12099,12CS038
12101,12CS039
12103,12CS040
12105,12CS041
12107,12CS042
12113,12CS043
12115,12CS044
12117,12CS045
12109,12CS046
12111,12CS047
12119,12CS048
13001,13CS001
13161,13CS001
13183,13CS001
13305,13CS001
13005,13CS002
13017,13CS002
13069,13CS002
13155,13CS002
13009,13CS003
13319,13CS003
13011,13CS004
13137,13CS004
13013,13CS005
13157,13CS005
13015,13CS006
13021,13CS007
13169,13CS007
13023,13CS008
13091,13CS008
13235,13CS008
13289,13CS008
13025,13CS009
13229,13CS009
13299,13CS009
13027,13CS010
13275,13CS010
13029,13CS011
13179,13CS011
13031,13CS012
13033,13CS013
13103,13CS013
13165,13CS013
13251,13CS013
13035,13CS014
13171,13CS014
13207,13CS014
13007,13CS015
13037,13CS015
13061,13CS015
13099,13CS015
13201,13CS015
13239,13CS015
13243,13CS015
13273,13CS015
13039,13CS016
13049,13CS016
13043,13CS017
13109,13CS017
13267,13CS017
13279,13CS017
13045,13CS018
13149,13CS018
13047,13CS019
13051,13CS020
13055,13CS021
