cluster,domain_code,incidence,p,contr_nats,contr_frac,H_cluster,rank,domain_label,period,family
C1,I25,8597,0.13348342519990683,0.26880598031434566,0.06125487841054223,4.38831954759187,1,NA,1999_2006,mcod_root3
C1,J44,4686,0.07275832621690863,0.19067133767357858,0.04344973869968317,4.38831954759187,2,NA,1999_2006,mcod_root3
C1,F03,3722,0.05779054421240587,0.1647568026625167,0.037544395041361214,4.38831954759187,3,NA,1999_2006,mcod_root3
C1,I48,2859,0.044390963434515956,0.13826539306352023,0.03150759455049134,4.38831954759187,4,NA,1999_2006,mcod_root3
C1,N18,2176,0.03378619672385684,0.1144575980016936,0.02608232986690845,4.38831954759187,5,NA,1999_2006,mcod_root3
C1,I21,1672,0.02596071733561059,0.09478701191941968,0.021599842694098,4.38831954759187,6,NA,1999_2006,mcod_root3
C1,G30,1507,0.02339880444064902,0.08786415678529563,0.02002227864958282,4.38831954759187,7,NA,1999_2006,mcod_root3
C1,E11,1469,0.022808788137566958,0.08623111821181773,0.019650145636987134,4.38831954759187,8,NA,1999_2006,mcod_root3
C1,S09,1092,0.01695520534120022,0.0691294307683824,0.01575305308072148,4.38831954759187,9,NA,1999_2006,mcod_root3
C1,T14,999,0.015511218073130969,0.06462270908177087,0.01472607187806849,4.38831954759187,10,NA,1999_2006,mcod_root3
C10,I25,2244,0.1328675469240334,0.2681801935008497,0.061249012014606405,4.378522765998172,1,NA,1999_2006,mcod_root3
C10,J44,1231,0.07288767837053703,0.1908808524017052,0.043594806422843864,4.378522765998172,2,NA,1999_2006,mcod_root3
C10,F03,971,0.05749304280892889,0.16420538128165818,0.0375024614595613,4.378522765998172,3,NA,1999_2006,mcod_root3
C10,I48,743,0.043993131624134055,0.1374223023996815,0.03138554022531235,4.378522765998172,4,NA,1999_2006,mcod_root3
C10,N18,573,0.03392740837231334,0.11479447477854952,0.02621762656346034,4.378522765998172,5,NA,1999_2006,mcod_root3
C10,I21,446,0.026407721001835513,0.09596826850799006,0.021917955812229783,4.378522765998172,6,NA,1999_2006,mcod_root3
C10,E11,398,0.023565634436615548,0.08832319183262044,0.020171915632939595,4.378522765998172,7,NA,1999_2006,mcod_root3
C10,G30,392,0.023210373615963054,0.08734425584451204,0.01994833886049241,4.378522765998172,8,NA,1999_2006,mcod_root3
C10,S09,285,0.016874888980993544,0.06888209231023401,0.015731810930650937,4.378522765998172,9,NA,1999_2006,mcod_root3
C10,T14,273,0.016164367339688554,0.06667714250113081,0.015228227889761909,4.378522765998172,10,NA,1999_2006,mcod_root3
C100,I25,628,0.1370879720585025,0.27241195468649754,0.06287587523577304,4.33253539079977,1,NA,1999_2006,mcod_root3
C100,J44,343,0.0748744815542458,0.19407032445431896,0.044793707829007316,4.33253539079977,2,NA,1999_2006,mcod_root3
C100,F03,227,0.04955249945426763,0.14889151382755123,0.03436590827249224,4.33253539079977,3,NA,1999_2006,mcod_root3
C100,I48,221,0.04824274175944117,0.14624834887874844,0.033755834791173285,4.33253539079977,4,NA,1999_2006,mcod_root3
C100,N18,138,0.030124426981008513,0.10550836267292647,0.024352567989860092,4.33253539079977,5,NA,1999_2006,mcod_root3
C100,E11,115,0.02510368915084043,0.0925005792480248,0.02135021896057715,4.33253539079977,6,NA,1999_2006,mcod_root3
C100,I21,112,0.024448810303427198,0.09073378234670694,0.02094242150667298,4.33253539079977,7,NA,1999_2006,mcod_root3
C100,G30,99,0.021611001964636542,0.08286852687873021,0.019127028264951572,4.33253539079977,8,NA,1999_2006,mcod_root3
C100,S09,81,0.01768172888015717,0.07134972682304269,0.016468354066894716,4.33253539079977,9,NA,1999_2006,mcod_root3
C100,F10,69,0.015062213490504257,0.06319451215039823,0.014586034838767411,4.33253539079977,10,NA,1999_2006,mcod_root3
