cluster,domain_code,n,p,contr_nats,contr_frac,H_cluster,rank,domain_label,period,family
C1,"Fire, heat, and hot substances",133,0.1821917808219178,0.3102171082019875,0.3000846914087975,1.033765190572107,1,"Fire, heat, and hot substances",1999_2006,ucod_gbdl3
C1,Physical violence by firearm,462,0.6328767123287671,0.2895282124575924,0.2800715434201857,1.033765190572107,2,Physical violence by firearm,1999_2006,ucod_gbdl3
C1,Physical violence by sharp object,85,0.11643835616438356,0.25038825835675377,0.24220999182433656,1.033765190572107,3,Physical violence by sharp object,1999_2006,ucod_gbdl3
C1,Physical violence by other means,50,0.0684931506849315,0.18363161155577334,0.1776337733466802,1.033765190572107,4,Physical violence by other means,1999_2006,ucod_gbdl3
C10,Physical violence by firearm,126,0.65625,0.27642133645632416,0.27250075965950976,1.014387397678132,1,Physical violence by firearm,1999_2006,ucod_gbdl3
C10,"Fire, heat, and hot substances",25,0.13020833333333334,0.2654452535364038,0.2616803542157474,1.014387397678132,2,"Fire, heat, and hot substances",1999_2006,ucod_gbdl3
C10,Physical violence by sharp object,25,0.13020833333333334,0.2654452535364038,0.2616803542157474,1.014387397678132,3,Physical violence by sharp object,1999_2006,ucod_gbdl3
C10,Physical violence by other means,16,0.08333333333333333,0.20707555414900003,0.2041385319089953,1.014387397678132,4,Physical violence by other means,1999_2006,ucod_gbdl3
C100,Physical violence by sharp object,8,0.16326530612244897,0.29589857247849644,0.29521343810078676,1.0023208102656755,1,Physical violence by sharp object,1999_2006,ucod_gbdl3
C100,Physical violence by firearm,32,0.6530612244897959,0.27825919693773066,0.2776149054153382,1.0023208102656755,2,Physical violence by firearm,1999_2006,ucod_gbdl3
C100,"Fire, heat, and hot substances",6,0.12244897959183673,0.2571503055774577,0.2565548903542144,1.0023208102656755,3,"Fire, heat, and hot substances",1999_2006,ucod_gbdl3
C100,Physical violence by other means,3,0.061224489795918366,0.17101273527199082,0.17061676612966073,1.0023208102656755,4,Physical violence by other means,1999_2006,ucod_gbdl3
C101,Physical violence by sharp object,7,0.1590909090909091,0.2924535544100144,0.2931974272603902,0.9974628943462209,1,Physical violence by sharp object,1999_2006,ucod_gbdl3
C101,Physical violence by firearm,29,0.6590909090909091,0.2747709162277688,0.2754698122458632,0.9974628943462209,2,Physical violence by firearm,1999_2006,ucod_gbdl3
C101,"Fire, heat, and hot substances",5,0.11363636363636363,0.24713087744138193,0.24775946939195356,0.9974628943462209,3,"Fire, heat, and hot substances",1999_2006,ucod_gbdl3
C101,Physical violence by other means,3,0.06818181818181818,0.18310754626705578,0.18357329110179296,0.9974628943462209,4,Physical violence by other means,1999_2006,ucod_gbdl3
C102,"Fire, heat, and hot substances",11,0.1746031746031746,0.3047243490400759,0.3650415496723293,0.8347662048706628,1,"Fire, heat, and hot substances",1999_2006,ucod_gbdl3
C102,Physical violence by firearm,45,0.7142857142857143,0.24033731187229493,0.2879097290594465,0.8347662048706628,2,Physical violence by firearm,1999_2006,ucod_gbdl3
C102,Physical violence by sharp object,6,0.09523809523809523,0.22394050068223595,0.2682673296733819,0.8347662048706628,3,Physical violence by sharp object,1999_2006,ucod_gbdl3
C102,Physical violence by other means,1,0.015873015873015872,0.06576404327605608,0.07878139159484235,0.8347662048706628,4,Physical violence by other means,1999_2006,ucod_gbdl3
C103,Physical violence by other means,11,0.21153846153846154,0.3285929404541082,0.32633339915669857,1.0069240270939128,1,Physical violence by other means,1999_2006,ucod_gbdl3
C103,Physical violence by firearm,33,0.6346153846153846,0.28858256124602416,0.28659814790486565,1.0069240270939128,2,Physical violence by firearm,1999_2006,ucod_gbdl3
C103,Physical violence by sharp object,5,0.09615384615384616,0.22517363520647377,0.22362524793091712,1.0069240270939128,3,Physical violence by sharp object,1999_2006,ucod_gbdl3
C103,"Fire, heat, and hot substances",3,0.057692307692307696,0.16457489018730678,0.16344320500751877,1.0069240270939128,4,"Fire, heat, and hot substances",1999_2006,ucod_gbdl3
C104,"Fire, heat, and hot substances",10,0.1388888888888889,0.2741779202808347,0.27536208445610977,0.9956996106504132,1,"Fire, heat, and hot substances",1999_2006,ucod_gbdl3
C104,Physical violence by firearm,48,0.6666666666666666,0.2703100720721096,0.27147753115574386,0.9956996106504132,2,Physical violence by firearm,1999_2006,ucod_gbdl3
C104,Physical violence by other means,8,0.1111111111111111,0.24413606414846883,0.24519047867156812,0.9956996106504132,3,Physical violence by other means,1999_2006,ucod_gbdl3
C104,Physical violence by sharp object,6,0.08333333333333333,0.20707555414900003,0.20796990571657817,0.9956996106504132,4,Physical violence by sharp object,1999_2006,ucod_gbdl3
C105,"Fire, heat, and hot substances",9,0.13432835820895522,0.26965988624616,0.3436447378955871,0.7847054137872275,1,"Fire, heat, and hot substances",1999_2006,ucod_gbdl3
C105,Physical violence by firearm,51,0.7611940298507462,0.2077047211940098,0.26469133198860384,0.7847054137872275,2,Physical violence by firearm,1999_2006,ucod_gbdl3
C105,Physical violence by sharp object,4,0.05970149253731343,0.16826258258334778,0.21442770704392275,0.7847054137872275,3,Physical violence by sharp object,1999_2006,ucod_gbdl3
C105,Physical violence by other means,3,0.04477611940298507,0.13907822376370998,0.1772362230718864,0.7847054137872275,4,Physical violence by other means,1999_2006,ucod_gbdl3
C106,"Fire, heat, and hot substances",9,0.1956521739130435,0.3191902472255626,0.38985692912857217,0.8187368836537874,1,"Fire, heat, and hot substances",1999_2006,ucod_gbdl3
C106,Physical violence by firearm,33,0.717391304347826,0.2382699251249193,0.291021364594678,0.8187368836537874,2,Physical violence by firearm,1999_2006,ucod_gbdl3
C106,Physical violence by sharp object,3,0.06521739130434782,0.1780453765970208,0.21746348570795473,0.8187368836537874,3,Physical violence by sharp object,1999_2006,ucod_gbdl3
C106,Physical violence by other means,1,0.021739130434782608,0.08323133470628467,0.10165822056879513,0.8187368836537874,4,Physical violence by other means,1999_2006,ucod_gbdl3
C107,Physical violence by firearm,51,0.68,0.2622504869521496,0.2694800915217234,0.9731720271848319,1,Physical violence by firearm,1999_2006,ucod_gbdl3
C107,"Fire, heat, and hot substances",9,0.12,0.2544316243440109,0.26144568199316665,0.9731720271848319,2,"Fire, heat, and hot substances",1999_2006,ucod_gbdl3
C107,Physical violence by sharp object,9,0.12,0.2544316243440109,0.26144568199316665,0.9731720271848319,3,Physical violence by sharp object,1999_2006,ucod_gbdl3
C107,Physical violence by other means,6,0.08,0.20205829154466046,0.20762854449194323,0.9731720271848319,4,Physical violence by other means,1999_2006,ucod_gbdl3
C108,"Fire, heat, and hot substances",11,0.15942028985507245,0.2927293268085185,0.2893992769343711,1.0115067663935544,1,"Fire, heat, and hot substances",1999_2006,ucod_gbdl3
C108,Physical violence by firearm,45,0.6521739130434783,0.2787678357566998,0.27559660994718205,1.0115067663935544,2,Physical violence by firearm,1999_2006,ucod_gbdl3
C108,Physical violence by other means,8,0.11594202898550725,0.24981622758462882,0.24697435141766613,1.0115067663935544,3,Physical violence by other means,1999_2006,ucod_gbdl3
C108,Physical violence by sharp object,5,0.07246376811594203,0.1901933762437072,0.1880297617007806,1.0115067663935544,4,Physical violence by sharp object,1999_2006,ucod_gbdl3
C109,Physical violence by firearm,31,0.5636363636363636,0.32315864369394665,0.2816681107585523,1.1473029120110807,1,Physical violence by firearm,1999_2006,ucod_gbdl3
C109,"Fire, heat, and hot substances",10,0.18181818181818182,0.30995419858880463,0.2701589923148483,1.1473029120110807,2,"Fire, heat, and hot substances",1999_2006,ucod_gbdl3
C109,Physical violence by sharp object,9,0.16363636363636364,0.296199590383023,0.2581703465424154,1.1473029120110807,3,Physical violence by sharp object,1999_2006,ucod_gbdl3
C109,Physical violence by other means,5,0.09090909090909091,0.21799047934530644,0.19000255038418404,1.1473029120110807,4,Physical violence by other means,1999_2006,ucod_gbdl3
C11,Physical violence by firearm,102,0.56353591160221,0.32320149300617995,0.2756074714747111,1.1726877042803099,1,Physical violence by firearm,1999_2006,ucod_gbdl3
C11,"Fire, heat, and hot substances",36,0.19889502762430938,0.3212111123820429,0.2739101904195144,1.1726877042803099,2,"Fire, heat, and hot substances",1999_2006,ucod_gbdl3
C11,Physical violence by other means,22,0.12154696132596685,0.2561547000771559,0.21843385851338878,1.1726877042803099,3,Physical violence by other means,1999_2006,ucod_gbdl3
