cluster,domain_code,n,p,contr_nats,contr_frac,H_cluster,rank,domain_label,period,family
C1,I25,12785,0.1797488998551886,0.3084840558437918,0.07895068157944919,3.9073007309425174,1,NA,1999_2006,ucod_root3
C1,I21,7113,0.10000421780758362,0.23026400326373983,0.058931732958316635,3.9073007309425174,2,NA,1999_2006,ucod_root3
C1,C34,6605,0.09286206363265707,0.2206997017451516,0.05648393019697629,3.9073007309425174,3,NA,1999_2006,ucod_root3
C1,J44,4494,0.06318275760259817,0.17449332780877677,0.04465827941702495,3.9073007309425174,4,NA,1999_2006,ucod_root3
C1,G30,2540,0.0357107708746327,0.11899910643697437,0.03045557908931915,3.9073007309425174,5,NA,1999_2006,ucod_root3
C1,C18,1974,0.027753173900206672,0.09947861725169477,0.025459677691022923,3.9073007309425174,6,NA,1999_2006,ucod_root3
C1,F03,1884,0.026487831625121264,0.09617916641926141,0.024615245419325867,3.9073007309425174,7,NA,1999_2006,ucod_root3
C1,C50,1722,0.02421021552996752,0.09008574244327976,0.023055748366097563,3.9073007309425174,8,NA,1999_2006,ucod_root3
C1,C25,1323,0.018600531443755536,0.07411502892378301,0.018968345163927276,3.9073007309425174,9,NA,1999_2006,ucod_root3
C1,C61,1271,0.017869444795928408,0.07191849364652048,0.018406183347236836,3.9073007309425174,10,NA,1999_2006,ucod_root3
C10,I25,3348,0.1759697256385998,0.30573742295289386,0.07827280135173192,3.9060493258572873,1,NA,1999_2006,ucod_root3
C10,I21,1938,0.10186061179438663,0.23266491147113472,0.05956527735861865,3.9060493258572873,2,NA,1999_2006,ucod_root3
C10,C34,1775,0.09329338799537475,0.2212924799903276,0.056653785328673247,3.9060493258572873,3,NA,1999_2006,ucod_root3
C10,J44,1138,0.059812887627457165,0.1684650393615675,0.04312926573823881,3.9060493258572873,4,NA,1999_2006,ucod_root3
C10,G30,674,0.035425207610638075,0.118331941582238,0.03029453335340738,3.9060493258572873,5,NA,1999_2006,ucod_root3
C10,C18,543,0.028539892778303374,0.10150077084731576,0.02598553228076266,3.9060493258572873,6,NA,1999_2006,ucod_root3
C10,F03,503,0.0264375065699569,0.09604670984727906,0.02458922093263608,3.9060493258572873,7,NA,1999_2006,ucod_root3
C10,C50,449,0.023599285188689163,0.08841563893381912,0.022635566414516268,3.9060493258572873,8,NA,1999_2006,ucod_root3
C10,C61,352,0.018500998633448965,0.07381769998923807,0.018898302051789065,3.9060493258572873,9,NA,1999_2006,ucod_root3
C10,C25,337,0.017712603805319038,0.07144341217915125,0.018290453145639957,3.9060493258572873,10,NA,1999_2006,ucod_root3
C100,I25,931,0.18312352478363494,0.3108694619463121,0.0804380331833028,3.8647073982763906,1,NA,1999_2006,ucod_root3
C100,I21,528,0.1038552321007081,0.2352069000909575,0.06086020902794781,3.8647073982763906,2,NA,1999_2006,ucod_root3
C100,C34,460,0.0904799370574351,0.21738955265540005,0.0562499382883043,3.8647073982763906,3,NA,1999_2006,ucod_root3
C100,J44,358,0.07041699449252557,0.18683886530985339,0.04834489291302651,3.8647073982763906,4,NA,1999_2006,ucod_root3
C100,G30,157,0.03088119590873328,0.10739268859812799,0.027788051598944784,3.8647073982763906,5,NA,1999_2006,ucod_root3
C100,C18,140,0.02753737214791503,0.09892005691542204,0.0255957428910502,3.8647073982763906,6,NA,1999_2006,ucod_root3
C100,F03,129,0.025373721479150277,0.09322409882085952,0.024121903475134047,3.8647073982763906,7,NA,1999_2006,ucod_root3
C100,C50,114,0.022423288749016522,0.08515591875812212,0.02203424735236115,3.8647073982763906,8,NA,1999_2006,ucod_root3
C100,C25,94,0.01848937844217152,0.07378295277413416,0.019091471920239137,3.8647073982763906,9,NA,1999_2006,ucod_root3
C100,I11,85,0.016719118804091267,0.06840129857289878,0.017698959202811802,3.8647073982763906,10,NA,1999_2006,ucod_root3
C101,I25,879,0.17333859199368962,0.30377734165224834,0.07715482521725654,3.9372435981399274,1,NA,1999_2006,ucod_root3
C101,I21,513,0.10116347860382567,0.23176729687048706,0.05886536890427123,3.9372435981399274,2,NA,1999_2006,ucod_root3
C101,C34,473,0.09327548806941431,0.2212679194664484,0.05619868670838198,3.9372435981399274,3,NA,1999_2006,ucod_root3
C101,J44,313,0.06172352593176888,0.17190558256848215,0.04366140379266742,3.9372435981399274,4,NA,1999_2006,ucod_root3
C101,G30,158,0.031157562610924866,0.10807618392375316,0.027449707194853682,3.9372435981399274,5,NA,1999_2006,ucod_root3
C101,C18,138,0.027213567343719186,0.098078775197795,0.024910517409725517,3.9372435981399274,6,NA,1999_2006,ucod_root3
C101,F03,112,0.022086373496351803,0.08421080216604053,0.021388263150856162,3.9372435981399274,7,NA,1999_2006,ucod_root3
C101,C61,98,0.01932557680930783,0.07626502307990451,0.019370156094973248,3.9372435981399274,8,NA,1999_2006,ucod_root3
C101,C50,91,0.01794517846578584,0.07214740221737594,0.01832434301282769,3.9372435981399274,9,NA,1999_2006,ucod_root3
C101,C25,90,0.017747978702425556,0.0715506858788854,0.018172786137156487,3.9372435981399274,10,NA,1999_2006,ucod_root3
C102,I25,871,0.17268041237113402,0.303280804782383,0.07868833310432341,3.8542029398475046,1,NA,1999_2006,ucod_root3
C102,I21,530,0.10507533703409992,0.23674289769735934,0.061424606174662486,3.8542029398475046,2,NA,1999_2006,ucod_root3
