garbage_bin,stratum,stage,total_candidates,kept_n,dropped_n,dropped_classes,kept_classes,support_json,note
g1,Q1|F,after_minpc,19,17,2,a3|a4,a1|a2|a5|b11|b12|b13|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":10,""a2"":234,""a3"":0,""a4"":2,""a5"":132,""b11"":110,""b12"":22,""b13"":119,""b14"":105,""b15"":166,""b16"":165,""b2"":124,""b31"":83,""b32"":59,""b33"":126,""b4"":193,""b5"":262,""b6"":144,""b7"":748}",AGE_Q×SEX
g1,Q1|F,after_support,19,16,3,a1|a3|a4,a2|a5|b11|b12|b13|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":10,""a2"":234,""a3"":0,""a4"":2,""a5"":132,""b11"":110,""b12"":22,""b13"":119,""b14"":105,""b15"":166,""b16"":165,""b2"":124,""b31"":83,""b32"":59,""b33"":126,""b4"":193,""b5"":262,""b6"":144,""b7"":748}",AGE_Q×SEX
g1,Q1|M,after_minpc,19,16,3,a3|a4|b13,a1|a2|a5|b11|b12|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":33,""a2"":270,""a3"":0,""a4"":6,""a5"":145,""b11"":148,""b12"":43,""b13"":0,""b14"":174,""b15"":260,""b16"":176,""b2"":166,""b31"":90,""b32"":106,""b33"":203,""b4"":195,""b5"":511,""b6"":134,""b7"":823}",AGE_Q×SEX
g1,Q1|M,after_support,19,16,3,a3|a4|b13,a1|a2|a5|b11|b12|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":33,""a2"":270,""a3"":0,""a4"":6,""a5"":145,""b11"":148,""b12"":43,""b13"":0,""b14"":174,""b15"":260,""b16"":176,""b2"":166,""b31"":90,""b32"":106,""b33"":203,""b4"":195,""b5"":511,""b6"":134,""b7"":823}",AGE_Q×SEX
g1,Q2|F,after_minpc,19,16,3,a1|a3|a4,a2|a5|b11|b12|b13|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":3,""a2"":219,""a3"":0,""a4"":0,""a5"":212,""b11"":104,""b12"":13,""b13"":59,""b14"":128,""b15"":164,""b16"":156,""b2"":148,""b31"":126,""b32"":105,""b33"":162,""b4"":289,""b5"":109,""b6"":166,""b7"":861}",AGE_Q×SEX
g1,Q2|F,after_support,19,15,4,a1|a3|a4|b12,a2|a5|b11|b13|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":3,""a2"":219,""a3"":0,""a4"":0,""a5"":212,""b11"":104,""b12"":13,""b13"":59,""b14"":128,""b15"":164,""b16"":156,""b2"":148,""b31"":126,""b32"":105,""b33"":162,""b4"":289,""b5"":109,""b6"":166,""b7"":861}",AGE_Q×SEX
g1,Q2|M,after_minpc,19,15,4,a1|a3|a4|b13,a2|a5|b11|b12|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":6,""a2"":298,""a3"":0,""a4"":0,""a5"":153,""b11"":180,""b12"":31,""b13"":0,""b14"":188,""b15"":244,""b16"":216,""b2"":152,""b31"":184,""b32"":145,""b33"":201,""b4"":306,""b5"":118,""b6"":177,""b7"":724}",AGE_Q×SEX
g1,Q2|M,after_support,19,15,4,a1|a3|a4|b13,a2|a5|b11|b12|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":6,""a2"":298,""a3"":0,""a4"":0,""a5"":153,""b11"":180,""b12"":31,""b13"":0,""b14"":188,""b15"":244,""b16"":216,""b2"":152,""b31"":184,""b32"":145,""b33"":201,""b4"":306,""b5"":118,""b6"":177,""b7"":724}",AGE_Q×SEX
g1,Q3|F,after_minpc,19,15,4,a1|a3|a4|b12,a2|a5|b11|b13|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":3,""a2"":266,""a3"":0,""a4"":0,""a5"":208,""b11"":38,""b12"":6,""b13"":33,""b14"":80,""b15"":97,""b16"":68,""b2"":98,""b31"":142,""b32"":113,""b33"":161,""b4"":212,""b5"":31,""b6"":127,""b7"":874}",AGE_Q×SEX
g1,Q3|F,after_support,19,15,4,a1|a3|a4|b12,a2|a5|b11|b13|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":3,""a2"":266,""a3"":0,""a4"":0,""a5"":208,""b11"":38,""b12"":6,""b13"":33,""b14"":80,""b15"":97,""b16"":68,""b2"":98,""b31"":142,""b32"":113,""b33"":161,""b4"":212,""b5"":31,""b6"":127,""b7"":874}",AGE_Q×SEX
