period,cluster,age_bucket,detail_mcod_age
1999_2006,C1,0-44,61.84675532193439
1999_2006,C1,45-64,64.75913646784929
1999_2006,C1,65-79,59.047740043170016
1999_2006,C1,80+,60.96850498570246
1999_2006,C10,0-44,59.85210353143059
1999_2006,C10,45-64,63.164847654199264
1999_2006,C10,65-79,57.74143246267264
1999_2006,C10,80+,58.7310834620033
1999_2006,C100,0-44,52.37774356383134
1999_2006,C100,45-64,62.602538551133605
1999_2006,C100,65-79,59.38946591999082
1999_2006,C100,80+,61.43854011234328
1999_2006,C1000,0-44,53.97496296912956
1999_2006,C1000,45-64,53.5100631651219
1999_2006,C1000,65-79,53.537509857626674
1999_2006,C1000,80+,59.500272180378076
1999_2006,C1001,0-44,50.18465373716258
1999_2006,C1001,45-64,58.08755802123449
1999_2006,C1001,65-79,55.59632594518344
1999_2006,C1001,80+,58.23888479791819
1999_2006,C1002,0-44,50.86642278015953
1999_2006,C1002,45-64,57.032694417104395
1999_2006,C1002,65-79,52.743260331582746
1999_2006,C1002,80+,57.32302243639906
1999_2006,C1003,0-44,43.33407300489628
1999_2006,C1003,45-64,51.86081022886423
1999_2006,C1003,65-79,55.04341143853624
1999_2006,C1003,80+,56.76454930011497
1999_2006,C1004,0-44,48.45660100724074
1999_2006,C1004,45-64,52.98022341225091
1999_2006,C1004,65-79,55.10873682575044
1999_2006,C1004,80+,56.49726773302794
1999_2006,C1005,0-44,54.21858334347495
1999_2006,C1005,45-64,56.294136863546036
1999_2006,C1005,65-79,55.268439136126524
1999_2006,C1005,80+,57.77635995943691
1999_2006,C1006,0-44,52.695652654438696
1999_2006,C1006,45-64,55.87461233450617
1999_2006,C1006,65-79,55.33952343166637
1999_2006,C1006,80+,57.31437321498669
1999_2006,C1007,0-44,51.55053126890834
1999_2006,C1007,45-64,54.52226350571792
1999_2006,C1007,65-79,52.28073365256058
1999_2006,C1007,80+,60.72808354460335
1999_2006,C1008,0-44,49.55739162495005
1999_2006,C1008,45-64,55.76222239792394
1999_2006,C1008,65-79,55.21846079036277
1999_2006,C1008,80+,58.934057179070564
1999_2006,C1009,0-44,49.09957269205758
1999_2006,C1009,45-64,56.70222024129518
1999_2006,C1009,65-79,58.85191839680707
1999_2006,C1009,80+,62.34606340548026
1999_2006,C101,0-44,59.49014136655998
1999_2006,C101,45-64,61.711088370258516
1999_2006,C101,65-79,59.05988698395079
1999_2006,C101,80+,62.7036301988511
1999_2006,C1010,0-44,50.17775803315901
1999_2006,C1010,45-64,52.728816173064416
1999_2006,C1010,65-79,55.997452753837884
1999_2006,C1010,80+,56.23666636653285
1999_2006,C1011,0-44,55.46636686110277
1999_2006,C1011,45-64,59.33314155149576
1999_2006,C1011,65-79,55.27105026568904
1999_2006,C1011,80+,60.608317545621745
1999_2006,C1012,0-44,45.50193981349631
1999_2006,C1012,45-64,56.266946604162726
1999_2006,C1012,65-79,57.3515872764601
1999_2006,C1012,80+,57.35481182037498
