variable,level,n_deaths,prop_zero
racer3,1,2327347,0.23261722467685308
racer3,2,90012,0.20775007776740878
racer3,3,332505,0.23600547360190072
racer5,1,2327347,0.23261722467685308
racer5,2,332505,0.23600547360190072
racer5,3,19722,0.16499340837643242
racer5,4,70290,0.21974676340873525
educ2003,1,290641,0.23587518622630668
educ2003,2,292327,0.21101369356918792
educ2003,3,1149336,0.22701803476094023
educ2003,4,335412,0.22499791301444194
educ2003,5,167384,0.2367968264589208
educ2003,6,279936,0.2578875171467764
educ2003,7,113813,0.26962649257993376
educ2003,8,47753,0.26144954243712437
educ2003,9,51272,0.22012014354813544
educ2003,NA,21990,0.2565256934970441
sex,F,1345776,0.2525308818109403
sex,M,1404088,0.2127388026961273
ager52,1,3399,0.6522506619593998
ager52,2,5815,0.5766122098022356
ager52,3,1011,0.3115727002967359
ager52,4,763,0.27391874180865006
ager52,5,457,0.26914660831509846
ager52,6,373,0.26005361930294907
ager52,7,313,0.22044728434504793
ager52,8,273,0.2454212454212454
ager52,9,1405,0.25195729537366546
ager52,10,882,0.2528344671201814
ager52,11,645,0.289922480620155
ager52,12,2060,0.34757281553398056
ager52,13,1455,0.3965635738831615
ager52,14,1075,0.4427906976744186
ager52,15,848,0.4339622641509434
ager52,16,645,0.3612403100775194
ager52,17,482,0.36099585062240663
ager52,18,389,0.29562982005141386
ager52,19,306,0.2549019607843137
ager52,20,240,0.2125
ager52,21,211,0.23222748815165878
ager52,22,189,0.24867724867724866
ager52,23,1572,0.21374045801526717
ager52,24,1055,0.16113744075829384
ager52,25,792,0.16161616161616163
ager52,26,649,0.17411402157164868
ager52,27,2507,0.17869964100518548
ager52,28,3036,0.14031620553359683
ager52,29,10882,0.07278073883477303
ager52,30,21888,0.07273391812865497
ager52,31,27185,0.09288210410152657
ager52,32,30760,0.12129388816644994
ager52,33,35456,0.1523014440433213
ager52,34,42750,0.17847953216374268
ager52,35,65879,0.20010929127643104
ager52,36,108323,0.21513436666266628
ager52,37,162680,0.22204327514138186
ager52,38,204948,0.2318002615297539
ager52,39,247285,0.2319792951452777
ager52,40,265991,0.23100029700253016
ager52,41,295344,0.2349971558589306
ager52,42,342369,0.24110535708548378
ager52,43,384738,0.24454303967895036
ager52,44,310896,0.251431346816942
ager52,45,131412,0.2603491309773841
ager52,46,25606,0.27450597516207137
ager52,47,2143,0.3019132057862809
ager52,48,91,0.27472527472527475
ager52,49,3,0
ager52,52,388,0.30927835051546393
marstat,D,435871,0.214451064649862
marstat,M,1009779,0.23965441943237084
marstat,S,371323,0.1996428985007662
marstat,U,21802,0.2030088982662141
marstat,W,911089,0.2464358586263252
