variable,level,n_deaths,mean_extra
race,1,2327347,1.9922138812998789
race,2,332505,1.948274462038159
race,3,19722,2.3250684514755164
race,4,15252,1.8957513768685674
race,5,8465,1.9428233904311802
race,6,807,2.270136307311029
race,7,12262,2.2259827108138754
race,18,8811,1.9694699807059302
race,28,5567,1.709717980959223
race,38,731,2.377564979480165
race,48,5897,2.0513820586739095
race,58,426,2.5093896713615016
race,68,8772,2.0042179662562636
race,78,3300,2.1009090909090964
racer5,1,2327347,1.9922138812998789
racer5,2,332505,1.948274462038159
racer5,3,19722,2.3250684514755164
racer5,4,70290,2.0027884478589333
educ2003,1,290641,1.9682976593118002
educ2003,2,292327,2.070041426210881
educ2003,3,1149336,2.0096768917018166
educ2003,4,335412,2.0279745507020728
educ2003,5,167384,1.9807807197819787
educ2003,6,279936,1.8852059042066633
educ2003,7,113813,1.83301556061251
educ2003,8,47753,1.8523443553284287
educ2003,9,51272,2.0237751599313625
educ2003,NA,21990,1.9868121873578941
sex,F,1345776,1.9157341191998554
sex,M,1404088,2.0603167322848615
ager52,1,3399,0.5107384524860266
ager52,2,5815,0.7246775580395501
ager52,3,1011,1.4104846686449064
ager52,4,763,1.6304062909567476
ager52,5,457,1.5623632385120354
ager52,6,373,1.6568364611260056
ager52,7,313,1.6453674121405752
ager52,8,273,1.6080586080586083
ager52,9,1405,1.6434163701067606
ager52,10,882,1.6780045351473916
ager52,11,645,1.657364341085272
ager52,12,2060,1.4407766990291253
ager52,13,1455,1.263230240549827
ager52,14,1075,1.1851162790697656
ager52,15,848,1.2476415094339628
ager52,16,645,1.3503875968992247
ager52,17,482,1.3858921161825724
ager52,18,389,1.5089974293059125
ager52,19,306,1.6339869281045751
ager52,20,240,1.8500000000000003
ager52,21,211,1.6729857819905214
ager52,22,189,1.783068783068783
ager52,23,1572,1.6399491094147587
ager52,24,1055,1.7109004739336497
ager52,25,792,1.731060606060604
ager52,26,649,1.6979969183359
ager52,27,2507,1.7295572397287582
ager52,28,3036,1.7401185770751004
ager52,29,10882,1.8089505605587197
ager52,30,21888,2.0185032894736876
ager52,31,27185,2.1279382012139303
ager52,32,30760,2.1657022106631993
ager52,33,35456,2.1414711191335583
ager52,34,42750,2.0923274853801233
ager52,35,65879,2.0711455850877956
ager52,36,108323,2.0327077351993115
ager52,37,162680,2.042371526924059
ager52,38,204948,2.0303052481605914
ager52,39,247285,2.0525304810241187
ager52,40,265991,2.0604230970220923
ager52,41,295344,2.0463493417843814
ager52,42,342369,2.0055320429127113
ager52,43,384738,1.957316407529052
ager52,44,310896,1.886833539189827
ager52,45,131412,1.7985952576629765
ager52,46,25606,1.6646098570647427
ager52,47,2143,1.518432104526365
ager52,48,91,1.5054945054945055
ager52,49,3,2.3333333333333335
ager52,52,388,1.3221649484536084
marstat,D,435871,2.083320523733143
marstat,M,1009779,1.994756278354524
marstat,S,371323,1.9978563137752567
marstat,U,21802,2.10127511237502
marstat,W,911089,1.9328858102773683
ucr39,1,533,3.1425891181988748
ucr39,2,41,2.8536585365853657
ucr39,3,6197,2.0885912538325058
ucr39,5,11455,1.2445220427760848
ucr39,6,53215,1.301437564596459
ucr39,7,42820,1.054880896777189
ucr39,8,149074,1.734890054603616
ucr39,9,42009,1.2730129258016272
ucr39,10,29187,1.0869907835680215
ucr39,11,30396,1.4181142255560033
ucr39,12,31397,1.5116730897856578
ucr39,13,20301,1.565292350130521
ucr39,14,23188,1.6678454372951579
ucr39,15,165775,1.5403046297692322
ucr39,16,80144,2.840137752046329
ucr39,17,116137,1.3527557970327895
ucr39,20,49658,2.1553626807362094
ucr39,21,364437,2.2432025288322053
ucr39,22,222613,1.7711050118365261
ucr39,23,33284,2.210221127268349
ucr39,24,142417,1.8196984910508855
ucr39,25,5737,1.4078786822381015
ucr39,26,19627,2.3530850359199156
ucr39,27,51639,1.9414783400143325
ucr39,28,154717,2.345198006683277
ucr39,29,3215,2.4690513219284607
ucr39,30,40655,2.2231213872832205
ucr39,31,50090,1.8104412058295256
ucr39,32,1240,0.4782258064516134
ucr39,33,11535,0.9136540962288581
ucr39,34,10153,2.1237072786368554
ucr39,35,1505,0.26578073089700993
ucr39,36,32250,0.3164031007751968
ucr39,37,516747,2.2491393273688685
ucr39,38,40651,1.741679171484105
ucr39,39,124979,3.202762064026712
ucr39,40,45076,1.928920046144283
ucr39,41,19442,2.21489558687378
ucr39,42,6328,2.870575221238939
