"variable","total_n","known_TRUE","known_FALSE","prop_known","ucr39"
"age",22833,22833,0,1,"13"
"age",21090,21090,0,1,"14"
"age",44543,44543,0,1,"17"
"age",33,33,0,1,"2"
"age",16974,16974,0,1,"23"
"age",14985,14985,0,1,"25"
"age",25878,25878,0,1,"26"
"age",35554,35554,0,1,"31"
"age",409,409,0,1,"32"
"age",2648,2648,0,1,"35"
"age",12724,12724,0,1,"5"
"age",57194,57194,0,1,"6"
"age",41557,41557,0,1,"9"
"age",31092,31092,0,1,"11"
"age",24365,24365,0,1,"12"
"age",22767,22767,0,1,"13"
"age",21408,21408,0,1,"14"
"age",69366,69366,0,1,"16"
"age",41,41,0,1,"2"
"age",18087,18087,0,1,"23"
"age",14396,14396,0,1,"25"
"age",4565,4565,0,1,"29"
"age",404,404,0,1,"32"
"age",2524,2524,0,1,"35"
"age",12670,12670,0,1,"5"
"age",57519,57519,0,1,"6"
"age",42345,42345,0,1,"9"
"age",30736,30736,0,1,"11"
"age",24930,24930,0,1,"12"
"age",22340,22340,0,1,"13"
"age",21508,21508,0,1,"14"
"age",53859,53859,0,1,"17"
"age",37,37,0,1,"2"
"age",19260,19260,0,1,"23"
"age",418,418,0,1,"32"
"age",10487,10487,0,1,"34"
"age",2234,2234,0,1,"35"
"age",12341,12341,0,1,"5"
"age",56923,56923,0,1,"6"
"age",41870,41870,0,1,"9"
"age",788,788,0,1,"1"
"age",25514,25514,0,1,"10"
"age",30462,30462,0,1,"11"
"age",21950,21950,0,1,"13"
"age",21561,21561,0,1,"14"
"age",58871,58871,0,1,"17"
"age",41,41,0,1,"2"
"age",20270,20270,0,1,"23"
"age",24968,24968,0,1,"26"
"age",4084,4084,0,1,"29"
"age",41009,41009,0,1,"31"
"age",381,381,0,1,"32"
"age",2295,2295,0,1,"35"
"age",12213,12213,0,1,"5"
"age",157801,157801,0,1,"8"
"age",41921,41921,0,1,"9"
"age",720,720,0,1,"1"
"age",25511,25511,0,1,"10"
"age",29575,29575,0,1,"11"
"age",25453,25453,0,1,"12"
"age",21507,21507,0,1,"13"
"age",21603,21603,0,1,"14"
"age",63468,63468,0,1,"17"
"age",34,34,0,1,"2"
"age",31543,31543,0,1,"20"
"age",21956,21956,0,1,"23"
"age",24726,24726,0,1,"26"
"age",3920,3920,0,1,"29"
"age",548,548,0,1,"32"
"age",14411,14411,0,1,"33"
"age",10565,10565,0,1,"34"
"age",2162,2162,0,1,"35"
"age",12138,12138,0,1,"5"
"age",30813,30813,0,1,"7"
"age",661,661,0,1,"1"
"age",25580,25580,0,1,"10"
"age",25956,25956,0,1,"12"
"age",20968,20968,0,1,"13"
"age",21451,21451,0,1,"14"
"age",65978,65978,0,1,"17"
"age",43,43,0,1,"2"
"age",11864,11864,0,1,"25"
"age",23736,23736,0,1,"26"
"age",3692,3692,0,1,"29"
"age",698,698,0,1,"32"
"age",14234,14234,0,1,"33"
"age",10538,10538,0,1,"34"
"age",2247,2247,0,1,"35"
"age",11883,11883,0,1,"5"
"age",53815,53815,0,1,"6"
"age",41362,41362,0,1,"9"
"age",653,653,0,1,"1"
"age",25837,25837,0,1,"10"
"age",28923,28923,0,1,"11"
"age",26421,26421,0,1,"12"
"age",20909,20909,0,1,"13"
"age",21679,21679,0,1,"14"
"age",47,47,0,1,"2"
"age",24926,24926,0,1,"23"
"age",11848,11848,0,1,"25"
"age",23694,23694,0,1,"26"
"age",3488,3488,0,1,"29"
"age",43944,43944,0,1,"31"
"age",767,767,0,1,"32"
"age",2232,2232,0,1,"35"
"age",11545,11545,0,1,"5"
"age",41546,41546,0,1,"9"
"age",658,658,0,1,"1"
"age",26256,26256,0,1,"10"
"age",28393,28393,0,1,"11"
"age",26665,26665,0,1,"12"
"age",22002,22002,0,1,"14"
"age",72446,72446,0,1,"17"
"age",38,38,0,1,"2"
"age",23867,23867,0,1,"23"
"age",8660,8660,0,1,"25"
"age",22538,22538,0,1,"26"
"age",3338,3338,0,1,"29"
"age",45386,45386,0,1,"31"
"age",767,767,0,1,"32"
"age",2324,2324,0,1,"35"
"age",11365,11365,0,1,"5"
"age",33492,33492,0,1,"7"
"age",561,561,0,1,"1"
"age",26135,26135,0,1,"10"
"age",29120,29120,0,1,"11"
"age",27346,27346,0,1,"12"
"age",20560,20560,0,1,"13"
"age",42,42,0,1,"2"
"age",8239,8239,0,1,"25"
"age",3055,3055,0,1,"29"
"age",46495,46495,0,1,"31"
"age",772,772,0,1,"32"
"age",2454,2454,0,1,"35"
"age",11407,11407,0,1,"5"
"age",34148,34148,0,1,"7"
"age",585,585,0,1,"1"
"age",26073,26073,0,1,"10"
"age",27714,27714,0,1,"12"
"age",34,34,0,1,"2"
"age",25777,25777,0,1,"23"
"age",3083,3083,0,1,"29"
"age",798,798,0,1,"32"
"age",10332,10332,0,1,"34"
"age",2353,2353,0,1,"35"
"age",11384,11384,0,1,"5"
"age",158808,158808,0,1,"8"
"age",41077,41077,0,1,"9"
"age",537,537,0,1,"1"
"age",26088,26088,0,1,"10"
"age",28115,28115,0,1,"11"
"age",27962,27962,0,1,"12"
"age",20421,20421,0,1,"13"
"age",68776,68776,0,1,"16"
"age",79018,79018,0,1,"17"
"age",34,34,0,1,"2"
"age",25763,25763,0,1,"23"
"age",7380,7380,0,1,"25"
"age",2965,2965,0,1,"29"
"age",48959,48959,0,1,"31"
"age",960,960,0,1,"32"
"age",2226,2226,0,1,"35"
"age",35663,35663,0,1,"7"
"age",26941,26941,0,1,"10"
"age",20322,20322,0,1,"13"
"age",22623,22623,0,1,"14"
"age",69154,69154,0,1,"16"
"age",83510,83510,0,1,"17"
"age",28,28,0,1,"2"
"age",26666,26666,0,1,"23"
"age",7233,7233,0,1,"25"
"age",19229,19229,0,1,"26"
"age",8406,8406,0,1,"3"
"age",9696,9696,0,1,"34"
"age",2063,2063,0,1,"35"
"age",11415,11415,0,1,"5"
"age",36926,36926,0,1,"7"
"age",41477,41477,0,1,"9"
"age",543,543,0,1,"1"
"age",27106,27106,0,1,"10"
"age",27999,27999,0,1,"11"
"age",29340,29340,0,1,"12"
"age",20343,20343,0,1,"13"
"age",150073,150073,0,1,"15"
"age",73916,73916,0,1,"16"
"age",45,45,0,1,"2"
"age",27881,27881,0,1,"23"
"age",7721,7721,0,1,"3"
"age",45635,45635,0,1,"31"
"age",936,936,0,1,"32"
"age",9722,9722,0,1,"34"
"age",1911,1911,0,1,"35"
"age",52342,52342,0,1,"6"
"age",37392,37392,0,1,"7"
"age",41411,41411,0,1,"9"
"age",519,519,0,1,"1"
