term,estimate,std.error,statistic,p.value,conf.low,conf.high,year,variable
race5Black,0.981981946981893,0.04655114493759239,-0.3905887760625274,0.6961012233150677,0.8963515403591907,1.075792812061141,1999,race5
race5Hispanic,0.7998624045378003,0.04821358243546695,-4.631797704175663,3.6250426883870473e-6,0.7277380026658016,0.8791348862494368,1999,race5
race5Other,0.7591123850668895,0.05194514027192653,-5.305702154006393,1.1224010018600387e-7,0.6856294774124005,0.840470884269363,1999,race5
race5White,1.1988124858503661,0.04589203251531848,3.9512625995852484,7.773996466287047e-5,1.0956886700138102,1.3116420891827059,1999,race5
race5Black,0.9923040705977738,0.046958779058283974,-0.16452079974590164,0.8693211740104115,0.9050501677506516,1.087969930962098,2000,race5
race5Hispanic,0.8827168117933125,0.04843838060894935,-2.575454416407444,0.010010846779432953,0.8027675633635344,0.9706283678899635,2000,race5
race5Other,0.774619195898827,0.05213015981043777,-4.898963123169804,9.634372264157105e-7,0.6993815435028483,0.8579507197883348,2000,race5
race5White,1.2052029621989826,0.04629758303670824,4.031484450742827,5.542566407247782e-5,1.100654192373172,1.3196825943681445,2000,race5
race5Black,0.9788433427109489,0.0452018597649545,-0.4730705114108286,0.6361628743019403,0.8958526684555198,1.0695221695565187,2001,race5
race5Hispanic,0.8310909580948153,0.046640593237479676,-3.96684563987902,7.283012742125315e-5,0.7584855002905015,0.9106465190994605,2001,race5
race5Other,0.8030049315760281,0.04999087330611317,-4.388689556814935,1.140357145182504e-5,0.7280565645147301,0.8856687125198988,2001,race5
race5White,1.1650104055574373,0.044507142639252,3.4315844543126888,6.000662564561592e-4,1.067688487065444,1.2712034095146256,2001,race5
race5Black,0.9723555956748939,0.045657549354557576,-0.6139992761138252,0.5392158055562402,0.8891205072099969,1.0633827437037966,2002,race5
race5Hispanic,0.8222071227248445,0.04711794940617534,-4.154742386192019,3.256542383497195e-5,0.7496760325406411,0.9017555895023484,2002,race5
race5Other,0.7766067061822352,0.05048251032644644,-5.008095373553125,5.497129535534198e-7,0.703444042864425,0.8573787527310964,2002,race5
race5White,1.1584714557058604,0.044982804285544215,3.2701701886360843,0.0010748279750987142,1.0607064296083368,1.2652474579425395,2002,race5
race5Black,0.9774108813346102,0.045294518753976595,-0.5044354570389391,0.6139554069928475,0.8943792130926932,1.0681509777578977,2003,race5
race5Hispanic,0.8460436325404781,0.046656698110001824,-3.58328712427844,3.39297293659996e-4,0.7721075123941625,0.9270597898248079,2003,race5
race5Other,0.7819315100352945,0.05007321269160774,-4.912569258587754,8.989061450879825e-7,0.7088356233886207,0.8625651225924141,2003,race5
race5White,1.1825910908585016,0.04461516985050399,3.7589876137990244,1.7060228243143035e-4,1.083571075547614,1.290659855857741,2003,race5
race5Black,0.9417750599085648,0.044825812776389584,-1.3382651448141107,0.1808100197040188,0.8625627182848806,1.028261765392982,2004,race5
race5Hispanic,0.8095317580303121,0.04620025739032514,-4.573551900088164,4.795248260669857e-6,0.7394476581006628,0.886258357951868,2004,race5
race5Other,0.7619736570267399,0.049608370810127464,-5.479786783657677,4.258386923685878e-8,0.6913730704824514,0.8397837271815475,2004,race5
race5White,1.1429068007735872,0.04412479991986801,3.0272056213293665,0.002468259961066379,1.0482165901274725,1.2461508123007916,2004,race5
race5Black,0.9575699741736176,0.043581308737947126,-0.9948411779318174,0.31981351533592833,0.8791710134698435,1.0429600628209459,2005,race5
race5Hispanic,0.8455224866982436,0.04484148538396843,-3.7420819988507104,1.825019404877631e-4,0.7743821242743127,0.9231983191532666,2005,race5
race5Other,0.846518445806449,0.048087828934083275,-3.464978366972811,5.302741328809037e-4,0.770376878190128,0.9301856005518788,2005,race5
race5White,1.1830110495281299,0.042865168874815326,3.9207340044293404,8.827966469336126e-5,1.087680224815694,1.2866972400300771,2005,race5
race5Black,0.9749507295244891,0.04439011706775608,-0.5714862847394967,0.5676700547697611,0.8937108657240833,1.0635754374880697,2006,race5
