term,estimate,std.error,statistic,p.value,conf.low,conf.high,year,variable
race5Black,0.9313762733558775,0.04915662170220051,-1.4462328872265728,0.14811189237510272,0.8458282945781012,1.0255766662463945,1999,race5
race5Hispanic,0.7786972265868525,0.0508734773407688,-4.916765888125357,8.798566760364216e-7,0.7047973293577645,0.8603457269717528,1999,race5
race5Other,0.7067574969906132,0.05445845698357183,-6.373072135909458,1.8527868271892465e-10,0.6352057921578155,0.7863690251557646,1999,race5
race5White,1.1010861497227977,0.04850495756167393,1.985304313550743,0.047110624419313935,1.0012281381997166,1.210903552202743,1999,race5
race5Black,0.9492201331372085,0.04931318066786925,-1.056807597929459,0.2905994060156183,0.8617686962725899,1.0455460555137346,2000,race5
race5Hispanic,0.8587122965561931,0.05084806488688623,-2.995617272308315,0.0027388996150031846,0.7772575249250693,0.9487033378388948,2000,race5
race5Other,0.7231757657447294,0.05444135344356165,-5.953249868360728,2.6286948939194944e-9,0.6499836742342037,0.8046097292776515,2000,race5
race5White,1.1278209342951735,0.04865956481487559,2.4720195246251335,0.013435217841568113,1.0252276107887786,1.240680651251497,2000,race5
race5Black,0.9319013681729699,0.04745888062589337,-1.4860927419103294,0.13725459184822703,0.8491259912747003,1.022745939856297,2001,race5
race5Hispanic,0.8083175003212804,0.048954276003373466,-4.3469206180730176,1.3806215761399274e-5,0.7343638001184003,0.8897186669880787,2001,race5
race5Other,0.7482476029200553,0.0522099613521833,-5.554904242884464,2.777639878571072e-8,0.6754657270097162,0.8288717737821734,2001,race5
race5White,1.086137454832036,0.046768518941600695,1.7667393622739267,0.07727188801723561,0.9910022107807535,1.1904055893675551,2001,race5
race5Black,0.9487436837750106,0.04795259500714576,-1.0972629886716445,0.2725264451354033,0.8636361738659114,1.0422381608609292,2002,race5
race5Hispanic,0.8204783771743596,0.04945720438679868,-4.000786629229253,6.313226505489718e-5,0.7446776471504347,0.9039948627257216,2002,race5
race5Other,0.7445669576506228,0.05272702982283208,-5.593952390113246,2.219578429849761e-8,0.6714622560895093,0.8256308517677912,2002,race5
race5White,1.110589229514077,0.04728909545255182,2.2180739740565443,0.026549789024043313,1.0122788585077753,1.218447294780875,2002,race5
race5Black,0.954193377577644,0.047752280599820604,-0.9819201433473551,0.32613919125001833,0.8689380924982597,1.047813428451873,2003,race5
race5Hispanic,0.8492872425126556,0.049149591271836074,-3.3236862252733257,8.883608771869507e-4,0.7712898633808237,0.9351721765577187,2003,race5
race5Other,0.7577089367696143,0.052462499246075205,-5.288653028354264,1.2322037669025877e-7,0.683668277074637,0.8397681333367785,2003,race5
race5White,1.1427983356378946,0.04708945234961642,2.8346036813665756,0.00458825666856696,1.0420444579277164,1.2532939703301358,2003,race5
race5Black,0.9136288841539417,0.046949806249587035,-1.923987169292378,0.05435619176257987,0.8333075934973613,1.0016922256247505,2004,race5
race5Hispanic,0.8041103042724131,0.04835504546700503,-4.508708920427942,6.522332147938005e-6,0.7314000433769524,0.8840488694144478,2004,race5
race5Other,0.7336717737780201,0.05167298542450775,-5.993335251005299,2.055804245926661e-9,0.6630051132712057,0.8118704680613863,2004,race5
race5White,1.100772986788553,0.046261767441347384,2.0754211001473863,0.03794752430648021,1.005353865078846,1.2052484309575537,2004,race5
race5Black,0.9268939288865058,0.04576297009333522,-1.6588989717894933,0.09713615188613046,0.8473753201503709,1.0138746491391861,2005,race5
race5Hispanic,0.8283078671730569,0.047065229254477224,-4.0023256325616385,6.272289072369924e-5,0.7553166431254902,0.9083527141434764,2005,race5
race5Other,0.8094519119632843,0.050226917809859065,-4.208856952865911,2.566658084645751e-5,0.7335623576664569,0.8931925022234235,2005,race5
race5White,1.1314699117493603,0.04505969107977133,2.7411993137539064,0.006121536134381411,1.0358274746919616,1.235943429261541,2005,race5
race5Black,0.9330542052852127,0.046387131513934775,-1.4937759615738246,0.13523418652172634,0.8519642102796179,1.021862349962669,2006,race5
race5Hispanic,0.8267982464254631,0.047617938252025385,-3.9941790651996643,6.491878877882286e-5,0.7531237432123609,0.9076799748424144,2006,race5
race5Other,0.7894291395596759,0.05065116241836812,-4.668110100366553,3.039829969056498e-6,0.7148221694914962,0.8718229414026925,2006,race5
race5White,1.1329759805649986,0.04568260010222284,2.7329394930982502,0.006277186274173427,1.0359406823368034,1.2391004566416737,2006,race5
educ20032,0.8928853263944818,0.018175507329443844,-6.2335052436102885,4.561120809354281e-10,0.8616370827961976,0.9252668228987446,2006,educ2003
