year,ranum,ucod,sex,race5,total_detail,good_detail,n_good_possible,prop_good_detail
1999,2,V98,F,Black,1,1,3,0.3333333333333333
1999,2,V98,M,White,1,1,3,0.3333333333333333
1999,2,W00,F,Black,1,1,3,0.3333333333333333
1999,2,W00,F,White,3,3,3,1
1999,2,W00,M,White,8,8,3,2.6666666666666665
1999,2,W01,F,Black,3,3,3,1
1999,2,W01,F,Hispanic,3,3,3,1
1999,2,W01,F,White,52,52,3,17.333333333333332
1999,2,W01,M,Black,2,2,3,0.6666666666666666
1999,2,W01,M,Hispanic,4,4,3,1.3333333333333333
1999,2,W01,M,White,67,67,3,22.333333333333332
1999,2,W02,F,White,4,4,3,1.3333333333333333
1999,2,W02,M,Other,1,1,3,0.3333333333333333
1999,2,W02,M,White,17,17,3,5.666666666666667
1999,2,W03,F,White,1,1,1,1
1999,2,W03,M,Hispanic,1,1,1,1
1999,2,W03,M,Other,1,1,1,1
1999,2,W03,M,White,1,1,1,1
1999,2,W04,F,White,1,1,3,0.3333333333333333
1999,2,W04,M,Black,2,2,3,0.6666666666666666
1999,2,W04,M,White,1,1,3,0.3333333333333333
1999,2,W05,F,Black,1,1,3,0.3333333333333333
1999,2,W05,F,Hispanic,2,2,3,0.6666666666666666
1999,2,W05,F,White,15,15,3,5
1999,2,W05,M,Black,1,1,3,0.3333333333333333
1999,2,W05,M,White,12,12,3,4
1999,2,W06,F,Black,4,4,3,1.3333333333333333
1999,2,W06,F,Hispanic,3,3,3,1
1999,2,W06,F,Other,1,1,3,0.3333333333333333
1999,2,W06,F,White,23,23,3,7.666666666666667
1999,2,W06,M,Black,2,2,3,0.6666666666666666
1999,2,W06,M,Hispanic,2,2,3,0.6666666666666666
1999,2,W06,M,Other,1,1,3,0.3333333333333333
1999,2,W06,M,White,14,14,3,4.666666666666667
1999,2,W07,F,Black,1,1,1,1
1999,2,W07,F,Hispanic,1,1,1,1
1999,2,W07,F,White,10,10,1,10
1999,2,W07,M,Black,1,1,1,1
1999,2,W07,M,White,7,7,1,7
