period,cluster,age_bucket,detail_ucod_age
1999_2006,C1,0-44,66.31057270456525
1999_2006,C1,45-64,58.3909375463559
1999_2006,C1,65-79,51.183287094909424
1999_2006,C1,80+,53.0171699473185
1999_2006,C10,0-44,66.38587145495306
1999_2006,C10,45-64,53.97593052860924
1999_2006,C10,65-79,43.1913108871452
1999_2006,C10,80+,40.91439890007986
1999_2006,C100,0-44,56.90504695922961
1999_2006,C100,45-64,54.77372994492402
1999_2006,C100,65-79,52.63071636140056
1999_2006,C100,80+,55.272614420035595
1999_2006,C1000,0-44,55.165934172313634
1999_2006,C1000,45-64,53.24619803755044
1999_2006,C1000,65-79,51.14389339372964
1999_2006,C1000,80+,51.93000907636861
1999_2006,C1001,0-44,50.38843173837319
1999_2006,C1001,45-64,51.065352023871455
1999_2006,C1001,65-79,51.46044951347185
1999_2006,C1001,80+,54.054720362208506
1999_2006,C1002,0-44,53.95473298910385
1999_2006,C1002,45-64,50.71719170284035
1999_2006,C1002,65-79,48.92970184265052
1999_2006,C1002,80+,52.419890648819866
1999_2006,C1003,0-44,50.57901108410552
1999_2006,C1003,45-64,51.32464333382275
1999_2006,C1003,65-79,49.604778131890335
1999_2006,C1003,80+,52.22765680147386
1999_2006,C1004,0-44,49.820022345127384
1999_2006,C1004,45-64,50.633048322776894
1999_2006,C1004,65-79,48.36055211575661
1999_2006,C1004,80+,53.54839109393304
1999_2006,C1005,0-44,55.41022811437371
1999_2006,C1005,45-64,52.49509515734843
1999_2006,C1005,65-79,49.18841887054097
1999_2006,C1005,80+,55.04482219093075
1999_2006,C1006,0-44,51.46849770015794
1999_2006,C1006,45-64,48.81401248090792
1999_2006,C1006,65-79,48.718360826501296
1999_2006,C1006,80+,53.745017914371495
1999_2006,C1007,0-44,54.1693818071722
1999_2006,C1007,45-64,51.80873296823115
1999_2006,C1007,65-79,47.499651915408236
1999_2006,C1007,80+,54.8937560938467
1999_2006,C1008,0-44,58.92129075938687
1999_2006,C1008,45-64,54.43866251775089
1999_2006,C1008,65-79,49.28788701212432
1999_2006,C1008,80+,57.06800270685122
1999_2006,C1009,0-44,58.867874207784595
1999_2006,C1009,45-64,59.30296327129657
1999_2006,C1009,65-79,56.40022961807548
1999_2006,C1009,80+,64.30677347288253
1999_2006,C101,0-44,52.83106916255507
1999_2006,C101,45-64,59.18040356966524
1999_2006,C101,65-79,55.03500508120546
1999_2006,C101,80+,58.63543531993528
1999_2006,C1010,0-44,52.6201726420789
1999_2006,C1010,45-64,48.267082485277484
1999_2006,C1010,65-79,48.17254172637928
1999_2006,C1010,80+,53.7022324090555
1999_2006,C1011,0-44,54.26677120568966
