period,cluster,ucod_age_0-44,ucod_age_45-64,ucod_age_65-79,ucod_age_80+
1999_2006,C1,66.31057270456525,58.3909375463559,51.183287094909424,53.0171699473185
1999_2006,C10,66.38587145495306,53.97593052860924,43.1913108871452,40.91439890007986
1999_2006,C100,56.90504695922961,54.77372994492402,52.63071636140056,55.272614420035595
1999_2006,C1000,55.165934172313634,53.24619803755044,51.14389339372964,51.93000907636861
1999_2006,C1001,50.38843173837319,51.065352023871455,51.46044951347185,54.054720362208506
1999_2006,C1002,53.95473298910385,50.71719170284035,48.92970184265052,52.419890648819866
1999_2006,C1003,50.57901108410552,51.32464333382275,49.604778131890335,52.22765680147386
1999_2006,C1004,49.820022345127384,50.633048322776894,48.36055211575661,53.54839109393304
1999_2006,C1005,55.41022811437371,52.49509515734843,49.18841887054097,55.04482219093075
1999_2006,C1006,51.46849770015794,48.81401248090792,48.718360826501296,53.745017914371495
1999_2006,C1007,54.1693818071722,51.80873296823115,47.499651915408236,54.8937560938467
1999_2006,C1008,58.92129075938687,54.43866251775089,49.28788701212432,57.06800270685122
1999_2006,C1009,58.867874207784595,59.30296327129657,56.40022961807548,64.30677347288253
1999_2006,C101,52.83106916255507,59.18040356966524,55.03500508120546,58.63543531993528
1999_2006,C1010,52.6201726420789,48.267082485277484,48.17254172637928,53.7022324090555
1999_2006,C1011,54.26677120568966,53.72444144677752,47.46003275919628,55.614009307463576
1999_2006,C1012,51.653954221795296,53.85107600783813,54.26759895305678,55.8731562637413
1999_2006,C1013,52.15857508964762,53.581513275546314,51.72074615888376,56.482381766517115
1999_2006,C1014,59.340687790469794,52.99591062166707,52.44439924118827,55.46250724667127
1999_2006,C1015,58.47290571429965,52.45735689585678,51.297716805864475,56.77457886063134
1999_2006,C1016,52.91040882587169,51.9106976940075,49.66243360411873,53.0628488046878
1999_2006,C1017,52.205903492183026,50.67612170632437,47.54414123077148,52.2623533569351
1999_2006,C1018,52.386693553969366,44.06126558108959,47.01178403746656,49.53004333711309
1999_2006,C1019,53.28529830903711,48.25048256370816,48.32780525390368,55.46574141987234
1999_2006,C102,65.45752481176693,62.179330712172344,56.54295451517974,58.840579020339916
1999_2006,C1020,57.125749978415705,52.300212619864546,51.22572779956113,56.78035282753574
1999_2006,C1021,48.844626866760755,51.33307898138596,51.931672590625816,54.288907799780674
1999_2006,C1022,53.83862403811033,49.30777599252489,48.927053249812396,52.40538170876119
1999_2006,C1023,52.851108442790895,52.30474028756501,48.96822496018383,54.77015025386707
1999_2006,C1024,48.70173479086762,47.9392328289639,47.01896705967528,51.043392521350675
1999_2006,C1025,52.97116557829142,45.9909040048019,48.42587214360144,53.95496759363897
1999_2006,C1026,46.499275924207495,49.73007199851844,46.854369617816374,53.573087074689354
1999_2006,C1027,54.05691598811567,51.20439584845443,49.608640532457066,55.69957666563593
1999_2006,C1028,52.74587495994789,49.74833290508129,47.99178200270842,50.088971433605785
1999_2006,C1029,53.235887639103815,50.049596720502116,48.18843862079709,52.632587961636105
1999_2006,C103,62.577118902350946,58.52128646280995,51.14780212191932,52.51776745977752
1999_2006,C1030,57.46241524513053,49.893865222171314,46.927491022238556,54.10172825236382
1999_2006,C1031,53.32977252249303,54.42653305269611,51.578561641371664,54.953919235120566
1999_2006,C1032,55.816427212058414,52.6474808072165,51.44082716178294,57.30396815367201
1999_2006,C1033,54.25417816405085,48.10615949931423,49.09600178038087,53.87190181945614
1999_2006,C1034,55.349577908159596,52.466290642269996,51.55563099220877,54.881797916801915
1999_2006,C1035,56.222016443308384,48.292037629248725,46.61526497188368,53.880379603392726
1999_2006,C1036,50.89695122150859,44.11969530971594,47.76512563766838,52.59524985745591
1999_2006,C1037,50.46340820266439,50.172697953170065,47.37180211482787,52.88658177595684
1999_2006,C1038,49.31320794610903,52.97872863392192,53.11061132572314,55.18596381028599
1999_2006,C1039,53.333941541998236,47.75573719670139,47.87704572142694,54.41341861212187
1999_2006,C104,65.72133932710537,59.04463335587932,53.35088263602748,55.01557766781447
1999_2006,C1040,60.08017016434384,52.94040934371797,50.10085567309305,57.01044170754976
1999_2006,C1041,50.22936348909539,50.17852437923455,48.208337980556934,52.60717406705931
1999_2006,C1042,53.066180344263614,44.81942875831281,45.41993223861717,51.99828563426352
1999_2006,C1043,50.990342700309306,50.34194833441028,50.845245206502206,53.59465985644808
1999_2006,C1044,49.968655471362624,50.09895007919863,52.050828887784206,56.422048215982635
1999_2006,C1045,55.45344259482931,51.085456906456336,45.992566981588716,50.93841175843562
1999_2006,C1046,53.87436241162818,48.11527179387242,47.65425999605513,51.86011110337605
1999_2006,C1047,58.34635119054599,51.6104822605512,49.232651171551794,57.45420118245663
1999_2006,C1048,51.03731046262167,43.62306747977306,49.087706894329386,50.36212079800893
1999_2006,C1049,53.857805745481336,50.82218263780456,48.25921857448936,55.77946779615465
1999_2006,C105,64.4759560721656,57.46089297523607,53.62292610125515,56.16636620924618
1999_2006,C1050,50.81895362158048,48.40550319775075,46.216619213024046,51.12385155615855
1999_2006,C1051,49.67358248705954,51.99029839352459,49.32681383234694,52.4778191355365
1999_2006,C1052,54.05425607122529,52.68946837961998,50.48340911777999,55.64324109941115
