cluster,period,z_overd,z_RI,z_garb,z_phil,has_dq,has_ph,ready,reason
C1,2006_2012,NA,NA,NA,1.7379721189097561,0,1,0,missing_dq
C10,2006_2012,NA,NA,NA,1.6998211587612224,0,1,0,missing_dq
C100,2006_2012,NA,NA,NA,1.6911153081812038,0,1,0,missing_dq
C1000,2006_2012,NA,NA,NA,-1.4786803206904102,0,1,0,missing_dq
C1001,2006_2012,NA,NA,NA,-0.1953417552579852,0,1,0,missing_dq
C1002,2006_2012,NA,NA,NA,-2.006227490057955,0,1,0,missing_dq
C1003,2006_2012,NA,NA,NA,-1.071571810388481,0,1,0,missing_dq
C1004,2006_2012,NA,NA,NA,-0.9680268963510651,0,1,0,missing_dq
C1005,2006_2012,NA,NA,NA,-1.1894682679573692,0,1,0,missing_dq
C1006,2006_2012,NA,NA,NA,-0.235722735162468,0,1,0,missing_dq
C1007,2006_2012,NA,NA,NA,-0.2920218912172853,0,1,0,missing_dq
C1008,2006_2012,NA,NA,NA,-0.4929088968412532,0,1,0,missing_dq
C1009,2006_2012,NA,NA,NA,-1.0867549863108996,0,1,0,missing_dq
C101,2006_2012,NA,NA,NA,-0.9847295410001567,0,1,0,missing_dq
C1010,2006_2012,NA,NA,NA,-0.64951413380803,0,1,0,missing_dq
C1011,2006_2012,NA,NA,NA,-0.43107284640442917,0,1,0,missing_dq
C1012,2006_2012,NA,NA,NA,-1.025801084358744,0,1,0,missing_dq
C1013,2006_2012,NA,NA,NA,-1.1527063067224095,0,1,0,missing_dq
C1014,2006_2012,NA,NA,NA,-0.12609498661602328,0,1,0,missing_dq
C1015,2006_2012,NA,NA,NA,0.14861877564165618,0,1,0,missing_dq
C1016,2006_2012,NA,NA,NA,-1.4780887284787183,0,1,0,missing_dq
C1017,2006_2012,NA,NA,NA,0.07812381761592535,0,1,0,missing_dq
C1018,2006_2012,NA,NA,NA,-0.9326125500650424,0,1,0,missing_dq
C1019,2006_2012,NA,NA,NA,1.9296021970690092,0,1,0,missing_dq
C102,2006_2012,NA,NA,NA,1.0644666472821671,0,1,0,missing_dq
C1020,2006_2012,NA,NA,NA,-1.7762726840951433,0,1,0,missing_dq
C1021,2006_2012,NA,NA,NA,-2.0050429125410467,0,1,0,missing_dq
C1022,2006_2012,NA,NA,NA,0.0620984972104608,0,1,0,missing_dq
C1023,2006_2012,NA,NA,NA,-0.2973560029162191,0,1,0,missing_dq
C1024,2006_2012,NA,NA,NA,-0.2747761243842384,0,1,0,missing_dq
C1025,2006_2012,NA,NA,NA,0.16537591693887058,0,1,0,missing_dq
C1026,2006_2012,NA,NA,NA,-0.7471320461337936,0,1,0,missing_dq
C1027,2006_2012,NA,NA,NA,-1.0723250642196733,0,1,0,missing_dq
C1028,2006_2012,NA,NA,NA,-0.7680948849648241,0,1,0,missing_dq
C1029,2006_2012,NA,NA,NA,0.5744035729758431,0,1,0,missing_dq
C103,2006_2012,NA,NA,NA,1.585880069553537,0,1,0,missing_dq
C1030,2006_2012,NA,NA,NA,-0.3452907173150297,0,1,0,missing_dq
C1031,2006_2012,NA,NA,NA,-0.4361348431153866,0,1,0,missing_dq
C1032,2006_2012,NA,NA,NA,-2.564331434473838,0,1,0,missing_dq
C1033,2006_2012,NA,NA,NA,-1.633450803727601,0,1,0,missing_dq
C1034,2006_2012,NA,NA,NA,-2.1743992781910553,0,1,0,missing_dq
C1035,2006_2012,NA,NA,NA,-0.7243884894949697,0,1,0,missing_dq
C1036,2006_2012,NA,NA,NA,-1.2538069772467377,0,1,0,missing_dq
C1037,2006_2012,NA,NA,NA,-1.0553111300628932,0,1,0,missing_dq
C1038,2006_2012,NA,NA,NA,-0.5251319287677092,0,1,0,missing_dq
C1039,2006_2012,NA,NA,NA,-0.9907312687049631,0,1,0,missing_dq
C104,2006_2012,NA,NA,NA,0.3560817416212047,0,1,0,missing_dq
C1040,2006_2012,NA,NA,NA,-0.4129665223314025,0,1,0,missing_dq
C1041,2006_2012,NA,NA,NA,0.028041327975495276,0,1,0,missing_dq
C1042,2006_2012,NA,NA,NA,-1.2529118544235858,0,1,0,missing_dq
C1043,2006_2012,NA,NA,NA,-3.503769515341897,0,1,0,missing_dq
C1044,2006_2012,NA,NA,NA,-1.395688769889811,0,1,0,missing_dq
C1045,2006_2012,NA,NA,NA,-0.8479441718508489,0,1,0,missing_dq
C1046,2006_2012,NA,NA,NA,0.21256324261187787,0,1,0,missing_dq
C1047,2006_2012,NA,NA,NA,-0.58840609286774,0,1,0,missing_dq
C1048,2006_2012,NA,NA,NA,-0.0377555964774055,0,1,0,missing_dq
C1049,2006_2012,NA,NA,NA,-0.58571099205297,0,1,0,missing_dq
C105,2006_2012,NA,NA,NA,1.317212873568166,0,1,0,missing_dq
C1050,2006_2012,NA,NA,NA,0.8459304359829405,0,1,0,missing_dq
C1051,2006_2012,NA,NA,NA,-2.045148457470722,0,1,0,missing_dq
C1052,2006_2012,NA,NA,NA,0.24498754670425218,0,1,0,missing_dq
C1053,2006_2012,NA,NA,NA,-0.7024199701756617,0,1,0,missing_dq
C1054,2006_2012,NA,NA,NA,-1.9456846702926827,0,1,0,missing_dq
C1055,2006_2012,NA,NA,NA,-0.8162147058261847,0,1,0,missing_dq
C1056,2006_2012,NA,NA,NA,-1.2010990728166833,0,1,0,missing_dq
C1057,2006_2012,NA,NA,NA,-0.690899860952222,0,1,0,missing_dq
C1058,2006_2012,NA,NA,NA,-2.2604367534408287,0,1,0,missing_dq
C1059,2006_2012,NA,NA,NA,1.1931719435840924,0,1,0,missing_dq
C106,2006_2012,NA,NA,NA,0.8155612091604515,0,1,0,missing_dq
C1060,2006_2012,NA,NA,NA,-1.1892294963477268,0,1,0,missing_dq
C1061,2006_2012,NA,NA,NA,-0.6212768097703589,0,1,0,missing_dq
C1062,2006_2012,NA,NA,NA,-0.7060606684250096,0,1,0,missing_dq
C1063,2006_2012,NA,NA,NA,-1.6847296107675314,0,1,0,missing_dq
